+--------+-----------------------+-----------------------+---------------------+-------------------+--------+----------------------+-------------+------------------+
| Bin#   |          ZZ           |          ttZ          |        Higgs        |        WZ         | Other  |        Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+---------------------+-------------------+--------+----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0       | 0 ± 0  |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    17.91 ± 0.08031    |         0 ± 0         |   0.1971 ± 0.1394   |       0 ± 0       | 0 ± 0  |    18.1 ± 0.1608     | 11 ± 3.317  | 0.6077 ± 0.1833  |
| Bin2   |    43.42 ± 0.1251     | -0.001436 ± 0.001436  |        0 ± 0        |       0 ± 0       | 0 ± 0  |    43.42 ± 0.1251    | 26 ± 5.099  | 0.5989 ± 0.1175  |
| Bin3   |    48.91 ± 0.1326     |  0.002872 ± 0.002031  |        0 ± 0        |       0 ± 0       | 0 ± 0  |    48.91 ± 0.1326    | 43 ± 6.557  | 0.8791 ± 0.1341  |
| Bin4   |    40.36 ± 0.1203     |  0.004308 ± 0.002487  | -0.09854 ± 0.09854  |  0.0108 ± 0.0108  | 0 ± 0  |    40.27 ± 0.1559    | 30 ± 5.477  |  0.7449 ± 0.136  |
| Bin5   |    27.82 ± 0.09983    |  0.004308 ± 0.003211  |   0.2023 ± 0.1395   |  0.0108 ± 0.0108  | 0 ± 0  |    28.04 ± 0.1719    | 33 ± 5.745  |  1.177 ± 0.205   |
| Bin6   |    17.13 ± 0.07832    |  0.004308 ± 0.003211  |        0 ± 0        |  0.0108 ± 0.0108  | 0 ± 0  |   17.14 ± 0.07912    | 19 ± 4.359  |  1.108 ± 0.2543  |
| Bin7   |    9.509 ± 0.05828    |  0.007181 ± 0.003211  |        0 ± 0        |       0 ± 0       | 0 ± 0  |   9.516 ± 0.05836    | 11 ± 3.317  |  1.156 ± 0.3486  |
| Bin8   |    4.875 ± 0.04168    |  0.002872 ± 0.003518  |  0.09854 ± 0.09854  |    0 ± 0.01527    | 0 ± 0  |    4.977 ± 0.1081    |  6 ± 2.449  |  1.206 ± 0.4929  |
| Bin9   |    2.425 ± 0.02945    |  0.007181 ± 0.004308  |        0 ± 0        |       0 ± 0       | 0 ± 0  |   2.432 ± 0.02977    |  3 ± 1.732  |  1.234 ± 0.7124  |
| Bin10  |    1.119 ± 0.01994    |  0.01005 ± 0.004308   |        0 ± 0        |       0 ± 0       | 0 ± 0  |    1.129 ± 0.0204    |    4 ± 2    |  3.542 ± 1.772   |
| Bin11  |   0.4741 ± 0.01299    | -0.002872 ± 0.003518  |        0 ± 0        |  0.0108 ± 0.0108  | 0 ± 0  |   0.4821 ± 0.01726   |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.2275 ± 0.009023   | -0.002872 ± 0.003518  |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.2247 ± 0.009685   |    1 ± 1    |  4.451 ± 4.455   |
| Bin13  |   0.1059 ± 0.006179   |  0.002872 ± 0.002031  |        0 ± 0        | -0.0108 ± 0.0108  | 0 ± 0  |  0.09795 ± 0.01261   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.04618 ± 0.004116   |  0.004308 ± 0.003211  |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.05049 ± 0.00522   |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.02963 ± 0.003351   |  0.002872 ± 0.002031  |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.0325 ± 0.003919   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.01164 ± 0.002078   |  0.001436 ± 0.002487  |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.01307 ± 0.003241  |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.007728 ± 0.001689  |  0.001436 ± 0.002487  |        0 ± 0        |       0 ± 0       | 0 ± 0  | 0.009164 ± 0.003007  |    0 ± 0    |      0 ± 0       |
| Bin18  |  0.005498 ± 0.001477  |         0 ± 0         |  0.09854 ± 0.09854  |       0 ± 0       | 0 ± 0  |   0.104 ± 0.09855    |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.002136 ± 0.0009165  |  0.004308 ± 0.003211  |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.006444 ± 0.00334  |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.002453 ± 0.001001  |  0.001436 ± 0.002487  |        0 ± 0        |       0 ± 0       | 0 ± 0  | 0.003889 ± 0.002681  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.002681 ± 0.001019  |  0.01293 ± 0.005178   |        0 ± 0        |       0 ± 0       | 0 ± 0  |  0.01561 ± 0.005277  |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+---------------------+-------------------+--------+----------------------+-------------+------------------+
