PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
11,MVA90,2016,X,50,100,0,0.8,0.978795,0.00343039
11,MVA90,2016,X,50,100,0.8,1.444,0.969832,0.00278552
11,MVA90,2016,X,50,100,1.444,1.566,1,1
11,MVA90,2016,X,50,100,1.566,2,0.968271,0.00245317
11,MVA90,2016,X,50,100,2,2.5,0.968894,0.00752203
11,MVA90,2016,X,100,200,-2.5,-2,1.01422,0.0324532
11,MVA90,2016,X,100,200,-2,-1.566,0.982961,0.0104205
11,MVA90,2016,X,100,200,-1.566,-1.444,1,1
11,MVA90,2016,X,100,200,-1.444,-0.8,0.976589,0.010742
11,MVA90,2016,X,100,200,-0.8,0,0.982143,0.00882332
11,MVA90,2016,X,100,200,0,0.8,0.991071,0.00882332
11,MVA90,2016,X,100,200,0.8,1.444,0.989853,0.0108981
11,MVA90,2016,X,100,200,1.444,1.566,1,1
11,MVA90,2016,X,100,200,1.566,2,0.994536,0.0106244
11,MVA90,2016,X,100,200,2,2.5,0.994213,0.0323872
11,MVA90,2016,X,200,500,-2.5,-2,0.966224,0.0894252
11,MVA90,2016,X,200,500,-2,-1.566,0.994524,0.0432415
11,MVA90,2016,X,200,500,-1.566,-1.444,1,1
11,MVA90,2016,X,200,500,-1.444,-0.8,0.980769,0.0248379
11,MVA90,2016,X,200,500,-0.8,0,0.978747,0.0234976
11,MVA90,2016,X,200,500,0,0.8,0.975583,0.0234976
11,MVA90,2016,X,200,500,0.8,1.444,0.984073,0.0251693
11,MVA90,2016,X,200,500,1.444,1.566,1,1
11,MVA90,2016,X,200,500,1.566,2,0.952329,0.0432415
11,MVA90,2016,X,200,500,2,2.5,1.01786,0.0903233
PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
11,MVA90,2017,X,10,20,-2.5,-2,0.95,0.0112859
11,MVA90,2017,X,10,20,-2,-1.566,0.965909,0.0251865
11,MVA90,2017,X,10,20,-1.566,-1.444,1,1
11,MVA90,2017,X,10,20,-1.444,-0.8,1.0024,0.0532924
11,MVA90,2017,X,10,20,-0.8,0,0.981413,0.0185314
11,MVA90,2017,X,10,20,0,0.8,0.96556,0.0184154
11,MVA90,2017,X,10,20,0.8,1.444,0.995128,0.0532537
11,MVA90,2017,X,10,20,1.444,1.566,1,1
11,MVA90,2017,X,10,20,1.566,2,0.978409,0.0251865
11,MVA90,2017,X,10,20,2,2.5,0.940534,0.0114607
11,MVA90,2017,X,20,35,-2.5,-2,0.931193,0.0189242
11,MVA90,2017,X,20,35,-2,-1.566,0.941436,0.0224862
11,MVA90,2017,X,20,35,-1.566,-1.444,1,1
11,MVA90,2017,X,20,35,-1.444,-0.8,0.954861,0.0305901
11,MVA90,2017,X,20,35,-0.8,0,0.988304,0.0205876
11,MVA90,2017,X,20,35,0,0.8,0.987254,0.0205876
11,MVA90,2017,X,20,35,0.8,1.444,0.976717,0.0305901
11,MVA90,2017,X,20,35,1.444,1.566,1,1
11,MVA90,2017,X,20,35,1.566,2,0.952328,0.0224862
11,MVA90,2017,X,20,35,2,2.5,0.931114,0.0189242
11,MVA90,2017,X,35,50,-2.5,-2,0.941886,0.0109726
11,MVA90,2017,X,35,50,-2,-1.566,0.958511,0.00693532
11,MVA90,2017,X,35,50,-1.566,-1.444,1,1
11,MVA90,2017,X,35,50,-1.444,-0.8,0.966997,0.00783499
11,MVA90,2017,X,35,50,-0.8,0,0.97677,0.00477149
11,MVA90,2017,X,35,50,0,0.8,0.975851,0.00477149
