DeepAK8_V2Training; Object, Year, version, MistaggingRate[%], pT_low[GeV], pT_high[GeV], SF, SF_lowerErr, SF_upperErr
W,2016, MassDecorr, 1p0,300,400,0.86,0.04,0.04
W,2016, MassDecorr, 1p0,400,800,0.73,0.07,0.07
W,2016, MassDecorr, 2p5,200,300,0.95,0.04,0.04
W,2016, MassDecorr, 2p5,300,400,0.91,0.04,0.04
W,2016, MassDecorr, 2p5,400,800,0.84,0.07,0.07
Top,0, Nominal, 0p1,300,400,1.10,0.07,0.08
Top,0, Nominal, 0p1,400,480,1.06,0.06,0.07
Top,0, Nominal, 0p1,480,600,1.04,0.06,0.07
Top,0, Nominal, 0p1,600,1200,1.00,0.09,0.11
Top,0, Nominal, 0p5,300,400,1.23,0.14,0.16
Top,0, Nominal, 0p5,400,480,1.07,0.05,0.10
Top,0, Nominal, 0p5,480,600,1.04,0.05,0.14
Top,0, Nominal, 0p5,600,1200,1.06,0.10,0.18
Top,0, Nominal, 1p0,300,400,1.27,0.16,0.14
Top,0, Nominal, 1p0,400,480,1.11,0.08,0.14
Top,0, Nominal, 1p0,480,600,1.02,0.05,0.08
Top,0, Nominal, 1p0,600,1200,1.18,0.17,0.12
W,0, Nominal, 0p5,200,300,0.98,0.04,0.05
W,0, Nominal, 0p5,300,400,1.00,0.12,0.05
W,0, Nominal, 0p5,400,800,1.05,0.12,0.07
W,0, Nominal, 1p0,200,300,1.01,0.05,0.05
W,0, Nominal, 1p0,300,400,0.99,0.10,0.10
W,0, Nominal, 1p0,400,800,1.15,0.13,0.08
W,0, Nominal, 5p0,200,300,1.07,0.03,0.03
W,0, Nominal, 5p0,300,400,0.99,0.08,0.09
W,0, Nominal, 5p0,400,800,1.17,0.08,0.08
W,0, MassDecorr, 0p5,200,300,0.85,0.03,0.03
W,0, MassDecorr, 0p5,300,400,0.86,0.04,0.04
W,0, MassDecorr, 0p5,400,800,0.86,0.08,0.08
W,0, MassDecorr, 1p0,200,300,0.90,0.03,0.03
W,0, MassDecorr, 1p0,300,400,0.87,0.04,0.04
W,0, MassDecorr, 1p0,400,800,0.92,0.07,0.08
W,0, MassDecorr, 2p5,200,300,0.90,0.02,0.02
W,0, MassDecorr, 2p5,300,400,0.94,0.04,0.04
W,0, MassDecorr, 2p5,400,800,0.94,0.07,0.07
