+--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ         |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
| Bin24  |  0.003953 ± 0.001242   |  0.005745 ± 0.003518  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.009698 ± 0.003731   | 0 ± 0  |  0 ± 0  |  0.003899 ± 0.0003984  |
| Bin25  |  0.003635 ± 0.001185   |  0.01293 ± 0.005178   |         0 ± 0         |  0.0108 ± 0.0108   |         0 ± 0         |   0.02736 ± 0.01204    | 0 ± 0  |  0 ± 0  |  0.002889 ± 0.0003002  |
| Bin26  |   0.00409 ± 0.001254   |  0.008617 ± 0.004975  |  0.005248 ± 0.005248  |       0 ± 0        |   0.03434 ± 0.03434   |   0.05229 ± 0.03512    | 0 ± 0  |  0 ± 0  |  0.002904 ± 0.0003842  |
| Bin27  |  0.002044 ± 0.0009142  |  0.001436 ± 0.002487  |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |  0.002295 ± 0.002903   | 0 ± 0  |  0 ± 0  |  0.003004 ± 0.0003856  |
| Bin28  |  0.002454 ± 0.0009509  |  0.01005 ± 0.004308   |         0 ± 0         |       0 ± 0        |         0 ± 0         |   0.01251 ± 0.004412   | 0 ± 0  |  0 ± 0  |  0.002117 ± 0.0002859  |
| Bin29  |  0.002318 ± 0.0009344  |  0.004308 ± 0.002487  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.006626 ± 0.002657   | 0 ± 0  |  0 ± 0  |    0.0922 ± 0.06424    |
| Bin30  |  0.002862 ± 0.001082   |  0.002872 ± 0.003518  |         0 ± 0         |       0 ± 0        |         0 ± 0         |   0.005734 ± 0.00368   | 0 ± 0  |  0 ± 0  |  0.001602 ± 0.0002531  |
| Bin31  |  0.001227 ± 0.0007082  |  0.001436 ± 0.002487  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.002663 ± 0.002586   | 0 ± 0  |  0 ± 0  |  0.001906 ± 0.0002996  |
| Bin32  | 0.0007733 ± 0.0004833  |  0.004308 ± 0.002487  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.005082 ± 0.002534   | 0 ± 0  |  0 ± 0  |  0.001074 ± 0.0001107  |
| Bin33  |  0.002862 ± 0.001082   |  0.002872 ± 0.002031  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.005734 ± 0.002301   | 0 ± 0  |  0 ± 0  |  0.001479 ± 0.0002499  |
| Bin34  | 0.0001822 ± 0.0001822  |  0.004308 ± 0.003211  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.004491 ± 0.003216   | 0 ± 0  |  0 ± 0  |  0.001188 ± 0.0002186  |
| Bin35  | 0.0005911 ± 0.0004476  |  0.001436 ± 0.002487  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.002027 ± 0.002527   | 0 ± 0  |  0 ± 0  | 0.0007605 ± 9.357e-05  |
| Bin36  |  0.001409 ± 0.0007312  |  0.002872 ± 0.003518  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.004281 ± 0.003593   | 0 ± 0  |  0 ± 0  | 0.0009304 ± 0.0002125  |
| Bin37  |  0.001773 ± 0.0007753  |  0.001436 ± 0.001436  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.003209 ± 0.001632   | 0 ± 0  |  0 ± 0  | 0.0008067 ± 0.0001805  |
| Bin38  | 0.0004089 ± 0.0004089  | -0.001436 ± 0.001436  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  -0.001027 ± 0.001493  | 0 ± 0  | -0 ± 0  | 0.0008409 ± 0.0002101  |
| Bin39  | 0.0005911 ± 0.0004476  |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         | 0.0005911 ± 0.0004476  | 0 ± 0  |  0 ± 0  | 0.0008745 ± 0.0002104  |
| Bin40  |         0 ± 0          |  0.001436 ± 0.001436  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.001436 ± 0.001436   | 0 ± 0  |  0 ± 0  | 0.0003355 ± 6.125e-05  |
| Bin41  | 0.0004089 ± 0.0004089  |  0.001436 ± 0.001436  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.001845 ± 0.001493   | 0 ± 0  |  0 ± 0  | 0.0006158 ± 0.0001353  |
| Bin42  | 0.0001822 ± 0.0001822  |         0 ± 0         | -0.005248 ± 0.005248  |       0 ± 0        |         0 ± 0         |  -0.005066 ± 0.005251  | 0 ± 0  | -0 ± 0  | 0.0003243 ± 6.424e-05  |
| Bin43  | 0.0004089 ± 0.0004089  |  0.002872 ± 0.002031  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.003281 ± 0.002072   | 0 ± 0  |  0 ± 0  | 0.0004369 ± 0.0001277  |
| Bin44  | 0.0009999 ± 0.0006062  |  0.004308 ± 0.002487  |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |  0.004122 ± 0.002822   | 0 ± 0  |  0 ± 0  | 0.0005614 ± 0.0002025  |
| Bin45  | 0.0004089 ± 0.0004089  |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         | 0.0004089 ± 0.0004089  | 0 ± 0  |  0 ± 0  |  0.000381 ± 0.0001252  |
| Bin46  |  0.004817 ± 0.001343   |   0.007181 ± 0.0038   |         0 ± 0         |       0 ± 0        |         0 ± 0         |    0.012 ± 0.00403     | 0 ± 0  |  0 ± 0  |  0.003787 ± 0.000399   |
+--------+------------------------+-----------------------+-----------------------+--------------------+-----------------------+------------------------+--------+---------+------------------------+
