+--------+-----------------------+-----------------------+-------------+------------------+
| Bin#   |          ZZ           |         Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    9.295 ± 0.06388    |    9.295 ± 0.06388    |  8 ± 2.828  | 0.8607 ± 0.3043  |
| Bin2   |    24.82 ± 0.1042     |    24.82 ± 0.1042     | 27 ± 5.196  |  1.088 ± 0.2094  |
| Bin3   |    34.17 ± 0.1222     |    34.17 ± 0.1222     | 35 ± 5.916  |  1.024 ± 0.1732  |
| Bin4   |    36.44 ± 0.1261     |    36.44 ± 0.1261     | 32 ± 5.657  | 0.8781 ± 0.1553  |
| Bin5   |      34 ± 0.1218      |      34 ± 0.1218      | 37 ± 6.083  |  1.088 ± 0.1789  |
| Bin6   |    28.27 ± 0.1109     |    28.27 ± 0.1109     | 29 ± 5.385  |  1.026 ± 0.1905  |
| Bin7   |    22.01 ± 0.09778    |    22.01 ± 0.09778    | 27 ± 5.196  |  1.227 ± 0.2362  |
| Bin8   |    16.02 ± 0.08335    |    16.02 ± 0.08335    | 13 ± 3.606  | 0.8115 ± 0.2251  |
| Bin9   |    11.32 ± 0.07009    |    11.32 ± 0.07009    |  6 ± 2.449  | 0.5302 ± 0.2165  |
| Bin10  |    7.703 ± 0.05789    |    7.703 ± 0.05789    |  7 ± 2.646  | 0.9087 ± 0.3435  |
| Bin11  |    4.966 ± 0.04637    |    4.966 ± 0.04637    |    4 ± 2    | 0.8054 ± 0.4028  |
| Bin12  |    3.147 ± 0.03687    |    3.147 ± 0.03687    |  2 ± 1.414  | 0.6355 ± 0.4494  |
| Bin13  |    2.041 ± 0.02984    |    2.041 ± 0.02984    |    1 ± 1    |  0.4899 ± 0.49   |
| Bin14  |    1.264 ± 0.02342    |    1.264 ± 0.02342    |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.7447 ± 0.01796    |   0.7447 ± 0.01796    |  2 ± 1.414  |   2.686 ± 1.9    |
| Bin16  |    0.433 ± 0.01374    |    0.433 ± 0.01374    |    0 ± 0    |      0 ± 0       |
| Bin17  |    0.2597 ± 0.0107    |    0.2597 ± 0.0107    |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.1517 ± 0.008109   |   0.1517 ± 0.008109   |    1 ± 1    |   6.591 ± 6.6    |
| Bin19  |  0.08727 ± 0.006116   |  0.08727 ± 0.006116   |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.04744 ± 0.004566   |  0.04744 ± 0.004566   |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.0323 ± 0.003757   |   0.0323 ± 0.003757   |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.01706 ± 0.00275   |   0.01706 ± 0.00275   |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.01401 ± 0.00257   |   0.01401 ± 0.00257   |    0 ± 0    |      0 ± 0       |
| Bin24  |  0.008128 ± 0.001865  |  0.008128 ± 0.001865  |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.007228 ± 0.001816  |  0.007228 ± 0.001816  |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.004146 ± 0.001411  |  0.004146 ± 0.001411  |    0 ± 0    |      0 ± 0       |
| Bin27  | 0.001527 ± 0.0007689  | 0.001527 ± 0.0007689  |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.002755 ± 0.001135  |  0.002755 ± 0.001135  |    0 ± 0    |      0 ± 0       |
| Bin29  |  0.00105 ± 0.0007062  |  0.00105 ± 0.0007062  |    0 ± 0    |      0 ± 0       |
| Bin30  |         0 ± 0         |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.007577 ± 0.00193   |  0.007577 ± 0.00193   |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+-------------+------------------+
