+--------+-------------------+-------------------+-------------+------------------+
| Bin#   |        ZZ         |       Total       |    data     |      Ratio       |
|--------+-------------------+-------------------+-------------+------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |  68.46 ± 0.1726   |  68.46 ± 0.1726   | 73 ± 8.544  |  1.066 ± 0.1248  |
| Bin2   |  50.02 ± 0.1475   |  50.02 ± 0.1475   | 63 ± 7.937  |  1.26 ± 0.1587   |
| Bin3   |    31 ± 0.1161    |    31 ± 0.1161    | 21 ± 4.583  | 0.6774 ± 0.1478  |
| Bin4   |  19.3 ± 0.09163   |  19.3 ± 0.09163   | 11 ± 3.317  | 0.5698 ± 0.1718  |
| Bin5   |  13.41 ± 0.07652  |  13.41 ± 0.07652  | 13 ± 3.606  |  0.9697 ± 0.269  |
| Bin6   |  9.903 ± 0.06577  |  9.903 ± 0.06577  |  5 ± 2.236  | 0.5049 ± 0.2258  |
| Bin7   |  7.707 ± 0.05804  |  7.707 ± 0.05804  |    9 ± 3    |  1.168 ± 0.3894  |
| Bin8   |  6.153 ± 0.05179  |  6.153 ± 0.05179  | 10 ± 3.162  |  1.625 ± 0.5141  |
| Bin9   |  5.236 ± 0.04795  |  5.236 ± 0.04795  |  7 ± 2.646  |  1.337 ± 0.5055  |
| Bin10  |  4.145 ± 0.04255  |  4.145 ± 0.04255  |    4 ± 2    |  0.965 ± 0.4826  |
| Bin11  |  3.368 ± 0.03838  |  3.368 ± 0.03838  |  3 ± 1.732  | 0.8908 ± 0.5144  |
| Bin12  |  2.75 ± 0.03467   |  2.75 ± 0.03467   |    4 ± 2    |  1.455 ± 0.7276  |
| Bin13  |  2.185 ± 0.03096  |  2.185 ± 0.03096  |    1 ± 1    | 0.4576 ± 0.4576  |
| Bin14  |  1.869 ± 0.02876  |  1.869 ± 0.02876  |    1 ± 1    | 0.5351 ± 0.5351  |
| Bin15  |  1.47 ± 0.02542   |  1.47 ± 0.02542   |    0 ± 0    |      0 ± 0       |
| Bin16  |  1.219 ± 0.02315  |  1.219 ± 0.02315  |    0 ± 0    |      0 ± 0       |
| Bin17  |  1.004 ± 0.02101  |  1.004 ± 0.02101  |    0 ± 0    |      0 ± 0       |
| Bin18  | 0.8395 ± 0.01924  | 0.8395 ± 0.01924  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.7355 ± 0.01799  | 0.7355 ± 0.01799  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.6255 ± 0.01662  | 0.6255 ± 0.01662  |    1 ± 1    |  1.599 ± 1.599   |
| Bin21  |  5.894 ± 0.05111  |  5.894 ± 0.05111  |  5 ± 2.236  | 0.8483 ± 0.3794  |
+--------+-------------------+-------------------+-------------+------------------+
