+--------+----------------------+----------------------+-------------+------------------+
| Bin#   |          ZZ          |        Total         |    data     |      Ratio       |
|--------+----------------------+----------------------+-------------+------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    34.96 ± 0.125     |    34.96 ± 0.125     | 32 ± 5.657  | 0.9154 ± 0.1619  |
| Bin2   |    63.44 ± 0.1671    |    63.44 ± 0.1671    |  61 ± 7.81  | 0.9615 ± 0.1231  |
| Bin3   |    54.26 ± 0.1535    |    54.26 ± 0.1535    |   49 ± 7    |  0.903 ± 0.129   |
| Bin4   |    36.36 ± 0.1252    |    36.36 ± 0.1252    | 41 ± 6.403  |  1.127 ± 0.1761  |
| Bin5   |   21.87 ± 0.09672    |   21.87 ± 0.09672    | 24 ± 4.899  |  1.098 ± 0.2241  |
| Bin6   |   12.34 ± 0.07254    |   12.34 ± 0.07254    | 13 ± 3.606  |  1.053 ± 0.2922  |
| Bin7   |   6.691 ± 0.05345    |   6.691 ± 0.05345    |  7 ± 2.646  |  1.046 ± 0.3955  |
| Bin8   |   3.537 ± 0.03896    |   3.537 ± 0.03896    |    1 ± 1    | 0.2828 ± 0.2828  |
| Bin9   |   1.816 ± 0.02781    |   1.816 ± 0.02781    |    1 ± 1    | 0.5507 ± 0.5508  |
| Bin10  |   0.949 ± 0.02014    |   0.949 ± 0.02014    |    1 ± 1    |  1.054 ± 1.054   |
| Bin11  |   0.5132 ± 0.0149    |   0.5132 ± 0.0149    |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.2511 ± 0.01042   |   0.2511 ± 0.01042   |    1 ± 1    |  3.982 ± 3.985   |
| Bin13  |  0.1262 ± 0.007359   |  0.1262 ± 0.007359   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.06784 ± 0.005416  |  0.06784 ± 0.005416  |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.04646 ± 0.004535  |  0.04646 ± 0.004535  |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.02146 ± 0.003069  |  0.02146 ± 0.003069  |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.01435 ± 0.002567  |  0.01435 ± 0.002567  |    0 ± 0    |      0 ± 0       |
| Bin18  | 0.008346 ± 0.001868  | 0.008346 ± 0.001868  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.005728 ± 0.001608  | 0.005728 ± 0.001608  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.003178 ± 0.001173  | 0.003178 ± 0.001173  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.0074 ± 0.001878   |  0.0074 ± 0.001878   |    0 ± 0    |      0 ± 0       |
+--------+----------------------+----------------------+-------------+------------------+
