+--------+------------------+-----------------------+-----------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |          ttZ          |         Higgs         |         WZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+-----------------------+-----------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  504.6 ± 0.5398  |   0.1517 ± 0.02045    |    0.1883 ± 0.3441    |  0.06525 ± 0.0698   |       0 ± 0        |   505 ± 0.6443   | 478 ± 21.86  | 0.9466 ± 0.04331  |
| Bin2   |  364.7 ± 0.4572  |   0.09402 ± 0.01718   |    1.141 ± 0.3277     |  0.0108 ± 0.05879   |       0 ± 0        |   366 ± 0.5658   | 334 ± 18.28  | 0.9126 ± 0.04995  |
| Bin3   |  236.5 ± 0.3675  |   0.05814 ± 0.0141    |    0.4516 ± 0.2497    |  0.05132 ± 0.03736  |       0 ± 0        |  237.1 ± 0.4461  | 236 ± 15.36  | 0.9954 ± 0.06482  |
| Bin4   |   156 ± 0.2983   |   0.02318 ± 0.01009   |    0.2861 ± 0.2137    |  0.02718 ± 0.01922  |       0 ± 0        |  156.3 ± 0.3676  | 160 ± 12.65  |  1.024 ± 0.08096  |
| Bin5   |  108.3 ± 0.2488  |   0.04172 ± 0.0111    |    0.103 ± 0.1623     |     0 ± 0.03808     |       0 ± 0        |  108.5 ± 0.2996  | 111 ± 10.54  |  1.023 ± 0.09715  |
| Bin6   |  78.89 ± 0.2122  |  0.03546 ± 0.009024   |    0.1713 ± 0.1779    | -0.05166 ± 0.04226  | 0.03525 ± 0.03525  |  79.08 ± 0.2825  |  71 ± 8.426  |  0.8978 ± 0.1066  |
| Bin7   |  59.37 ± 0.1835  |  0.02052 ± 0.006596   |   0.09213 ± 0.09213   | -0.01359 ± 0.01359  |       0 ± 0        |  59.47 ± 0.2059  |  62 ± 7.874  |  1.043 ± 0.1325   |
| Bin8   |  45.48 ± 0.1605  |  0.009749 ± 0.007208  | -0.006836 ± 0.006836  |        0 ± 0        | 0.04628 ± 0.04628  |  45.53 ± 0.1673  |  32 ± 5.657  |  0.7028 ± 0.1243  |
| Bin9   |  34.78 ± 0.1397  |  0.005064 ± 0.004755  |  -0.08563 ± 0.08563   |        0 ± 0        |       0 ± 0        |  34.7 ± 0.1639   |  35 ± 5.916  |  1.009 ± 0.1706   |
| Bin10  |  27.08 ± 0.1233  |  0.009372 ± 0.004428  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  27.09 ± 0.1233  |  26 ± 5.099  |  0.9596 ± 0.1882  |
| Bin11  |  20.89 ± 0.1076  | 0.0001308 ± 0.003071  |  0.006836 ± 0.006836  |  -0.0108 ± 0.0108   |       0 ± 0        |  20.89 ± 0.1084  |  29 ± 5.385  |  1.388 ± 0.2579   |
| Bin12  |  16.28 ± 0.0947  |  0.006471 ± 0.004874  |   0.09576 ± 0.09576   |        0 ± 0        |       0 ± 0        |  16.39 ± 0.1348  |  18 ± 4.243  |  1.098 ± 0.2591   |
| Bin13  | 12.73 ± 0.08344  |   0.0106 ± 0.004018   |         0 ± 0         |        0 ± 0        |       0 ± 0        | 12.74 ± 0.08354  |  11 ± 3.317  |  0.8634 ± 0.2604  |
| Bin14  | 10.25 ± 0.07472  |  0.001465 ± 0.003466  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  10.25 ± 0.0748  |  12 ± 3.464  |   1.17 ± 0.3379   |
| Bin15  | 8.057 ± 0.06605  |  0.001567 ± 0.001567  |         0 ± 0         |   0.0108 ± 0.0108   |       0 ± 0        | 8.069 ± 0.06695  |  8 ± 2.828   |  0.9914 ± 0.3506  |
| Bin16  |  6.59 ± 0.0596   |         0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |  6.59 ± 0.0596   |  5 ± 2.236   |  0.7587 ± 0.3394  |
| Bin17  |  5.4 ± 0.05388   |  0.001436 ± 0.001436  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  5.401 ± 0.0539  |  10 ± 3.162  |  1.852 ± 0.5858   |
| Bin18  | 4.432 ± 0.04875  |  0.001726 ± 0.002809  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 4.433 ± 0.04883  |  5 ± 2.236   |  1.128 ± 0.5045   |
| Bin19  | 3.811 ± 0.04509  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 3.813 ± 0.04512  |  3 ± 1.732   |  0.7868 ± 0.4543  |
| Bin20  | 3.216 ± 0.04147  |         0 ± 0         |   0.09213 ± 0.09213   |        0 ± 0        |       0 ± 0        |  3.309 ± 0.101   |  2 ± 1.414   |  0.6045 ± 0.4278  |
| Bin21  |  29.56 ± 0.1243  |  0.007892 ± 0.004301  |  0.006836 ± 0.006836  |  0.1058 ± 0.05367   | 0.03706 ± 0.03706  |  29.71 ± 0.1406  |  26 ± 5.099  |  0.875 ± 0.1717   |
+--------+------------------+-----------------------+-----------------------+---------------------+--------------------+------------------+--------------+-------------------+
