+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |         ttZ          |         Higgs         |         WZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   116.3 ± 0.2546    | 0.001591 ± 0.002914  |    0.372 ± 0.2275     |  0.01359 ± 0.01359  |       0 ± 0        |   116.7 ± 0.3417    |  84 ± 9.165  | 0.7197 ± 0.07855  |
| Bin2   |   289.6 ± 0.4023    |  0.0129 ± 0.005461   |    0.5543 ± 0.2266    |        0 ± 0        |       0 ± 0        |   290.1 ± 0.4617    | 238 ± 15.43  | 0.8203 ± 0.05319  |
| Bin3   |   349.3 ± 0.4435    | 0.009188 ± 0.005911  |    0.3794 ± 0.2601    |        0 ± 0        |       0 ± 0        |   349.6 ± 0.5142    | 348 ± 18.65  | 0.9953 ± 0.05337  |
| Bin4   |   317.4 ± 0.4248    |  0.01705 ± 0.007312  |    0.3629 ± 0.2288    | -0.01647 ± 0.05849  |       0 ± 0        |   317.8 ± 0.4861    | 293 ± 17.12  | 0.9221 ± 0.05389  |
| Bin5   |   244.1 ± 0.3746    |  0.0203 ± 0.007474   |    0.2916 ± 0.2494    |  0.06466 ± 0.03958  |       0 ± 0        |   244.5 ± 0.4518    | 239 ± 15.46  | 0.9775 ± 0.06325  |
| Bin6   |   169.5 ± 0.3138    |  0.02023 ± 0.00753   |    0.1015 ± 0.1643    |  0.02439 ± 0.06034  | 0.03706 ± 0.03706  |   169.7 ± 0.3613    | 167 ± 12.92  | 0.9842 ± 0.07619  |
| Bin7   |   107.3 ± 0.2508    |  0.02935 ± 0.008715  |    0.185 ± 0.1848     |  0.02693 ± 0.02693  |       0 ± 0        |   107.6 ± 0.3129    | 124 ± 11.14  |  1.153 ± 0.1036   |
| Bin8   |    64.1 ± 0.1948    |   0.03563 ± 0.0101   |     0.19 ± 0.1352     | -0.04026 ± 0.04322  | 0.03525 ± 0.03525  |   64.32 ± 0.2438    |  78 ± 8.832  |  1.213 ± 0.1374   |
| Bin9   |   36.92 ± 0.1484    |   0.03726 ± 0.0109   |    0.2735 ± 0.1581    |     0 ± 0.01922     |       0 ± 0        |   37.23 ± 0.2179    |  42 ± 6.481  |  1.128 ± 0.1742   |
| Bin10  |    20.4 ± 0.1107    |  0.04551 ± 0.009785  |   -0.1814 ± 0.1285    |  0.04086 ± 0.04086  |       0 ± 0        |    20.3 ± 0.1747    |  35 ± 5.916  |  1.724 ± 0.2918   |
| Bin11  |   10.81 ± 0.0808    |  0.0263 ± 0.008918   |  -0.09576 ± 0.09576   |   0.0108 ± 0.0108   | 0.04628 ± 0.04628  |   10.79 ± 0.1343    |  10 ± 3.162  |  0.9265 ± 0.2932  |
| Bin12  |   5.507 ± 0.05774   |  0.02001 ± 0.008972  | -0.009372 ± 0.009372  |  0.01334 ± 0.03016  |       0 ± 0        |   5.531 ± 0.06642   |  7 ± 2.646   |  1.266 ± 0.4786   |
| Bin13  |   2.811 ± 0.04121   |  0.00914 ± 0.008165  |         0 ± 0         |  -0.0108 ± 0.0108   |       0 ± 0        |   2.809 ± 0.04338   |  2 ± 1.414   |  0.712 ± 0.5036   |
| Bin14  |   1.423 ± 0.02927   |  0.03016 ± 0.008197  |         0 ± 0         |  0.02718 ± 0.01922  |       0 ± 0        |   1.48 ± 0.03597    |    1 ± 1     |  0.6755 ± 0.6757  |
| Bin15  |  0.7467 ± 0.02113   |  0.01893 ± 0.008179  | -0.006836 ± 0.006836  |        0 ± 0        |       0 ± 0        |  0.7588 ± 0.02367   |  2 ± 1.414   |   2.636 ± 1.866   |
| Bin16  |  0.3718 ± 0.01503   |  0.02238 ± 0.007742  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.3941 ± 0.01691   |  2 ± 1.414   |   5.074 ± 3.595   |
| Bin17  |  0.1879 ± 0.01067   | 0.009343 ± 0.006288  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1973 ± 0.01238   |    1 ± 1     |   5.069 ± 5.079   |
| Bin18  | 0.08594 ± 0.007209  |   0.0112 ± 0.00624   |   0.09854 ± 0.09854   |        0 ± 0        |       0 ± 0        |   0.1957 ± 0.099    |    1 ± 1     |   5.111 ± 5.727   |
| Bin19  | 0.05508 ± 0.005854  |  0.01217 ± 0.006528  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.06725 ± 0.008768  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.02417 ± 0.003918  |  0.01089 ± 0.006941  |  0.006197 ± 0.006197  |        0 ± 0        |       0 ± 0        |  0.04126 ± 0.0101   |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.05424 ± 0.005802  |  0.08241 ± 0.01515   |   0.02051 ± 0.01184   |  0.04086 ± 0.04086  |       0 ± 0        |   0.198 ± 0.04553   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+-------------------+
