+--------+------------------+----------------------+-----------------------+----------------------+--------------------+-----------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |         Higgs         |          WZ          |       Other        |      Total      |     data     |       Ratio       |
|--------+------------------+----------------------+-----------------------+----------------------+--------------------+-----------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |      0 ± 0      |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |      0 ± 0      |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |      0 ± 0      |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |      0 ± 0      |    0 ± 0     |       0 ± 0       |
| Bin4   |  18.94 ± 0.1023  |  0.01112 ± 0.004207  |         0 ± 0         |  0.01359 ± 0.01359   |       0 ± 0        | 18.97 ± 0.1033  |    16 ± 4    |  0.8436 ± 0.2109  |
| Bin5   |  66.3 ± 0.1925   |  0.03007 ± 0.008499  |   0.09854 ± 0.09854   |  0.04052 ± 0.03016   |       0 ± 0        | 66.47 ± 0.2185  |  63 ± 7.937  |  0.9478 ± 0.1195  |
| Bin6   |   161 ± 0.3017   |  0.02831 ± 0.009772  |    0.4804 ± 0.2836    |  0.05386 ± 0.03808   | 0.03706 ± 0.03706  | 161.6 ± 0.4176  |   144 ± 12   |  0.891 ± 0.07429  |
| Bin7   |  298.5 ± 0.4131  |  0.05755 ± 0.01329   |   0.08243 ± 0.2445    | -0.002536 ± 0.03204  | 0.03525 ± 0.03525  | 298.7 ± 0.4826  | 294 ± 17.15  | 0.9843 ± 0.05743  |
| Bin8   |  284.5 ± 0.4042  |  0.06537 ± 0.01374   |    0.2804 ± 0.2696    |  -0.05699 ± 0.05367  |       0 ± 0        | 284.8 ± 0.4891  | 265 ± 16.28  | 0.9305 ± 0.05718  |
| Bin9   |  221.2 ± 0.3563  |  0.06105 ± 0.01209   |    0.3498 ± 0.1803    |  0.02972 ± 0.03204   |       0 ± 0        | 221.6 ± 0.4008  | 211 ± 14.53  |  0.952 ± 0.06556  |
| Bin10  |  164.8 ± 0.3068  |  0.03513 ± 0.01115   |    0.4897 ± 0.2164    |  -0.01334 ± 0.03016  | 0.04628 ± 0.04628  | 165.3 ± 0.3797  | 157 ± 12.53  | 0.9495 ± 0.07581  |
| Bin11  |   121 ± 0.2626   |  0.03617 ± 0.01039   | -0.006197 ± 0.006197  |  0.04086 ± 0.04086   |       0 ± 0        |  121.1 ± 0.266  | 116 ± 10.77  | 0.9578 ± 0.08896  |
| Bin12  |  89.49 ± 0.2254  |  0.03641 ± 0.01106   |    0.2999 ± 0.1642    |   0.0108 ± 0.02682   |       0 ± 0        | 89.84 ± 0.2804  |  93 ± 9.644  |  1.035 ± 0.1074   |
| Bin13  |  66.16 ± 0.1939  | 0.006567 ± 0.007418  |  -0.09234 ± 0.09873   |  0.03773 ± 0.06466   |       0 ± 0        | 66.11 ± 0.2271  |  69 ± 8.307  |  1.044 ± 0.1257   |
| Bin14  |  49.92 ± 0.1684  |  0.02137 ± 0.006673  |    0.1915 ± 0.1354    |  0.04086 ± 0.04086   |       0 ± 0        |  50.17 ± 0.22   |  48 ± 6.928  |  0.9568 ± 0.1382  |
| Bin15  |  37.5 ± 0.1459   |  0.01052 ± 0.007207  |   0.008876 ± 0.133    |        0 ± 0         |       0 ± 0        | 37.52 ± 0.1975  |  32 ± 5.657  |  0.8528 ± 0.1508  |
| Bin16  |  29.1 ± 0.1286   |  0.02371 ± 0.006898  |    0.1778 ± 0.1258    |        0 ± 0         |       0 ± 0        |   29.3 ± 0.18   |  32 ± 5.657  |  1.092 ± 0.1932   |
| Bin17  |  22.39 ± 0.1129  |  0.02099 ± 0.006166  |   0.08563 ± 0.08563   |        0 ± 0         |       0 ± 0        |  22.5 ± 0.1418  |  29 ± 5.385  |  1.289 ± 0.2395   |
| Bin18  | 17.45 ± 0.09994  | 0.009053 ± 0.004428  |         0 ± 0         |        0 ± 0         |       0 ± 0        |   17.46 ± 0.1   |  22 ± 4.69   |   1.26 ± 0.2688   |
| Bin19  | 13.69 ± 0.08835  | 0.004884 ± 0.004681  |   0.09576 ± 0.09576   |        0 ± 0         |       0 ± 0        | 13.79 ± 0.1304  |  14 ± 3.742  |  1.015 ± 0.2715   |
| Bin20  | 11.17 ± 0.07991  | 0.006185 ± 0.004405  |   0.09576 ± 0.09576   |        0 ± 0         |       0 ± 0        | 11.27 ± 0.1248  |  12 ± 3.464  |  1.064 ± 0.3075   |
| Bin21  |  63.8 ± 0.1919   |  0.01748 ± 0.01009   |  -0.09576 ± 0.09576   |        0 ± 0         |       0 ± 0        | 63.72 ± 0.2147  |  57 ± 7.55   |  0.8946 ± 0.1185  |
+--------+------------------+----------------------+-----------------------+----------------------+--------------------+-----------------+--------------+-------------------+
