+--------+------------------+-----------------------+----------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |          ttZ          |        Higgs         |         WZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+-----------------------+----------------------+---------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |        0 ± 0         |        0 ± 0        |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  595.2 ± 0.5859  |    0.157 ± 0.02263    |   0.7576 ± 0.3956    |  0.03006 ± 0.09289  | 0.03706 ± 0.03706  |  596.2 ± 0.7143  | 527 ± 22.96  |  0.884 ± 0.03852  |
| Bin2   |  382.3 ± 0.4673  |   0.1066 ± 0.01804    |    0.8692 ± 0.384    |  0.04052 ± 0.07549  |       0 ± 0        |  383.4 ± 0.6098  | 386 ± 19.65  |  1.007 ± 0.05127  |
| Bin3   |  222.3 ± 0.356   |   0.05344 ± 0.01224   |  -0.02921 ± 0.1337   |  0.02693 ± 0.02693  | 0.04628 ± 0.04628  |  222.4 ± 0.3842  | 213 ± 14.59  | 0.9577 ± 0.06564  |
| Bin4   |  139.1 ± 0.282   |   0.04541 ± 0.01071   |   0.1051 ± 0.09622   |  0.01359 ± 0.01359  |       0 ± 0        |  139.3 ± 0.2985  | 116 ± 10.77  | 0.8328 ± 0.07734  |
| Bin5   |  96.11 ± 0.2345  |  0.02718 ± 0.008571   |   0.1842 ± 0.1305    |  0.01359 ± 0.01359  | 0.03525 ± 0.03525  |  96.37 ± 0.2712  |  89 ± 9.434  | 0.9236 ± 0.09793  |
| Bin6   |  70.05 ± 0.2001  |  0.01636 ± 0.007529   |  0.09213 ± 0.09213   |   0.0108 ± 0.0108   |       0 ± 0        |  70.17 ± 0.2207  |  63 ± 7.937  |  0.8978 ± 0.1132  |
| Bin7   |  52.3 ± 0.1725   |  0.02292 ± 0.007524   | 0.006836 ± 0.006836  |  0.01359 ± 0.01359  |       0 ± 0        |  52.34 ± 0.1733  |  69 ± 8.307  |  1.318 ± 0.1588   |
| Bin8   |  38.9 ± 0.1483   |  0.006852 ± 0.005982  |  0.09854 ± 0.09854   |        0 ± 0        |       0 ± 0        |  39.01 ± 0.1781  |  51 ± 7.141  |  1.307 ± 0.1832   |
| Bin9   |  29.22 ± 0.1277  |  0.004909 ± 0.005125  |      0 ± 0.1303      |   0.0108 ± 0.0108   |       0 ± 0        |  29.23 ± 0.1828  |  48 ± 6.928  |  1.642 ± 0.2372   |
| Bin10  |  21.71 ± 0.1096  |  0.006901 ± 0.003999  |        0 ± 0         |   0.0108 ± 0.0108   |       0 ± 0        |  21.72 ± 0.1102  |  24 ± 4.899  |  1.105 ± 0.2256   |
| Bin11  | 16.42 ± 0.09491  |  0.004594 ± 0.003458  |  0.09854 ± 0.09854   |        0 ± 0        |       0 ± 0        |  16.52 ± 0.1369  |  15 ± 3.873  |  0.9079 ± 0.2345  |
| Bin12  |  12.6 ± 0.08288  |  0.006185 ± 0.003807  |  0.08563 ± 0.08563   |        0 ± 0        |       0 ± 0        |  12.69 ± 0.1192  |  13 ± 3.606  |  1.024 ± 0.2842   |
| Bin13  | 9.598 ± 0.07195  |  0.00457 ± 0.002641   |        0 ± 0         |        0 ± 0        |       0 ± 0        |  9.603 ± 0.072   |  8 ± 2.828   |  0.8331 ± 0.2946  |
| Bin14  | 7.667 ± 0.06415  |  0.005024 ± 0.003679  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 7.672 ± 0.06426  |  14 ± 3.742  |  1.825 ± 0.4879   |
| Bin15  | 5.919 ± 0.05641  | -0.001862 ± 0.002914  |   0.1879 ± 0.1329    |  0.01359 ± 0.01359  |       0 ± 0        |  6.119 ± 0.145   |    4 ± 2     |  0.6537 ± 0.3272  |
| Bin16  | 4.902 ± 0.05114  |  0.001567 ± 0.001567  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 4.904 ± 0.05116  |  3 ± 1.732   |  0.6118 ± 0.3533  |
| Bin17  | 3.928 ± 0.04562  |  0.003003 ± 0.002125  |  0.08563 ± 0.08563   |        0 ± 0        |       0 ± 0        | 4.017 ± 0.09705  |  7 ± 2.646   |   1.743 ± 0.66    |
| Bin18  | 3.197 ± 0.04114  |         0 ± 0         |        0 ± 0         |        0 ± 0        |       0 ± 0        | 3.197 ± 0.04114  |  2 ± 1.414   |  0.6257 ± 0.4425  |
| Bin19  | 2.751 ± 0.03806  |  0.001726 ± 0.001726  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 2.753 ± 0.03809  |    1 ± 1     |  0.3632 ± 0.3633  |
| Bin20  |  2.26 ± 0.0343   |         0 ± 0         |        0 ± 0         | -0.01359 ± 0.01359  |       0 ± 0        | 2.247 ± 0.03689  |    1 ± 1     |  0.4451 ± 0.4452  |
| Bin21  |  20.49 ± 0.103   |  0.009483 ± 0.004381  |        0 ± 0         |  0.02439 ± 0.01736  |       0 ± 0        |  20.52 ± 0.1046  |  20 ± 4.472  |  0.9745 ± 0.218   |
+--------+------------------+-----------------------+----------------------+---------------------+--------------------+------------------+--------------+-------------------+
