+--------+-------------------+-----------------------+--------------------+-------------------+-------------+------------------+
| Bin#   |        ZZ         |          ttZ          |       Other        |       Total       |    data     |      Ratio       |
|--------+-------------------+-----------------------+--------------------+-------------------+-------------+------------------+
| Bin0   |       0 ± 0       |         0 ± 0         |       0 ± 0        |       0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |  68.46 ± 0.1726   |  0.02244 ± 0.008632   |       0 ± 0        |  68.48 ± 0.1728   | 73 ± 8.544  |  1.066 ± 0.1248  |
| Bin2   |  50.02 ± 0.1475   |  0.01554 ± 0.008279   |       0 ± 0        |  50.03 ± 0.1477   | 63 ± 7.937  |  1.259 ± 0.1587  |
| Bin3   |    31 ± 0.1161    |  0.003453 ± 0.004883  | 0.04628 ± 0.04628  |  31.05 ± 0.1251   | 21 ± 4.583  | 0.6763 ± 0.1476  |
| Bin4   |  19.3 ± 0.09163   |  0.006905 ± 0.004229  |       0 ± 0        |  19.31 ± 0.09173  | 11 ± 3.317  | 0.5696 ± 0.1718  |
| Bin5   |  13.41 ± 0.07652  |  0.006905 ± 0.004229  |       0 ± 0        |  13.41 ± 0.07664  | 13 ± 3.606  | 0.9692 ± 0.2689  |
| Bin6   |  9.903 ± 0.06577  |  0.006905 ± 0.004229  |       0 ± 0        |  9.91 ± 0.06591   |  5 ± 2.236  | 0.5045 ± 0.2257  |
| Bin7   |  7.707 ± 0.05804  |  0.01036 ± 0.004229   |       0 ± 0        |  7.717 ± 0.05819  |    9 ± 3    |  1.166 ± 0.3888  |
| Bin8   |  6.153 ± 0.05179  |  0.005179 ± 0.00299   |       0 ± 0        |  6.158 ± 0.05188  | 10 ± 3.162  |  1.624 ± 0.5137  |
| Bin9   |  5.236 ± 0.04795  |  0.001726 ± 0.001726  |       0 ± 0        |  5.237 ± 0.04798  |  7 ± 2.646  |  1.337 ± 0.5053  |
| Bin10  |  4.145 ± 0.04255  |  0.005179 ± 0.00299   |       0 ± 0        |  4.15 ± 0.04266   |    4 ± 2    |  0.9638 ± 0.482  |
| Bin11  |  3.368 ± 0.03838  |         0 ± 0         |       0 ± 0        |  3.368 ± 0.03838  |  3 ± 1.732  | 0.8908 ± 0.5144  |
| Bin12  |  2.75 ± 0.03467   |         0 ± 0         |       0 ± 0        |  2.75 ± 0.03467   |    4 ± 2    |  1.455 ± 0.7276  |
| Bin13  |  2.185 ± 0.03096  |         0 ± 0         |       0 ± 0        |  2.185 ± 0.03096  |    1 ± 1    | 0.4576 ± 0.4576  |
| Bin14  |  1.869 ± 0.02876  |  0.005179 ± 0.00299   |       0 ± 0        |  1.874 ± 0.02891  |    1 ± 1    | 0.5336 ± 0.5336  |
| Bin15  |  1.47 ± 0.02542   | -0.003453 ± 0.002441  |       0 ± 0        |  1.467 ± 0.02553  |    0 ± 0    |      0 ± 0       |
| Bin16  |  1.219 ± 0.02315  |         0 ± 0         |       0 ± 0        |  1.219 ± 0.02315  |    0 ± 0    |      0 ± 0       |
| Bin17  |  1.004 ± 0.02101  |         0 ± 0         |       0 ± 0        |  1.004 ± 0.02101  |    0 ± 0    |      0 ± 0       |
| Bin18  | 0.8395 ± 0.01924  |         0 ± 0         |       0 ± 0        | 0.8395 ± 0.01924  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.7355 ± 0.01799  |  0.001726 ± 0.001726  |       0 ± 0        | 0.7372 ± 0.01807  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.6255 ± 0.01662  |         0 ± 0         |       0 ± 0        | 0.6255 ± 0.01662  |    1 ± 1    |  1.599 ± 1.599   |
| Bin21  |  5.894 ± 0.05111  |  0.003453 ± 0.002441  |       0 ± 0        |  5.898 ± 0.05116  |  5 ± 2.236  | 0.8478 ± 0.3792  |
+--------+-------------------+-----------------------+--------------------+-------------------+-------------+------------------+
