+--------+----------------------+----------------------+--------------------+----------------------+-------------+------------------+
| Bin#   |          ZZ          |         ttZ          |       Other        |        Total         |    data     |      Ratio       |
|--------+----------------------+----------------------+--------------------+----------------------+-------------+------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    34.96 ± 0.125     |        0 ± 0         |       0 ± 0        |    34.96 ± 0.125     | 32 ± 5.657  | 0.9154 ± 0.1619  |
| Bin2   |    63.44 ± 0.1671    | 0.003453 ± 0.002441  |       0 ± 0        |    63.44 ± 0.1671    |  61 ± 7.81  | 0.9615 ± 0.1231  |
| Bin3   |    54.26 ± 0.1535    |  0.005179 ± 0.00386  |       0 ± 0        |    54.27 ± 0.1536    |   49 ± 7    |  0.9029 ± 0.129  |
| Bin4   |    36.36 ± 0.1252    |     0 ± 0.002441     |       0 ± 0        |    36.36 ± 0.1252    | 41 ± 6.403  |  1.127 ± 0.1761  |
| Bin5   |   21.87 ± 0.09672    |  0.001726 ± 0.00299  |       0 ± 0        |   21.87 ± 0.09676    | 24 ± 4.899  |  1.098 ± 0.2241  |
| Bin6   |   12.34 ± 0.07254    |     0 ± 0.003453     |       0 ± 0        |   12.34 ± 0.07262    | 13 ± 3.606  |  1.053 ± 0.2922  |
| Bin7   |   6.691 ± 0.05345    | 0.006905 ± 0.004883  | 0.04628 ± 0.04628  |   6.744 ± 0.07087    |  7 ± 2.646  |  1.038 ± 0.3925  |
| Bin8   |   3.537 ± 0.03896    | 0.006905 ± 0.003453  |       0 ± 0        |   3.543 ± 0.03911    |    1 ± 1    | 0.2822 ± 0.2822  |
| Bin9   |   1.816 ± 0.02781    | 0.003453 ± 0.004883  |       0 ± 0        |   1.819 ± 0.02824    |    1 ± 1    | 0.5497 ± 0.5498  |
| Bin10  |   0.949 ± 0.02014    |  0.01036 ± 0.004229  |       0 ± 0        |   0.9594 ± 0.02058   |    1 ± 1    |  1.042 ± 1.043   |
| Bin11  |   0.5132 ± 0.0149    |  0.001726 ± 0.00299  |       0 ± 0        |    0.515 ± 0.0152    |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.2511 ± 0.01042   |  0.01036 ± 0.004883  |       0 ± 0        |   0.2615 ± 0.0115    |    1 ± 1    |  3.824 ± 3.828   |
| Bin13  |  0.1262 ± 0.007359   | 0.003453 ± 0.003453  |       0 ± 0        |  0.1297 ± 0.008129   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.06784 ± 0.005416  | 0.006905 ± 0.004229  |       0 ± 0        |  0.07475 ± 0.006871  |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.04646 ± 0.004535  | 0.006905 ± 0.003453  |       0 ± 0        |   0.05336 ± 0.0057   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.02146 ± 0.003069  | -0.001726 ± 0.00299  |       0 ± 0        |  0.01973 ± 0.004284  |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.01435 ± 0.002567  | 0.003453 ± 0.002441  |       0 ± 0        |  0.0178 ± 0.003542   |    0 ± 0    |      0 ± 0       |
| Bin18  | 0.008346 ± 0.001868  |     0 ± 0.004229     |       0 ± 0        | 0.008346 ± 0.004623  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.005728 ± 0.001608  | 0.001726 ± 0.001726  |       0 ± 0        | 0.007455 ± 0.002359  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.003178 ± 0.001173  | 0.003453 ± 0.002441  |       0 ± 0        | 0.006631 ± 0.002709  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.0074 ± 0.001878   |  0.01726 ± 0.006459  |       0 ± 0        |  0.02466 ± 0.006727  |    0 ± 0    |      0 ± 0       |
+--------+----------------------+----------------------+--------------------+----------------------+-------------+------------------+
