+--------+------------------------+----------------------+--------------------+-----------------------+-------------+------------------+
| Bin#   |           ZZ           |         ttZ          |       Other        |         Total         |    data     |      Ratio       |
|--------+------------------------+----------------------+--------------------+-----------------------+-------------+------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |       0 ± 0        |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    20.11 ± 0.09385     |     0 ± 0.002441     |       0 ± 0        |    20.11 ± 0.09388    | 20 ± 4.472  | 0.9944 ± 0.2224  |
| Bin2   |     48.18 ± 0.1451     | 0.001726 ± 0.001726  |       0 ± 0        |    48.18 ± 0.1451     | 50 ± 7.071  |  1.038 ± 0.1468  |
| Bin3   |      54 ± 0.1535       |     0 ± 0.002441     |       0 ± 0        |      54 ± 0.1535      |   49 ± 7    | 0.9074 ± 0.1297  |
| Bin4   |     44.72 ± 0.1395     |  0.001726 ± 0.00386  |       0 ± 0        |    44.72 ± 0.1396     |   49 ± 7    |  1.096 ± 0.1566  |
| Bin5   |     30.71 ± 0.1155     | 0.003453 ± 0.002441  |       0 ± 0        |    30.71 ± 0.1155     | 37 ± 6.083  |  1.205 ± 0.1981  |
| Bin6   |    18.63 ± 0.08988     |  0.001726 ± 0.00299  |       0 ± 0        |    18.63 ± 0.08993    |    9 ± 3    |  0.483 ± 0.161   |
| Bin7   |    10.48 ± 0.06747     |  0.001726 ± 0.00299  |       0 ± 0        |    10.48 ± 0.06754    | 10 ± 3.162  | 0.9541 ± 0.3018  |
| Bin8   |    5.337 ± 0.04804     |  0.01381 ± 0.005459  |       0 ± 0        |    5.351 ± 0.04835    |  3 ± 1.732  | 0.5606 ± 0.3237  |
| Bin9   |    2.773 ± 0.03478     | 0.001726 ± 0.004568  |       0 ± 0        |    2.775 ± 0.03507    |    1 ± 1    | 0.3604 ± 0.3604  |
| Bin10  |     1.276 ± 0.0235     |  0.01036 ± 0.004229  |       0 ± 0        |    1.287 ± 0.02387    |  2 ± 1.414  |  1.554 ± 1.099   |
| Bin11  |    0.5872 ± 0.01602    |  0.008632 ± 0.00386  | 0.04628 ± 0.04628  |   0.6421 ± 0.04913    |    0 ± 0    |      0 ± 0       |
| Bin12  |    0.2572 ± 0.01059    | 0.008632 ± 0.004568  |       0 ± 0        |   0.2659 ± 0.01153    |    1 ± 1    |  3.761 ± 3.765   |
| Bin13  |   0.1178 ± 0.007146    |     0 ± 0.004229     |       0 ± 0        |   0.1178 ± 0.008303   |    0 ± 0    |      0 ± 0       |
| Bin14  |   0.04922 ± 0.004615   | 0.006905 ± 0.003453  |       0 ± 0        |  0.05613 ± 0.005763   |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.02693 ± 0.003489   | 0.003453 ± 0.004229  |       0 ± 0        |  0.03038 ± 0.005483   |    0 ± 0    |      0 ± 0       |
| Bin16  |   0.01227 ± 0.002339   |  0.005179 ± 0.00299  |       0 ± 0        |  0.01745 ± 0.003796   |    0 ± 0    |      0 ± 0       |
| Bin17  |   0.008721 ± 0.00201   |     0 ± 0.002441     |       0 ± 0        |  0.008721 ± 0.003163  |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.00418 ± 0.001356   |  0.001726 ± 0.00299  |       0 ± 0        |  0.005906 ± 0.003283  |    0 ± 0    |      0 ± 0       |
| Bin19  |   0.00281 ± 0.001136   |        0 ± 0         |       0 ± 0        |  0.00281 ± 0.001136   |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.0009958 ± 0.0007042  |     0 ± 0.003453     |       0 ± 0        | 0.0009958 ± 0.003524  |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.007577 ± 0.00193   |  0.02072 ± 0.006459  |       0 ± 0        |  0.02829 ± 0.006742   |    0 ± 0    |      0 ± 0       |
+--------+------------------------+----------------------+--------------------+-----------------------+-------------+------------------+
