+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    9.307 ± 0.08016     |    9.307 ± 0.08016     | 0.0001819 ± 4.696e-05  |
| Bin2   |     660.3 ± 0.692      |     660.3 ± 0.692      |    0.2416 ± 0.09824    |
| Bin3   |     81.97 ± 0.2445     |     81.97 ± 0.2445     |    0.139 ± 0.09824     |
| Bin4   |     14.98 ± 0.1046     |     14.98 ± 0.1046     |  0.001112 ± 0.0002106  |
| Bin5   |    4.545 ± 0.05767     |    4.545 ± 0.05767     |    0.1321 ± 0.07609    |
| Bin6   |    1.687 ± 0.03521     |    1.687 ± 0.03521     | 0.0002296 ± 9.557e-05  |
| Bin7   |     0.7165 ± 0.023     |     0.7165 ± 0.023     | 8.488e-05 ± 3.208e-05  |
| Bin8   |    0.2935 ± 0.0147     |    0.2935 ± 0.0147     |         0 ± 0          |
| Bin9   |    0.1706 ± 0.01125    |    0.1706 ± 0.01125    |         0 ± 0          |
| Bin10  |   0.0838 ± 0.007904    |   0.0838 ± 0.007904    |         0 ± 0          |
| Bin11  |   0.05168 ± 0.006263   |   0.05168 ± 0.006263   |  3.638e-05 ± 2.1e-05   |
| Bin12  |   0.02867 ± 0.004698   |   0.02867 ± 0.004698   |         0 ± 0          |
| Bin13  |   0.01247 ± 0.003015   |   0.01247 ± 0.003015   |         0 ± 0          |
| Bin14  |   0.00745 ± 0.002378   |   0.00745 ± 0.002378   |         0 ± 0          |
| Bin15  |  0.004589 ± 0.001878   |  0.004589 ± 0.001878   |         0 ± 0          |
| Bin16  |  0.003967 ± 0.001713   |  0.003967 ± 0.001713   |         0 ± 0          |
| Bin17  |  0.003153 ± 0.001576   |  0.003153 ± 0.001576   |         0 ± 0          |
| Bin18  | 0.0007881 ± 0.0007881  | 0.0007881 ± 0.0007881  |         0 ± 0          |
| Bin19  | 0.0007881 ± 0.0007881  | 0.0007881 ± 0.0007881  |         0 ± 0          |
| Bin20  | 0.0001912 ± 0.0001912  | 0.0001912 ± 0.0001912  |         0 ± 0          |
| Bin21  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
