+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   628.1 ± 0.6746    |   628.1 ± 0.6746    |    0.4207 ± 0.1457     |
| Bin2   |   102.5 ± 0.2731    |   102.5 ± 0.2731    |   0.04814 ± 0.04393    |
| Bin3   |   24.06 ± 0.1327    |   24.06 ± 0.1327    |   0.04494 ± 0.04393    |
| Bin4   |   8.615 ± 0.07942   |   8.615 ± 0.07942   | 0.0002183 ± 5.144e-05  |
| Bin5   |   4.088 ± 0.05483   |   4.088 ± 0.05483   |  0.0001569 ± 8.92e-05  |
| Bin6   |   2.318 ± 0.04135   |   2.318 ± 0.04135   | 0.0001447 ± 9.002e-05  |
| Bin7   |   1.464 ± 0.0329    |   1.464 ± 0.0329    |  3.638e-05 ± 2.1e-05   |
| Bin8   |  0.8388 ± 0.02486   |  0.8388 ± 0.02486   |         0 ± 0          |
| Bin9   |  0.5688 ± 0.02049   |  0.5688 ± 0.02049   | 2.425e-05 ± 1.715e-05  |
| Bin10  |  0.3845 ± 0.01689   |  0.3845 ± 0.01689   |         0 ± 0          |
| Bin11  |  0.2652 ± 0.01409   |  0.2652 ± 0.01409   |         0 ± 0          |
| Bin12  |   0.1856 ± 0.0117   |   0.1856 ± 0.0117   |         0 ± 0          |
| Bin13  |  0.1447 ± 0.01029   |  0.1447 ± 0.01029   |         0 ± 0          |
| Bin14  |  0.1152 ± 0.009278  |  0.1152 ± 0.009278  |         0 ± 0          |
| Bin15  | 0.09053 ± 0.008233  | 0.09053 ± 0.008233  |         0 ± 0          |
| Bin16  | 0.06129 ± 0.006746  | 0.06129 ± 0.006746  | 1.213e-05 ± 1.213e-05  |
| Bin17  | 0.05082 ± 0.006129  | 0.05082 ± 0.006129  |         0 ± 0          |
| Bin18  |  0.03373 ± 0.00502  |  0.03373 ± 0.00502  |         0 ± 0          |
| Bin19  | 0.03425 ± 0.005058  | 0.03425 ± 0.005058  |         0 ± 0          |
| Bin20  | 0.02465 ± 0.004218  | 0.02465 ± 0.004218  |         0 ± 0          |
| Bin21  |  0.2148 ± 0.01253   |  0.2148 ± 0.01253   |         0 ± 0          |
+--------+---------------------+---------------------+------------------------+
