+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   640.1 ± 0.6809    |   640.1 ± 0.6809    |    0.5093 ± 0.1457     |
| Bin2   |   95.67 ± 0.2641    |   95.67 ± 0.2641    |   0.003944 ± 0.06213   |
| Bin3   |   21.63 ± 0.1259    |   21.63 ± 0.1259    | 0.0006904 ± 0.0001201  |
| Bin4   |   7.705 ± 0.0754    |   7.705 ± 0.0754    | 0.0001334 ± 4.372e-05  |
| Bin5   |   3.585 ± 0.05153   |   3.585 ± 0.05153   | 0.0001213 ± 3.834e-05  |
| Bin6   |   1.988 ± 0.03836   |   1.988 ± 0.03836   |  4.85e-05 ± 2.425e-05  |
| Bin7   |   1.143 ± 0.0291    |   1.143 ± 0.0291    |  4.85e-05 ± 2.97e-05   |
| Bin8   |  0.6678 ± 0.02228   |  0.6678 ± 0.02228   | 2.425e-05 ± 1.715e-05  |
| Bin9   |  0.4347 ± 0.01786   |  0.4347 ± 0.01786   |         0 ± 0          |
| Bin10  |  0.3004 ± 0.01492   |  0.3004 ± 0.01492   |         0 ± 0          |
| Bin11  |  0.2024 ± 0.01223   |  0.2024 ± 0.01223   |         0 ± 0          |
| Bin12  |  0.1463 ± 0.01041   |  0.1463 ± 0.01041   | 1.213e-05 ± 1.213e-05  |
| Bin13  |  0.1092 ± 0.00896   |  0.1092 ± 0.00896   | 1.213e-05 ± 1.213e-05  |
| Bin14  | 0.09603 ± 0.008394  | 0.09603 ± 0.008394  |         0 ± 0          |
| Bin15  |  0.0671 ± 0.007014  |  0.0671 ± 0.007014  |         0 ± 0          |
| Bin16  | 0.04365 ± 0.005645  | 0.04365 ± 0.005645  |         0 ± 0          |
| Bin17  | 0.04543 ± 0.005823  | 0.04543 ± 0.005823  |         0 ± 0          |
| Bin18  |  0.0303 ± 0.004657  |  0.0303 ± 0.004657  |         0 ± 0          |
| Bin19  | 0.02892 ± 0.004555  | 0.02892 ± 0.004555  |         0 ± 0          |
| Bin20  | 0.02613 ± 0.004341  | 0.02613 ± 0.004341  |         0 ± 0          |
| Bin21  |   0.204 ± 0.01222   |   0.204 ± 0.01222   | 2.425e-05 ± 1.715e-05  |
+--------+---------------------+---------------------+------------------------+
