+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+------------------+
| Bin#   |         ZZ          |         ttZ          |         Higgs         |         WZ          |       Other        |        Total        |     data     |      Ratio       |
|--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |         0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0        |    0 ± 0     |      0 ± 0       |
| Bin1   |   31.31 ± 0.1238    | 0.001591 ± 0.001591  |  -0.09213 ± 0.09213   |        0 ± 0        |       0 ± 0        |   31.22 ± 0.1543    |  19 ± 4.359  | 0.6086 ± 0.1397  |
| Bin2   |     79 ± 0.1966     | 0.004773 ± 0.002756  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   79.01 ± 0.1967    |  68 ± 8.246  | 0.8607 ± 0.1044  |
| Bin3   |   98.56 ± 0.2195    | 0.003182 ± 0.003182  |   0.09213 ± 0.1596    |        0 ± 0        |       0 ± 0        |   98.65 ± 0.2714    | 101 ± 10.05  |  1.024 ± 0.1019  |
| Bin4   |   93.44 ± 0.2138    | 0.003182 ± 0.003898  |    0.1843 ± 0.1303    |     0 ± 0.03808     |       0 ± 0        |   93.63 ± 0.2532    |  96 ± 9.798  |  1.025 ± 0.1047  |
| Bin5   |   74.43 ± 0.1907    |     0 ± 0.003182     |    0.1843 ± 0.1303    |  0.05386 ± 0.03808  |       0 ± 0        |   74.66 ± 0.2341    |  85 ± 9.22   |  1.138 ± 0.1235  |
| Bin6   |   53.89 ± 0.1623    |  0.006365 ± 0.0045   |   0.09213 ± 0.09213   |        0 ± 0        |       0 ± 0        |   53.99 ± 0.1867    |  61 ± 7.81   |  1.13 ± 0.1447   |
| Bin7   |   35.38 ± 0.1315    | 0.004773 ± 0.002756  |  -0.09213 ± 0.09213   |  0.02693 ± 0.02693  |       0 ± 0        |   35.32 ± 0.1628    |    36 ± 6    |  1.019 ± 0.1699  |
| Bin8   |   21.96 ± 0.1035    | 0.009547 ± 0.005512  |   0.0853 ± 0.09239    | -0.05386 ± 0.03808  | 0.03525 ± 0.03525  |   22.03 ± 0.1482    |  31 ± 5.568  |  1.407 ± 0.2529  |
| Bin9   |   12.94 ± 0.07945   | 0.009547 ± 0.005512  |   0.09213 ± 0.09213   |        0 ± 0        |       0 ± 0        |   13.05 ± 0.1218    |  12 ± 3.464  | 0.9198 ± 0.2657  |
| Bin10  |   7.381 ± 0.06001   | 0.001591 ± 0.003558  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   7.383 ± 0.06011   |  8 ± 2.828   |  1.084 ± 0.3832  |
| Bin11  |   4.128 ± 0.04495   |  0.01114 ± 0.004773  |         0 ± 0         |        0 ± 0        |       0 ± 0        |   4.139 ± 0.0452    |    1 ± 1     | 0.2416 ± 0.2416  |
| Bin12  |   2.157 ± 0.03252   |  0.009547 ± 0.0045   |         0 ± 0         |  0.02693 ± 0.02693  |       0 ± 0        |   2.194 ± 0.04246   |    4 ± 2     |  1.823 ± 0.9124  |
| Bin13  |   1.145 ± 0.02364   |     0 ± 0.003898     |         0 ± 0         |        0 ± 0        |       0 ± 0        |   1.145 ± 0.02395   |  2 ± 1.414   |  1.747 ± 1.236   |
| Bin14  |  0.6148 ± 0.01737   | 0.009547 ± 0.005032  |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.6243 ± 0.01808   |    1 ± 1     |  1.602 ± 1.602   |
| Bin15  |  0.3313 ± 0.01273   | 0.004773 ± 0.004773  | -0.006836 ± 0.006836  |        0 ± 0        |       0 ± 0        |  0.3293 ± 0.01522   |    0 ± 0     |      0 ± 0       |
| Bin16  |  0.1587 ± 0.008876  |  0.006365 ± 0.0045   |         0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1651 ± 0.009952  |    1 ± 1     |   6.059 ± 6.07   |
| Bin17  | 0.07816 ± 0.006203  | 0.004773 ± 0.003558  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.08293 ± 0.007151  |    1 ± 1     |   12.06 ± 12.1   |
| Bin18  | 0.03649 ± 0.004244  |  0.004773 ± 0.00421  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.04126 ± 0.005978  |    1 ± 1     |  24.24 ± 24.49   |
| Bin19  |  0.02227 ± 0.00336  | 0.001591 ± 0.003558  |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.02386 ± 0.004894  |    0 ± 0     |      0 ± 0       |
| Bin20  | 0.007732 ± 0.00196  |  0.003182 ± 0.0045   |         0 ± 0         |        0 ± 0        |       0 ± 0        | 0.01091 ± 0.004909  |    0 ± 0     |      0 ± 0       |
| Bin21  | 0.01889 ± 0.003141  |  0.01273 ± 0.007116  |   0.02051 ± 0.01184   |        0 ± 0        |       0 ± 0        |  0.05213 ± 0.01417  |    0 ± 0     |      0 ± 0       |
+--------+---------------------+----------------------+-----------------------+---------------------+--------------------+---------------------+--------------+------------------+
