+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    156 ± 0.2364     |    156 ± 0.2364     | 128 ± 11.31  | 0.8206 ± 0.07254  |
| Bin2   |   37.81 ± 0.1166    |   37.81 ± 0.1166    |  37 ± 6.083  |  0.9787 ± 0.1609  |
| Bin3   |   10.89 ± 0.06283   |   10.89 ± 0.06283   |  12 ± 3.464  |  1.102 ± 0.3181   |
| Bin4   |   4.134 ± 0.0388    |   4.134 ± 0.0388    |  3 ± 1.732   |  0.7256 ± 0.419   |
| Bin5   |   2.003 ± 0.02711   |   2.003 ± 0.02711   |    1 ± 1     |  0.4994 ± 0.4994  |
| Bin6   |   1.128 ± 0.02034   |   1.128 ± 0.02034   |    1 ± 1     |  0.8869 ± 0.8871  |
| Bin7   |  0.6851 ± 0.01586   |  0.6851 ± 0.01586   |  3 ± 1.732   |   4.379 ± 2.53    |
| Bin8   |   0.462 ± 0.01306   |   0.462 ± 0.01306   |    0 ± 0     |       0 ± 0       |
| Bin9   |   0.3176 ± 0.0108   |   0.3176 ± 0.0108   |    0 ± 0     |       0 ± 0       |
| Bin10  |  0.2374 ± 0.009403  |  0.2374 ± 0.009403  |    0 ± 0     |       0 ± 0       |
| Bin11  |  0.1418 ± 0.007193  |  0.1418 ± 0.007193  |    0 ± 0     |       0 ± 0       |
| Bin12  |  0.1143 ± 0.006499  |  0.1143 ± 0.006499  |    0 ± 0     |       0 ± 0       |
| Bin13  |  0.08678 ± 0.00568  |  0.08678 ± 0.00568  |    0 ± 0     |       0 ± 0       |
| Bin14  | 0.05982 ± 0.004705  | 0.05982 ± 0.004705  |    1 ± 1     |   16.72 ± 16.77   |
| Bin15  | 0.05083 ± 0.004297  | 0.05083 ± 0.004297  |    0 ± 0     |       0 ± 0       |
| Bin16  | 0.03891 ± 0.003798  | 0.03891 ± 0.003798  |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.02677 ± 0.003144  | 0.02677 ± 0.003144  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.02251 ± 0.002848  | 0.02251 ± 0.002848  |    0 ± 0     |       0 ± 0       |
| Bin19  | 0.02069 ± 0.002735  | 0.02069 ± 0.002735  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.01468 ± 0.002329  | 0.01468 ± 0.002329  |    0 ± 0     |       0 ± 0       |
| Bin21  |  0.1548 ± 0.007558  |  0.1548 ± 0.007558  |    1 ± 1     |   6.459 ± 6.466   |
+--------+---------------------+---------------------+--------------+-------------------+
