+--------+-------------------+-------------------+-------------+------------------+
| Bin#   |        ZZ         |       Total       |    data     |      Ratio       |
|--------+-------------------+-------------------+-------------+------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |  53.01 ± 0.1378   |  53.01 ± 0.1378   |   49 ± 7    | 0.9243 ± 0.1321  |
| Bin2   |   41.57 ± 0.122   |   41.57 ± 0.122   | 41 ± 6.403  | 0.9864 ± 0.1541  |
| Bin3   |   28.5 ± 0.101    |   28.5 ± 0.101    |  22 ± 4.69  | 0.7719 ± 0.1646  |
| Bin4   |  19.33 ± 0.08327  |  19.33 ± 0.08327  | 15 ± 3.873  |  0.776 ± 0.2004  |
| Bin5   |  13.52 ± 0.06965  |  13.52 ± 0.06965  | 14 ± 3.742  |  1.035 ± 0.2767  |
| Bin6   |  10.08 ± 0.0602   |  10.08 ± 0.0602   |    9 ± 3    | 0.8926 ± 0.2976  |
| Bin7   |  8.062 ± 0.05396  |  8.062 ± 0.05396  |  8 ± 2.828  | 0.9923 ± 0.3509  |
| Bin8   |  6.339 ± 0.04777  |  6.339 ± 0.04777  |    1 ± 1    | 0.1578 ± 0.1578  |
| Bin9   |  5.247 ± 0.04348  |  5.247 ± 0.04348  |  7 ± 2.646  |  1.334 ± 0.5043  |
| Bin10  |  4.243 ± 0.03915  |  4.243 ± 0.03915  |    1 ± 1    | 0.2357 ± 0.2357  |
| Bin11  |  3.627 ± 0.03622  |  3.627 ± 0.03622  |  5 ± 2.236  |  1.378 ± 0.6166  |
| Bin12  |  2.934 ± 0.03254  |  2.934 ± 0.03254  |    1 ± 1    | 0.3409 ± 0.3409  |
| Bin13  |  2.363 ± 0.02921  |  2.363 ± 0.02921  |  2 ± 1.414  | 0.8465 ± 0.5986  |
| Bin14  |  1.973 ± 0.02672  |  1.973 ± 0.02672  |    1 ± 1    | 0.5068 ± 0.5068  |
| Bin15  |  1.578 ± 0.02392  |  1.578 ± 0.02392  |    0 ± 0    |      0 ± 0       |
| Bin16  |  1.351 ± 0.02214  |  1.351 ± 0.02214  |  2 ± 1.414  |  1.481 ± 1.047   |
| Bin17  |  1.135 ± 0.02034  |  1.135 ± 0.02034  |    1 ± 1    |  0.881 ± 0.8811  |
| Bin18  | 0.9387 ± 0.01839  | 0.9387 ± 0.01839  |    1 ± 1    |  1.065 ± 1.066   |
| Bin19  | 0.8035 ± 0.01704  | 0.8035 ± 0.01704  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.7129 ± 0.01609  | 0.7129 ± 0.01609  |    0 ± 0    |      0 ± 0       |
| Bin21  |   7.06 ± 0.0507   |   7.06 ± 0.0507   |  7 ± 2.646  | 0.9915 ± 0.3748  |
+--------+-------------------+-------------------+-------------+------------------+
