+--------+----------------------+----------------------+-------------+-------------------+
| Bin#   |          ZZ          |        Total         |    data     |       Ratio       |
|--------+----------------------+----------------------+-------------+-------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |    0 ± 0    |       0 ± 0       |
| Bin1   |    74.71 ± 0.164     |    74.71 ± 0.164     |  53 ± 7.28  | 0.7094 ± 0.09746  |
| Bin2   |    56.69 ± 0.1427    |    56.69 ± 0.1427    | 50 ± 7.071  |  0.882 ± 0.1247   |
| Bin3   |    36.75 ± 0.1148    |    36.75 ± 0.1148    | 34 ± 5.831  |  0.9251 ± 0.1587  |
| Bin4   |   21.43 ± 0.08762    |   21.43 ± 0.08762    | 27 ± 5.196  |   1.26 ± 0.2425   |
| Bin5   |   11.74 ± 0.06482    |   11.74 ± 0.06482    | 12 ± 3.464  |  1.022 ± 0.2951   |
| Bin6   |   6.288 ± 0.04749    |   6.288 ± 0.04749    |  5 ± 2.236  |  0.7952 ± 0.3557  |
| Bin7   |   3.163 ± 0.03361    |   3.163 ± 0.03361    |  2 ± 1.414  |  0.6324 ± 0.4472  |
| Bin8   |   1.603 ± 0.02394    |   1.603 ± 0.02394    |  2 ± 1.414  |  1.248 ± 0.8825   |
| Bin9   |   0.8463 ± 0.0174    |   0.8463 ± 0.0174    |    1 ± 1    |   1.182 ± 1.182   |
| Bin10  |   0.4863 ± 0.01325   |   0.4863 ± 0.01325   |    1 ± 1    |   2.056 ± 2.057   |
| Bin11  |  0.2639 ± 0.009737   |  0.2639 ± 0.009737   |    0 ± 0    |       0 ± 0       |
| Bin12  |  0.1444 ± 0.007179   |  0.1444 ± 0.007179   |    0 ± 0    |       0 ± 0       |
| Bin13  |  0.08429 ± 0.005497  |  0.08429 ± 0.005497  |    0 ± 0    |       0 ± 0       |
| Bin14  |  0.04905 ± 0.004191  |  0.04905 ± 0.004191  |    0 ± 0    |       0 ± 0       |
| Bin15  |  0.04087 ± 0.003872  |  0.04087 ± 0.003872  |    0 ± 0    |       0 ± 0       |
| Bin16  |  0.02055 ± 0.00272   |  0.02055 ± 0.00272   |    0 ± 0    |       0 ± 0       |
| Bin17  |  0.01687 ± 0.002423  |  0.01687 ± 0.002423  |    0 ± 0    |       0 ± 0       |
| Bin18  |  0.01377 ± 0.002277  |  0.01377 ± 0.002277  |    0 ± 0    |       0 ± 0       |
| Bin19  | 0.008546 ± 0.001786  | 0.008546 ± 0.001786  |    0 ± 0    |       0 ± 0       |
| Bin20  | 0.004592 ± 0.001283  | 0.004592 ± 0.001283  |    0 ± 0    |       0 ± 0       |
| Bin21  |  0.02086 ± 0.002825  |  0.02086 ± 0.002825  |    0 ± 0    |       0 ± 0       |
+--------+----------------------+----------------------+-------------+-------------------+
