+--------+-----------------------+-----------------------+-------------+------------------+
| Bin#   |          ZZ           |         Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    17.91 ± 0.08031    |    17.91 ± 0.08031    | 11 ± 3.317  | 0.6144 ± 0.1853  |
| Bin2   |    43.42 ± 0.1251     |    43.42 ± 0.1251     | 26 ± 5.099  | 0.5988 ± 0.1175  |
| Bin3   |    48.91 ± 0.1326     |    48.91 ± 0.1326     | 43 ± 6.557  | 0.8791 ± 0.1341  |
| Bin4   |    40.36 ± 0.1203     |    40.36 ± 0.1203     | 30 ± 5.477  | 0.7434 ± 0.1357  |
| Bin5   |    27.82 ± 0.09983    |    27.82 ± 0.09983    | 33 ± 5.745  |  1.186 ± 0.2065  |
| Bin6   |    17.13 ± 0.07832    |    17.13 ± 0.07832    | 19 ± 4.359  |  1.109 ± 0.2546  |
| Bin7   |    9.509 ± 0.05828    |    9.509 ± 0.05828    | 11 ± 3.317  |  1.157 ± 0.3489  |
| Bin8   |    4.875 ± 0.04168    |    4.875 ± 0.04168    |  6 ± 2.449  |  1.231 ± 0.5025  |
| Bin9   |    2.425 ± 0.02945    |    2.425 ± 0.02945    |  3 ± 1.732  |  1.237 ± 0.7145  |
| Bin10  |    1.119 ± 0.01994    |    1.119 ± 0.01994    |    4 ± 2    |  3.574 ± 1.788   |
| Bin11  |   0.4741 ± 0.01299    |   0.4741 ± 0.01299    |    0 ± 0    |      0 ± 0       |
| Bin12  |   0.2275 ± 0.009023   |   0.2275 ± 0.009023   |    1 ± 1    |  4.395 ± 4.398   |
| Bin13  |   0.1059 ± 0.006179   |   0.1059 ± 0.006179   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.04618 ± 0.004116   |  0.04618 ± 0.004116   |    0 ± 0    |      0 ± 0       |
| Bin15  |  0.02963 ± 0.003351   |  0.02963 ± 0.003351   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.01164 ± 0.002078   |  0.01164 ± 0.002078   |    0 ± 0    |      0 ± 0       |
| Bin17  |  0.007728 ± 0.001689  |  0.007728 ± 0.001689  |    0 ± 0    |      0 ± 0       |
| Bin18  |  0.005498 ± 0.001477  |  0.005498 ± 0.001477  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.002136 ± 0.0009165  | 0.002136 ± 0.0009165  |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.002453 ± 0.001001  |  0.002453 ± 0.001001  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.002681 ± 0.001019  |  0.002681 ± 0.001019  |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+-------------+------------------+
