+--------+------------------------+------------------------+-------------+------------------+
| Bin#   |           ZZ           |         Total          |    data     |      Ratio       |
|--------+------------------------+------------------------+-------------+------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |    0 ± 0    |      0 ± 0       |
| Bin1   |    8.179 ± 0.05427     |    8.179 ± 0.05427     |  2 ± 1.414  | 0.2445 ± 0.1729  |
| Bin2   |    22.32 ± 0.08969     |    22.32 ± 0.08969     | 17 ± 4.123  | 0.7618 ± 0.1848  |
| Bin3   |     30.83 ± 0.1054     |     30.83 ± 0.1054     | 18 ± 4.243  | 0.5839 ± 0.1376  |
| Bin4   |     33.11 ± 0.1092     |     33.11 ± 0.1092     | 33 ± 5.745  | 0.9966 ± 0.1735  |
| Bin5   |     30.57 ± 0.1047     |     30.57 ± 0.1047     | 17 ± 4.123  | 0.5562 ± 0.1349  |
| Bin6   |     25.59 ± 0.0958     |     25.59 ± 0.0958     | 23 ± 4.796  | 0.8988 ± 0.1874  |
| Bin7   |    19.93 ± 0.08451     |    19.93 ± 0.08451     | 27 ± 5.196  |  1.355 ± 0.2608  |
| Bin8   |    14.63 ± 0.07238     |    14.63 ± 0.07238     | 17 ± 4.123  |  1.162 ± 0.2818  |
| Bin9   |    10.39 ± 0.06098     |    10.39 ± 0.06098     |  8 ± 2.828  | 0.7701 ± 0.2723  |
| Bin10  |    6.999 ± 0.05002     |    6.999 ± 0.05002     |  7 ± 2.646  |    1 ± 0.3781    |
| Bin11  |    4.542 ± 0.04022     |    4.542 ± 0.04022     |  5 ± 2.236  |  1.101 ± 0.4925  |
| Bin12  |    2.844 ± 0.03184     |    2.844 ± 0.03184     |  5 ± 2.236  |  1.758 ± 0.7865  |
| Bin13  |    1.818 ± 0.02552     |    1.818 ± 0.02552     |  2 ± 1.414  |   1.1 ± 0.7779   |
| Bin14  |     1.08 ± 0.01962     |     1.08 ± 0.01962     |    1 ± 1    | 0.9262 ± 0.9264  |
| Bin15  |    0.6456 ± 0.01513    |    0.6456 ± 0.01513    |    4 ± 2    |  6.196 ± 3.101   |
| Bin16  |    0.3708 ± 0.01151    |    0.3708 ± 0.01151    |    0 ± 0    |      0 ± 0       |
| Bin17  |    0.204 ± 0.008492    |    0.204 ± 0.008492    |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.1269 ± 0.006746    |   0.1269 ± 0.006746    |    1 ± 1    |  7.881 ± 7.892   |
| Bin19  |   0.08137 ± 0.005437   |   0.08137 ± 0.005437   |    0 ± 0    |      0 ± 0       |
| Bin20  |   0.04474 ± 0.003989   |   0.04474 ± 0.003989   |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.02595 ± 0.003107   |   0.02595 ± 0.003107   |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.0215 ± 0.002831    |   0.0215 ± 0.002831    |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.01313 ± 0.002259   |   0.01313 ± 0.002259   |    0 ± 0    |      0 ± 0       |
| Bin24  |  0.006637 ± 0.001559   |  0.006637 ± 0.001559   |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.004864 ± 0.001335   |  0.004864 ± 0.001335   |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.004954 ± 0.001382   |  0.004954 ± 0.001382   |    0 ± 0    |      0 ± 0       |
| Bin27  |  0.003408 ± 0.001159   |  0.003408 ± 0.001159   |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.001727 ± 0.0008202  |  0.001727 ± 0.0008202  |    0 ± 0    |      0 ± 0       |
| Bin29  | 0.0004089 ± 0.0004089  | 0.0004089 ± 0.0004089  |    0 ± 0    |      0 ± 0       |
| Bin30  |  0.002453 ± 0.001001   |  0.002453 ± 0.001001   |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.002681 ± 0.001019   |  0.002681 ± 0.001019   |    0 ± 0    |      0 ± 0       |
+--------+------------------------+------------------------+-------------+------------------+
