+--------+-------------------+-----------------------+--------+-------------------+-------------+------------------+
| Bin#   |        ZZ         |          ttZ          | Other  |       Total       |    data     |      Ratio       |
|--------+-------------------+-----------------------+--------+-------------------+-------------+------------------+
| Bin0   |       0 ± 0       |         0 ± 0         | 0 ± 0  |       0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |   63.8 ± 0.1511   |  0.02585 ± 0.007866   | 0 ± 0  |  63.82 ± 0.1513   | 66 ± 8.124  |  1.034 ± 0.1273  |
| Bin2   |  45.24 ± 0.1273   |  0.01867 ± 0.006581   | 0 ± 0  |  45.26 ± 0.1275   | 41 ± 6.403  |  0.906 ± 0.1415  |
| Bin3   |  27.43 ± 0.09906  |   0.004308 ± 0.0038   | 0 ± 0  |  27.43 ± 0.09913  |  22 ± 4.69  |  0.802 ± 0.171   |
| Bin4   |  17.12 ± 0.07842  |  0.008617 ± 0.004975  | 0 ± 0  |  17.13 ± 0.07858  | 14 ± 3.742  | 0.8173 ± 0.2185  |
| Bin5   |  11.93 ± 0.06555  |  0.002872 ± 0.002872  | 0 ± 0  |  11.94 ± 0.06561  |  6 ± 2.449  | 0.5026 ± 0.2052  |
| Bin6   |  8.834 ± 0.05643  |     0 ± 0.002031      | 0 ± 0  |  8.834 ± 0.05647  | 13 ± 3.606  |  1.472 ± 0.4083  |
| Bin7   |  7.058 ± 0.05047  |     0 ± 0.002031      | 0 ± 0  |  7.058 ± 0.05051  |  5 ± 2.236  | 0.7084 ± 0.3169  |
| Bin8   |  5.646 ± 0.04512  | -0.001436 ± 0.001436  | 0 ± 0  |  5.645 ± 0.04514  |  5 ± 2.236  | 0.8858 ± 0.3962  |
| Bin9   |  4.661 ± 0.04104  |     0 ± 0.002872      | 0 ± 0  |  4.661 ± 0.04114  |  3 ± 1.732  | 0.6436 ± 0.3716  |
| Bin10  |  3.748 ± 0.03679  | -0.001436 ± 0.001436  | 0 ± 0  |  3.746 ± 0.03681  |  2 ± 1.414  | 0.5338 ± 0.3775  |
| Bin11  |  2.988 ± 0.03291  |  0.001436 ± 0.001436  | 0 ± 0  |  2.989 ± 0.03295  |    1 ± 1    | 0.3346 ± 0.3346  |
| Bin12  |  2.428 ± 0.02965  |  0.001436 ± 0.001436  | 0 ± 0  |  2.43 ± 0.02969   |  2 ± 1.414  | 0.8232 ± 0.5822  |
| Bin13  |  1.911 ± 0.02635  |  0.001436 ± 0.001436  | 0 ± 0  |  1.913 ± 0.02639  |    1 ± 1    | 0.5228 ± 0.5228  |
| Bin14  |  1.547 ± 0.0237   |  0.001436 ± 0.001436  | 0 ± 0  |  1.548 ± 0.02375  |    1 ± 1    |  0.646 ± 0.6461  |
| Bin15  |  1.21 ± 0.02099   |         0 ± 0         | 0 ± 0  |  1.21 ± 0.02099   |    0 ± 0    |      0 ± 0       |
| Bin16  |  1.08 ± 0.01988   |         0 ± 0         | 0 ± 0  |  1.08 ± 0.01988   |    0 ± 0    |      0 ± 0       |
| Bin17  | 0.8646 ± 0.01772  |  0.001436 ± 0.001436  | 0 ± 0  |  0.866 ± 0.01778  |  2 ± 1.414  |  2.309 ± 1.634   |
| Bin18  | 0.7129 ± 0.01611  |         0 ± 0         | 0 ± 0  | 0.7129 ± 0.01611  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.6148 ± 0.01494  |         0 ± 0         | 0 ± 0  | 0.6148 ± 0.01494  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.5321 ± 0.01385  |         0 ± 0         | 0 ± 0  | 0.5321 ± 0.01385  |    0 ± 0    |      0 ± 0       |
| Bin21  |  5.033 ± 0.04295  |  0.002872 ± 0.002872  | 0 ± 0  |  5.036 ± 0.04305  |  3 ± 1.732  |  0.5957 ± 0.344  |
+--------+-------------------+-----------------------+--------+-------------------+-------------+------------------+
