+--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
| Bin#   |          ZZ           |          ttZ          | Other  |        Total         |    data     |      Ratio       |
|--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
| Bin0   |         0 ± 0         |         0 ± 0         | 0 ± 0  |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |     31.68 ± 0.108     |  0.002872 ± 0.002031  | 0 ± 0  |    31.68 ± 0.108     | 15 ± 3.873  | 0.4735 ± 0.1223  |
| Bin2   |    57.45 ± 0.1444     |  0.001436 ± 0.001436  | 0 ± 0  |    57.46 ± 0.1444    | 48 ± 6.928  | 0.8354 ± 0.1206  |
| Bin3   |    48.41 ± 0.1315     |  0.001436 ± 0.001436  | 0 ± 0  |    48.41 ± 0.1315    | 42 ± 6.481  | 0.8676 ± 0.1339  |
| Bin4   |    33.12 ± 0.1084     |  0.001436 ± 0.001436  | 0 ± 0  |    33.13 ± 0.1084    |   36 ± 6    |  1.087 ± 0.1812  |
| Bin5   |    19.86 ± 0.08379    |  0.002872 ± 0.002872  | 0 ± 0  |   19.86 ± 0.08384    |  22 ± 4.69  |  1.108 ± 0.2362  |
| Bin6   |    11.05 ± 0.06236    |  0.002872 ± 0.004062  | 0 ± 0  |   11.05 ± 0.06249    |  7 ± 2.646  | 0.6333 ± 0.2394  |
| Bin7   |    6.124 ± 0.04646    |  0.004308 ± 0.003211  | 0 ± 0  |   6.128 ± 0.04657    |  6 ± 2.449  | 0.9791 ± 0.3998  |
| Bin8   |    3.194 ± 0.03355    |   0.004308 ± 0.0038   | 0 ± 0  |   3.198 ± 0.03376    |  7 ± 2.646  |  2.189 ± 0.8275  |
| Bin9   |    1.667 ± 0.02428    |  0.002872 ± 0.003518  | 0 ± 0  |   1.669 ± 0.02454    |  3 ± 1.732  |  1.797 ± 1.038   |
| Bin10  |   0.8516 ± 0.01732    | -0.001436 ± 0.002487  | 0 ± 0  |   0.8502 ± 0.0175    |    0 ± 0    |      0 ± 0       |
| Bin11  |   0.4521 ± 0.01268    |  0.002872 ± 0.002872  | 0 ± 0  |    0.455 ± 0.013     |    1 ± 1    |  2.198 ± 2.199   |
| Bin12  |   0.2388 ± 0.009243   |  0.008617 ± 0.003518  | 0 ± 0  |  0.2474 ± 0.009889   |    0 ± 0    |      0 ± 0       |
| Bin13  |   0.1256 ± 0.006735   |  0.005745 ± 0.003518  | 0 ± 0  |  0.1314 ± 0.007598   |    0 ± 0    |      0 ± 0       |
| Bin14  |  0.06416 ± 0.004742   |     0 ± 0.002872      | 0 ± 0  |  0.06416 ± 0.005544  |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.0386 ± 0.003717   |     0 ± 0.002031      | 0 ± 0  |  0.0386 ± 0.004236   |    0 ± 0    |      0 ± 0       |
| Bin16  |  0.02228 ± 0.002828   |  0.007181 ± 0.003211  | 0 ± 0  |  0.02946 ± 0.004279  |    0 ± 0    |      0 ± 0       |
| Bin17  |   0.01432 ± 0.00232   |  0.001436 ± 0.002487  | 0 ± 0  |  0.01575 ± 0.003401  |    0 ± 0    |      0 ± 0       |
| Bin18  |  0.006318 ± 0.001515  |  0.001436 ± 0.003211  | 0 ± 0  | 0.007754 ± 0.003551  |    0 ± 0    |      0 ± 0       |
| Bin19  | 0.001637 ± 0.0007384  |  0.002872 ± 0.002031  | 0 ± 0  | 0.004509 ± 0.002161  |    0 ± 0    |      0 ± 0       |
| Bin20  |  0.003316 ± 0.001157  |  0.001436 ± 0.001436  | 0 ± 0  | 0.004752 ± 0.001844  |    0 ± 0    |      0 ± 0       |
| Bin21  |  0.00618 ± 0.001545   |  0.01293 ± 0.005921   | 0 ± 0  |  0.0191 ± 0.006119   |    0 ± 0    |      0 ± 0       |
+--------+-----------------------+-----------------------+--------+----------------------+-------------+------------------+
