+--------+---------------------+------------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |          ttZ           |       Other        |        Total        |     data     |       Ratio       |
| Bin19  |   2.068 ± 0.03533   |   0.01084 ± 0.006615   |       0 ± 0        |   2.079 ± 0.03594   |    1 ± 1     |  0.4809 ± 0.481   |
| Bin20  |   1.348 ± 0.02857   |   0.01118 ± 0.006981   |       0 ± 0        |   1.359 ± 0.02941   |  2 ± 1.414   |   1.472 ± 1.041   |
| Bin21  |  0.8178 ± 0.02216   |   0.01728 ± 0.006431   |       0 ± 0        |  0.8351 ± 0.02307   |    0 ± 0     |       0 ± 0       |
| Bin22  |  0.5386 ± 0.01798   |  0.009634 ± 0.006434   |       0 ± 0        |  0.5482 ± 0.01909   |  2 ± 1.414   |   3.648 ± 2.583   |
| Bin23  |  0.3729 ± 0.01498   |   0.0123 ± 0.005923    |       0 ± 0        |   0.3852 ± 0.0161   |  2 ± 1.414   |   5.192 ± 3.678   |
| Bin24  |  0.2069 ± 0.01118   |   0.01938 ± 0.007096   |       0 ± 0        |  0.2263 ± 0.01324   |    0 ± 0     |       0 ± 0       |
| Bin25  |  0.1331 ± 0.009018  |   0.007748 ± 0.00566   |       0 ± 0        |  0.1408 ± 0.01065   |    0 ± 0     |       0 ± 0       |
| Bin26  | 0.09028 ± 0.007306  |  0.003027 ± 0.005044   |       0 ± 0        |  0.0933 ± 0.008878  |  2 ± 1.414   |   21.44 ± 15.29   |
| Bin27  | 0.05051 ± 0.005574  |  0.009769 ± 0.004582   |       0 ± 0        | 0.06028 ± 0.007216  |    0 ± 0     |       0 ± 0       |
| Bin28  | 0.04063 ± 0.004984  |  0.002897 ± 0.005317   |       0 ± 0        | 0.04353 ± 0.007288  |    0 ± 0     |       0 ± 0       |
| Bin29  |  0.0214 ± 0.003732  |  0.007651 ± 0.005179   |       0 ± 0        | 0.02905 ± 0.006384  |    0 ± 0     |       0 ± 0       |
| Bin30  | 0.01723 ± 0.003293  |   0.01251 ± 0.005975   |       0 ± 0        | 0.02973 ± 0.006822  |    0 ± 0     |       0 ± 0       |
| Bin31  | 0.05424 ± 0.005802  |   0.08241 ± 0.01515    |       0 ± 0        |  0.1366 ± 0.01623   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+------------------------+--------------------+---------------------+--------------+-------------------+
