+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |         ttZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   116.3 ± 0.2546    | 0.001591 ± 0.002914  |       0 ± 0        |   116.3 ± 0.2546    |  84 ± 9.165  |  0.7221 ± 0.0788  |
| Bin2   |   289.6 ± 0.4023    |  0.0129 ± 0.005461   |       0 ± 0        |   289.6 ± 0.4023    | 238 ± 15.43  | 0.8219 ± 0.05329  |
| Bin3   |   349.3 ± 0.4435    | 0.009188 ± 0.005911  |       0 ± 0        |   349.3 ± 0.4435    | 348 ± 18.65  | 0.9964 ± 0.05343  |
| Bin4   |   317.4 ± 0.4248    |  0.01705 ± 0.007312  |       0 ± 0        |   317.4 ± 0.4248    | 293 ± 17.12  | 0.9231 ± 0.05394  |
| Bin5   |   244.1 ± 0.3746    |  0.0203 ± 0.007474   |       0 ± 0        |   244.2 ± 0.3747    | 239 ± 15.46  | 0.9789 ± 0.06334  |
| Bin6   |   169.5 ± 0.3138    |  0.02023 ± 0.00753   | 0.03706 ± 0.03706  |   169.6 ± 0.3161    | 167 ± 12.92  |  0.985 ± 0.07624  |
| Bin7   |   107.3 ± 0.2508    |  0.02935 ± 0.008715  |       0 ± 0        |    107.4 ± 0.251    | 124 ± 11.14  |  1.155 ± 0.1038   |
| Bin8   |    64.1 ± 0.1948    |   0.03563 ± 0.0101   | 0.03525 ± 0.03525  |   64.17 ± 0.1982    |  78 ± 8.832  |  1.215 ± 0.1377   |
| Bin9   |   36.92 ± 0.1484    |   0.03726 ± 0.0109   |       0 ± 0        |   36.95 ± 0.1488    |  42 ± 6.481  |  1.137 ± 0.1754   |
| Bin10  |    20.4 ± 0.1107    |  0.04551 ± 0.009785  |       0 ± 0        |   20.44 ± 0.1112    |  35 ± 5.916  |  1.712 ± 0.2895   |
| Bin11  |   10.81 ± 0.0808    |  0.0263 ± 0.008918   | 0.04628 ± 0.04628  |   10.88 ± 0.09354   |  10 ± 3.162  |  0.9193 ± 0.2908  |
| Bin12  |   5.507 ± 0.05774   |  0.02001 ± 0.008972  |       0 ± 0        |   5.527 ± 0.05843   |  7 ± 2.646   |  1.267 ± 0.4789   |
| Bin13  |   2.811 ± 0.04121   |  0.00914 ± 0.008165  |       0 ± 0        |   2.82 ± 0.04201    |  2 ± 1.414   |  0.7092 ± 0.5016  |
| Bin14  |   1.423 ± 0.02927   |  0.03016 ± 0.008197  |       0 ± 0        |   1.453 ± 0.0304    |    1 ± 1     |  0.6882 ± 0.6883  |
| Bin15  |  0.7467 ± 0.02113   |  0.01893 ± 0.008179  |       0 ± 0        |  0.7656 ± 0.02266   |  2 ± 1.414   |   2.612 ± 1.849   |
| Bin16  |  0.3718 ± 0.01503   |  0.02238 ± 0.007742  |       0 ± 0        |  0.3941 ± 0.01691   |  2 ± 1.414   |   5.074 ± 3.595   |
| Bin17  |  0.1879 ± 0.01067   | 0.009343 ± 0.006288  |       0 ± 0        |  0.1973 ± 0.01238   |    1 ± 1     |   5.069 ± 5.079   |
| Bin18  | 0.08594 ± 0.007209  |   0.0112 ± 0.00624   |       0 ± 0        | 0.09714 ± 0.009534  |    1 ± 1     |   10.29 ± 10.34   |
| Bin19  | 0.05508 ± 0.005854  |  0.01217 ± 0.006528  |       0 ± 0        | 0.06725 ± 0.008768  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.02417 ± 0.003918  |  0.01089 ± 0.006941  |       0 ± 0        | 0.03506 ± 0.007971  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.05424 ± 0.005802  |  0.08241 ± 0.01515   |       0 ± 0        |  0.1366 ± 0.01623   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
