+--------+---------------------+-----------------------+--------------------+--------------------+--------------+-------------------+
| Bin#   |         ZZ          |          ttZ          |       Other        |       Total        |     data     |       Ratio       |
|--------+---------------------+-----------------------+--------------------+--------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |       0 ± 0        |       0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   544.6 ± 0.5545    |   0.02788 ± 0.01137   |       0 ± 0        |   544.6 ± 0.5546   | 489 ± 22.11  | 0.8979 ± 0.04061  |
| Bin2   |   435.5 ± 0.4972    |  0.03427 ± 0.009923   |       0 ± 0        |   435.6 ± 0.4973   |  388 ± 19.7  | 0.8908 ± 0.04523  |
| Bin3   |   304.3 ± 0.4169    |   0.04244 ± 0.01218   |       0 ± 0        |   304.3 ± 0.4171   | 314 ± 17.72  |  1.032 ± 0.05824  |
| Bin4   |   192.3 ± 0.3328    |   0.05539 ± 0.01212   | 0.03525 ± 0.03525  |   192.4 ± 0.3348   | 197 ± 14.04  |  1.024 ± 0.07296  |
| Bin5   |   114.6 ± 0.2578    |   0.0445 ± 0.009946   | 0.04628 ± 0.04628  |   114.7 ± 0.2621   | 131 ± 11.45  |  1.142 ± 0.0998   |
| Bin6   |   65.31 ± 0.1952    |   0.05855 ± 0.01213   | 0.03706 ± 0.03706  |   65.41 ± 0.199    |  66 ± 8.124  |  1.009 ± 0.1242   |
| Bin7   |   35.78 ± 0.1447    |   0.04246 ± 0.01058   |       0 ± 0        |   35.82 ± 0.1451   |  37 ± 6.083  |  1.033 ± 0.1699   |
| Bin8   |   19.54 ± 0.1073    |   0.03906 ± 0.01097   |       0 ± 0        |   19.58 ± 0.1078   |  20 ± 4.472  |  1.021 ± 0.2284   |
| Bin9   |   10.68 ± 0.07925   |  0.03274 ± 0.009811   |       0 ± 0        |  10.71 ± 0.07985   |  12 ± 3.464  |   1.12 ± 0.3235   |
| Bin10  |   5.913 ± 0.05897   |   0.0241 ± 0.008552   |       0 ± 0        |  5.937 ± 0.05959   |  12 ± 3.464  |  2.021 ± 0.5838   |
| Bin11  |   3.242 ± 0.04379   |  0.02687 ± 0.008568   |       0 ± 0        |  3.269 ± 0.04462   |  2 ± 1.414   |  0.6119 ± 0.4327  |
| Bin12  |    1.9 ± 0.03358    |  0.009368 ± 0.005516  |       0 ± 0        |   1.91 ± 0.03403   |    4 ± 2     |   2.094 ± 1.048   |
| Bin13  |   1.115 ± 0.02568   |  0.01553 ± 0.006331   |       0 ± 0        |  1.131 ± 0.02645   |    1 ± 1     |  0.8846 ± 0.8848  |
| Bin14  |  0.7236 ± 0.02072   |  0.008091 ± 0.005291  |       0 ± 0        |  0.7317 ± 0.02139  |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.4701 ± 0.01675   |  0.001828 ± 0.004745  |       0 ± 0        |  0.4719 ± 0.01741  |    0 ± 0     |       0 ± 0       |
| Bin16  |  0.2625 ± 0.01264   |  0.003187 ± 0.003999  |       0 ± 0        |  0.2657 ± 0.01326  |    1 ± 1     |   3.763 ± 3.768   |
| Bin17  |  0.1822 ± 0.01039   |      0 ± 0.00225      |       0 ± 0        |  0.1822 ± 0.01063  |    0 ± 0     |       0 ± 0       |
| Bin18  |  0.1311 ± 0.00889   | -0.001726 ± 0.001726  |       0 ± 0        | 0.1294 ± 0.009056  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.0977 ± 0.007658  |  0.00502 ± 0.004288   |       0 ± 0        | 0.1027 ± 0.008777  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.06374 ± 0.006275  |  0.001567 ± 0.001567  |       0 ± 0        | 0.0653 ± 0.006467  |    0 ± 0     |       0 ± 0       |
| Bin21  |  0.2154 ± 0.01131   |  0.01081 ± 0.006451   |       0 ± 0        |  0.2262 ± 0.01302  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+-----------------------+--------------------+--------------------+--------------+-------------------+
