+--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
| Bin#   |        ZZ         |         ttZ          |       Other        |       Total       |     data     |       Ratio       |
|--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
| Bin0   |       0 ± 0       |        0 ± 0         |       0 ± 0        |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |       0 ± 0       |        0 ± 0         |       0 ± 0        |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |       0 ± 0       |        0 ± 0         |       0 ± 0        |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |   234 ± 0.3642    |  0.09761 ± 0.01397   |       0 ± 0        |  234.1 ± 0.3644   | 235 ± 15.33  |  1.004 ± 0.06551  |
| Bin4   |  390.7 ± 0.4713   |  0.08167 ± 0.01626   |  0.0723 ± 0.05114  |  390.9 ± 0.4743   | 371 ± 19.26  | 0.9492 ± 0.04929  |
| Bin5   |   458 ± 0.5114    |   0.1009 ± 0.01583   | 0.04628 ± 0.04628  |  458.2 ± 0.5138   | 453 ± 21.28  | 0.9887 ± 0.04647  |
| Bin6   |  375.5 ± 0.4635   |  0.04846 ± 0.01471   |       0 ± 0        |  375.5 ± 0.4637   |   361 ± 19   | 0.9613 ± 0.05061  |
| Bin7   |  138.5 ± 0.2822   |  0.04858 ± 0.01234   |       0 ± 0        |  138.5 ± 0.2824   | 111 ± 10.54  | 0.8012 ± 0.07607  |
| Bin8   |  54.76 ± 0.1772   | 0.009483 ± 0.008702  |       0 ± 0        |  54.76 ± 0.1774   |  58 ± 7.616  |  1.059 ± 0.1391   |
| Bin9   |   28.8 ± 0.1283   |  0.01901 ± 0.008391  |       0 ± 0        |  28.82 ± 0.1286   |  29 ± 5.385  |  1.006 ± 0.1869   |
| Bin10  |  17.2 ± 0.09916   |  0.01449 ± 0.007523  |       0 ± 0        |  17.22 ± 0.09944  |  22 ± 4.69   |  1.278 ± 0.2725   |
| Bin11  |  10.96 ± 0.07929  |  0.01429 ± 0.006543  |       0 ± 0        |  10.97 ± 0.07956  |  10 ± 3.162  |  0.9112 ± 0.2882  |
| Bin12  |  7.433 ± 0.06515  | 0.004884 ± 0.005269  |       0 ± 0        |  7.438 ± 0.06536  |  8 ± 2.828   |  1.076 ± 0.3804   |
| Bin13  |  5.232 ± 0.0547   | 0.006055 ± 0.004269  |       0 ± 0        |  5.238 ± 0.05487  |  6 ± 2.449   |  1.146 ± 0.4678   |
| Bin14  |  3.68 ± 0.04571   |  0.0065 ± 0.003252   |       0 ± 0        |  3.687 ± 0.04582  |  3 ± 1.732   |  0.8138 ± 0.4699  |
| Bin15  |  2.71 ± 0.03928   |  0.01105 ± 0.00418   |       0 ± 0        |  2.721 ± 0.0395   |  2 ± 1.414   |  0.7351 ± 0.5199  |
| Bin16  |  2.03 ± 0.03396   |  0.001591 ± 0.00258  |       0 ± 0        |  2.032 ± 0.03406  |    1 ± 1     |  0.4922 ± 0.4923  |
| Bin17  |  1.509 ± 0.02928  |        0 ± 0         |       0 ± 0        |  1.509 ± 0.02928  |    1 ± 1     |  0.6629 ± 0.663   |
| Bin18  |  1.206 ± 0.02639  | 0.004599 ± 0.002666  |       0 ± 0        |  1.211 ± 0.02653  |    1 ± 1     |  0.826 ± 0.8262   |
| Bin19  | 0.9027 ± 0.02262  | 0.003138 ± 0.003167  |       0 ± 0        | 0.9059 ± 0.02284  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.7319 ± 0.02046  | 0.001722 ± 0.002655  |       0 ± 0        | 0.7336 ± 0.02063  |    0 ± 0     |       0 ± 0       |
| Bin21  |  3.154 ± 0.04231  | 0.007887 ± 0.004739  |       0 ± 0        |  3.162 ± 0.04258  |  2 ± 1.414   |  0.6326 ± 0.4474  |
+--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
