+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |         ttZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    236 ± 0.3686     |  0.00603 ± 0.003019  |       0 ± 0        |    236 ± 0.3686     | 224 ± 14.97  |  0.949 ± 0.06343  |
| Bin2   |   445.3 ± 0.5049    | 0.009565 ± 0.004514  |       0 ± 0        |   445.3 ± 0.5049    |  445 ± 21.1  | 0.9993 ± 0.04738  |
| Bin3   |   392.5 ± 0.4728    |  0.01288 ± 0.006075  |       0 ± 0        |   392.5 ± 0.4728    | 374 ± 19.34  | 0.9529 ± 0.04929  |
| Bin4   |   274.7 ± 0.3948    |  0.01718 ± 0.006895  |       0 ± 0        |   274.8 ± 0.3949    | 260 ± 16.12  |  0.9463 ± 0.0587  |
| Bin5   |   171.2 ± 0.3118    |  0.02039 ± 0.007218  |       0 ± 0        |   171.2 ± 0.3119    | 171 ± 13.08  |  0.9988 ± 0.0764  |
| Bin6   |    99.52 ± 0.238    |   0.017 ± 0.008399   |       0 ± 0        |   99.53 ± 0.2381    |  92 ± 9.592  | 0.9243 ± 0.09639  |
| Bin7   |   55.18 ± 0.1772    |  0.03019 ± 0.008882  | 0.08334 ± 0.05929  |    55.3 ± 0.1871    |    49 ± 7    |  0.8861 ± 0.1266  |
| Bin8   |   29.58 ± 0.1297    |  0.03011 ± 0.009008  |       0 ± 0        |   29.61 ± 0.1301    |  20 ± 4.472  |  0.6755 ± 0.1511  |
| Bin9   |   15.64 ± 0.09436   |  0.02682 ± 0.009671  |       0 ± 0        |   15.67 ± 0.09486   |    16 ± 4    |  1.021 ± 0.2554   |
| Bin10  |   8.302 ± 0.06876   |   0.0452 ± 0.01145   | 0.03525 ± 0.03525  |   8.383 ± 0.07811   |  8 ± 2.828   |  0.9543 ± 0.3375  |
| Bin11  |    4.2 ± 0.04886    |  0.02979 ± 0.008746  |       0 ± 0        |   4.23 ± 0.04964    |  6 ± 2.449   |  1.418 ± 0.5793   |
| Bin12  |   2.229 ± 0.0358    |  0.03472 ± 0.008997  |       0 ± 0        |   2.263 ± 0.03691   |    4 ± 2     |  1.767 ± 0.8842   |
| Bin13  |   1.122 ± 0.02526   |  0.02183 ± 0.008002  |       0 ± 0        |   1.144 ± 0.0265    |    1 ± 1     |  0.8743 ± 0.8745  |
| Bin14  |  0.6299 ± 0.01913   |  0.02421 ± 0.008571  |       0 ± 0        |  0.6541 ± 0.02096   |  2 ± 1.414   |   3.058 ± 2.164   |
| Bin15  |   0.3466 ± 0.0141   |  0.01804 ± 0.006975  |       0 ± 0        |  0.3647 ± 0.01573   |  2 ± 1.414   |   5.484 ± 3.885   |
| Bin16  |  0.2066 ± 0.01103   |  0.01334 ± 0.007829  |       0 ± 0        |  0.2199 ± 0.01353   |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.09713 ± 0.007431  |  0.01436 ± 0.006468  |       0 ± 0        |  0.1115 ± 0.009852  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.07377 ± 0.006748  |   0.014 ± 0.007608   |       0 ± 0        |  0.08777 ± 0.01017  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.0431 ± 0.005115  | 0.007781 ± 0.007226  |       0 ± 0        | 0.05088 ± 0.008853  |    0 ± 0     |       0 ± 0       |
| Bin20  |  0.02156 ± 0.00344  |  0.01588 ± 0.006726  |       0 ± 0        | 0.03744 ± 0.007554  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.06019 ± 0.006055  |  0.07262 ± 0.01511   |       0 ± 0        |  0.1328 ± 0.01628   |    0 ± 0     |       0 ± 0       |
+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
