+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |         ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin4   | 16.51 ± 0.09531  | 0.001567 ± 0.001567  |       0 ± 0        | 16.51 ± 0.09533  |  13 ± 3.606  |  0.7875 ± 0.2185  |
| Bin5   |  60.26 ± 0.1832  |  0.0133 ± 0.005597   |       0 ± 0        |  60.27 ± 0.1832  |  61 ± 7.81   |  1.012 ± 0.1296   |
| Bin6   |  145.3 ± 0.2863  |  0.0257 ± 0.008444   |       0 ± 0        |  145.3 ± 0.2864  | 141 ± 11.87  | 0.9705 ± 0.08175  |
| Bin7   |   304 ± 0.4167   |  0.04379 ± 0.009692  |  0.0723 ± 0.05114  |   304.1 ± 0.42   | 303 ± 17.41  | 0.9962 ± 0.05725  |
| Bin8   |  289.3 ± 0.4077  |  0.03052 ± 0.01237   |       0 ± 0        |  289.3 ± 0.4079  | 278 ± 16.67  |  0.961 ± 0.05765  |
| Bin9   |  225.9 ± 0.3601  |  0.05491 ± 0.01108   |       0 ± 0        |  225.9 ± 0.3603  | 197 ± 14.04  | 0.8719 ± 0.06214  |
| Bin10  |  168.2 ± 0.3102  |  0.03414 ± 0.01131   | 0.04628 ± 0.04628  |  168.2 ± 0.3138  | 172 ± 13.11  |  1.022 ± 0.07797  |
| Bin11  |  123.7 ± 0.2656  |  0.03842 ± 0.01074   |       0 ± 0        |  123.8 ± 0.2658  | 103 ± 10.15  | 0.8321 ± 0.08201  |
| Bin12  |  90.89 ± 0.2274  |  0.01825 ± 0.008552  |       0 ± 0        |  90.9 ± 0.2275   |  89 ± 9.434  |  0.9791 ± 0.1038  |
| Bin13  |  67.19 ± 0.1953  |  0.01274 ± 0.009616  |       0 ± 0        |  67.2 ± 0.1955   |  73 ± 8.544  |  1.086 ± 0.1272   |
| Bin14  |  50.36 ± 0.1692  |  0.02955 ± 0.008782  |       0 ± 0        |  50.39 ± 0.1694  |  53 ± 7.28   |  1.052 ± 0.1445   |
| Bin15  |  38.26 ± 0.1474  |  0.02172 ± 0.008584  |       0 ± 0        |  38.28 ± 0.1476  |  31 ± 5.568  |  0.8098 ± 0.1455  |
| Bin16  |  29.28 ± 0.1289  |  0.02671 ± 0.007606  |       0 ± 0        |  29.31 ± 0.1291  |  32 ± 5.657  |  1.092 ± 0.1931   |
| Bin17  |  22.54 ± 0.1131  | 0.004435 ± 0.004723  |       0 ± 0        |  22.55 ± 0.1132  |  28 ± 5.292  |  1.242 ± 0.2348   |
| Bin18  |  17.6 ± 0.1001   |  0.02055 ± 0.006134  |       0 ± 0        |  17.62 ± 0.1003  |  19 ± 4.359  |  1.078 ± 0.2474   |
| Bin19  | 13.82 ± 0.08875  |  0.01564 ± 0.006353  |       0 ± 0        | 13.83 ± 0.08898  |  15 ± 3.873  |   1.084 ± 0.28    |
| Bin20  | 10.93 ± 0.07899  |  0.01588 ± 0.00628   |       0 ± 0        | 10.95 ± 0.07924  |  10 ± 3.162  |  0.9134 ± 0.2889  |
| Bin21  |  63.01 ± 0.1906  |  0.07411 ± 0.01481   |       0 ± 0        |  63.09 ± 0.1912  |  56 ± 7.483  |  0.8876 ± 0.1186  |
+--------+------------------+----------------------+--------------------+------------------+--------------+-------------------+
