+--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |          ttZ          |       Other        |      Total       |     data     |       Ratio       |
|--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  504.6 ± 0.5398  |   0.1517 ± 0.02045    |       0 ± 0        |  504.7 ± 0.5402  | 478 ± 21.86  | 0.9471 ± 0.04333  |
| Bin2   |  364.7 ± 0.4572  |   0.09402 ± 0.01718   |       0 ± 0        |  364.8 ± 0.4575  | 334 ± 18.28  | 0.9155 ± 0.05011  |
| Bin3   |  236.5 ± 0.3675  |   0.05814 ± 0.0141    |       0 ± 0        |  236.6 ± 0.3678  | 236 ± 15.36  | 0.9975 ± 0.06495  |
| Bin4   |   156 ± 0.2983   |   0.02318 ± 0.01009   |       0 ± 0        |   156 ± 0.2984   | 160 ± 12.65  |  1.026 ± 0.08111  |
| Bin5   |  108.3 ± 0.2488  |   0.04172 ± 0.0111    |       0 ± 0        |  108.4 ± 0.249   | 111 ± 10.54  |  1.024 ± 0.09723  |
| Bin6   |  78.89 ± 0.2122  |  0.03546 ± 0.009024   | 0.03525 ± 0.03525  |  78.96 ± 0.2153  |  71 ± 8.426  |  0.8991 ± 0.1067  |
| Bin7   |  59.37 ± 0.1835  |  0.02052 ± 0.006596   |       0 ± 0        |  59.39 ± 0.1836  |  62 ± 7.874  |  1.044 ± 0.1326   |
| Bin8   |  45.48 ± 0.1605  |  0.009749 ± 0.007208  | 0.04628 ± 0.04628  |  45.54 ± 0.1672  |  32 ± 5.657  |  0.7027 ± 0.1242  |
| Bin9   |  34.78 ± 0.1397  |  0.005064 ± 0.004755  |       0 ± 0        |  34.78 ± 0.1398  |  35 ± 5.916  |  1.006 ± 0.1701   |
| Bin10  |  27.08 ± 0.1233  |  0.009372 ± 0.004428  |       0 ± 0        |  27.09 ± 0.1233  |  26 ± 5.099  |  0.9596 ± 0.1882  |
| Bin11  |  20.89 ± 0.1076  | 0.0001308 ± 0.003071  |       0 ± 0        |  20.89 ± 0.1077  |  29 ± 5.385  |  1.388 ± 0.2579   |
| Bin12  |  16.28 ± 0.0947  |  0.006471 ± 0.004874  |       0 ± 0        | 16.29 ± 0.09483  |  18 ± 4.243  |  1.105 ± 0.2605   |
| Bin13  | 12.73 ± 0.08344  |   0.0106 ± 0.004018   |       0 ± 0        | 12.74 ± 0.08354  |  11 ± 3.317  |  0.8634 ± 0.2604  |
| Bin14  | 10.25 ± 0.07472  |  0.001465 ± 0.003466  |       0 ± 0        |  10.25 ± 0.0748  |  12 ± 3.464  |   1.17 ± 0.3379   |
| Bin15  | 8.057 ± 0.06605  |  0.001567 ± 0.001567  |       0 ± 0        | 8.058 ± 0.06607  |  8 ± 2.828   |  0.9928 ± 0.3511  |
| Bin16  |  6.59 ± 0.0596   |         0 ± 0         |       0 ± 0        |  6.59 ± 0.0596   |  5 ± 2.236   |  0.7587 ± 0.3394  |
| Bin17  |  5.4 ± 0.05388   |  0.001436 ± 0.001436  |       0 ± 0        |  5.401 ± 0.0539  |  10 ± 3.162  |  1.852 ± 0.5858   |
| Bin18  | 4.432 ± 0.04875  |  0.001726 ± 0.002809  |       0 ± 0        | 4.433 ± 0.04883  |  5 ± 2.236   |  1.128 ± 0.5045   |
| Bin19  | 3.811 ± 0.04509  |  0.001726 ± 0.001726  |       0 ± 0        | 3.813 ± 0.04512  |  3 ± 1.732   |  0.7868 ± 0.4543  |
| Bin20  | 3.216 ± 0.04147  |         0 ± 0         |       0 ± 0        | 3.216 ± 0.04147  |  2 ± 1.414   |  0.6218 ± 0.4398  |
| Bin21  |  29.56 ± 0.1243  |  0.007892 ± 0.004301  | 0.03706 ± 0.03706  |  29.6 ± 0.1298   |  26 ± 5.099  |  0.8783 ± 0.1723  |
+--------+------------------+-----------------------+--------------------+------------------+--------------+-------------------+
