+--------+---------------------+----------------------+--------------------+---------------------+--------------+------------------+
| Bin#   |         ZZ          |         ttZ          |       Other        |        Total        |     data     |      Ratio       |
|--------+---------------------+----------------------+--------------------+---------------------+--------------+------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |        0 ± 0        |    0 ± 0     |      0 ± 0       |
| Bin1   |   31.31 ± 0.1238    | 0.001591 ± 0.001591  |       0 ± 0        |   31.31 ± 0.1238    |  19 ± 4.359  | 0.6068 ± 0.1392  |
| Bin2   |     79 ± 0.1966     | 0.004773 ± 0.002756  |       0 ± 0        |   79.01 ± 0.1967    |  68 ± 8.246  | 0.8607 ± 0.1044  |
| Bin3   |   98.56 ± 0.2195    | 0.003182 ± 0.003182  |       0 ± 0        |   98.56 ± 0.2195    | 101 ± 10.05  |  1.025 ± 0.102   |
| Bin4   |   93.44 ± 0.2138    | 0.003182 ± 0.003898  |       0 ± 0        |   93.44 ± 0.2138    |  96 ± 9.798  |  1.027 ± 0.1049  |
| Bin5   |   74.43 ± 0.1907    |     0 ± 0.003182     |       0 ± 0        |   74.43 ± 0.1907    |  85 ± 9.22   |  1.142 ± 0.1239  |
| Bin6   |   53.89 ± 0.1623    |  0.006365 ± 0.0045   |       0 ± 0        |    53.9 ± 0.1624    |  61 ± 7.81   |  1.132 ± 0.1449  |
| Bin7   |   35.38 ± 0.1315    | 0.004773 ± 0.002756  |       0 ± 0        |   35.39 ± 0.1315    |    36 ± 6    |  1.017 ± 0.1696  |
| Bin8   |   21.96 ± 0.1035    | 0.009547 ± 0.005512  | 0.03525 ± 0.03525  |     22 ± 0.1095     |  31 ± 5.568  |  1.409 ± 0.2532  |
| Bin9   |   12.94 ± 0.07945   | 0.009547 ± 0.005512  |       0 ± 0        |   12.95 ± 0.07964   |  12 ± 3.464  | 0.9263 ± 0.2675  |
| Bin10  |   7.381 ± 0.06001   | 0.001591 ± 0.003558  |       0 ± 0        |   7.383 ± 0.06011   |  8 ± 2.828   |  1.084 ± 0.3832  |
| Bin11  |   4.128 ± 0.04495   |  0.01114 ± 0.004773  |       0 ± 0        |   4.139 ± 0.0452    |    1 ± 1     | 0.2416 ± 0.2416  |
| Bin12  |   2.157 ± 0.03252   |  0.009547 ± 0.0045   |       0 ± 0        |   2.167 ± 0.03283   |    4 ± 2     |  1.846 ± 0.9235  |
| Bin13  |   1.145 ± 0.02364   |     0 ± 0.003898     |       0 ± 0        |   1.145 ± 0.02395   |  2 ± 1.414   |  1.747 ± 1.236   |
| Bin14  |  0.6148 ± 0.01737   | 0.009547 ± 0.005032  |       0 ± 0        |  0.6243 ± 0.01808   |    1 ± 1     |  1.602 ± 1.602   |
| Bin15  |  0.3313 ± 0.01273   | 0.004773 ± 0.004773  |       0 ± 0        |   0.3361 ± 0.0136   |    0 ± 0     |      0 ± 0       |
| Bin16  |  0.1587 ± 0.008876  |  0.006365 ± 0.0045   |       0 ± 0        |  0.1651 ± 0.009952  |    1 ± 1     |   6.059 ± 6.07   |
| Bin17  | 0.07816 ± 0.006203  | 0.004773 ± 0.003558  |       0 ± 0        | 0.08293 ± 0.007151  |    1 ± 1     |   12.06 ± 12.1   |
| Bin18  | 0.03649 ± 0.004244  |  0.004773 ± 0.00421  |       0 ± 0        | 0.04126 ± 0.005978  |    1 ± 1     |  24.24 ± 24.49   |
| Bin19  |  0.02227 ± 0.00336  | 0.001591 ± 0.003558  |       0 ± 0        | 0.02386 ± 0.004894  |    0 ± 0     |      0 ± 0       |
| Bin20  | 0.007732 ± 0.00196  |  0.003182 ± 0.0045   |       0 ± 0        | 0.01091 ± 0.004909  |    0 ± 0     |      0 ± 0       |
| Bin21  | 0.01889 ± 0.003141  |  0.01273 ± 0.007116  |       0 ± 0        | 0.03162 ± 0.007778  |    0 ± 0     |      0 ± 0       |
+--------+---------------------+----------------------+--------------------+---------------------+--------------+------------------+
