+--------+------------------+----------------------+--------------------+------------------+-------------+------------------+
| Bin#   |        ZZ        |         ttZ          |       Other        |      Total       |    data     |      Ratio       |
|--------+------------------+----------------------+--------------------+------------------+-------------+------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin1   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin2   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin3   |      0 ± 0       |        0 ± 0         |       0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |
| Bin4   | 4.785 ± 0.04749  |        0 ± 0         |       0 ± 0        | 4.785 ± 0.04749  |  2 ± 1.414  |  0.418 ± 0.2956  |
| Bin5   | 17.84 ± 0.09232  |     0 ± 0.00225      |       0 ± 0        | 17.84 ± 0.09234  | 20 ± 4.472  |  1.121 ± 0.2507  |
| Bin6   |  43.4 ± 0.1449   | 0.007956 ± 0.005277  |       0 ± 0        |  43.41 ± 0.145   |   49 ± 7    |  1.129 ± 0.1613  |
| Bin7   |  90.38 ± 0.2103  | 0.006365 ± 0.005032  | 0.03525 ± 0.03525  |  90.42 ± 0.2133  | 92 ± 9.592  |  1.017 ± 0.1061  |
| Bin8   |  85.87 ± 0.2056  | 0.004773 ± 0.005277  |       0 ± 0        |  85.88 ± 0.2056  | 84 ± 9.165  | 0.9781 ± 0.1067  |
| Bin9   |  67.18 ± 0.1817  | 0.006365 ± 0.005954  |       0 ± 0        |  67.19 ± 0.1818  | 70 ± 8.367  |  1.042 ± 0.1246  |
| Bin10  |  49.96 ± 0.1564  | 0.009547 ± 0.005032  |       0 ± 0        |  49.97 ± 0.1565  | 52 ± 7.211  |  1.041 ± 0.1443  |
| Bin11  |  36.92 ± 0.1344  | 0.007956 ± 0.005277  |       0 ± 0        |  36.92 ± 0.1345  | 26 ± 5.099  | 0.7041 ± 0.1381  |
| Bin12  |  27.16 ± 0.1151  | 0.001591 ± 0.002756  |       0 ± 0        |  27.17 ± 0.1151  | 31 ± 5.568  |  1.141 ± 0.205   |
| Bin13  | 20.05 ± 0.09883  | 0.003182 ± 0.005512  |       0 ± 0        | 20.05 ± 0.09898  | 20 ± 4.472  | 0.9976 ± 0.2231  |
| Bin14  | 14.91 ± 0.08517  |  0.01114 ± 0.006162  |       0 ± 0        | 14.92 ± 0.08539  | 21 ± 4.583  |  1.407 ± 0.3072  |
| Bin15  | 11.46 ± 0.07473  | 0.009547 ± 0.005954  |       0 ± 0        | 11.47 ± 0.07497  |    9 ± 3    | 0.7844 ± 0.2615  |
| Bin16  | 8.747 ± 0.06531  | 0.009547 ± 0.003898  |       0 ± 0        | 8.757 ± 0.06543  |  8 ± 2.828  | 0.9136 ± 0.3231  |
| Bin17  | 6.774 ± 0.05754  | 0.001591 ± 0.001591  |       0 ± 0        | 6.775 ± 0.05756  |    9 ± 3    |  1.328 ± 0.4429  |
| Bin18  | 5.307 ± 0.05097  |  0.007956 ± 0.00421  |       0 ± 0        | 5.315 ± 0.05114  |    4 ± 2    | 0.7525 ± 0.3763  |
| Bin19  | 4.089 ± 0.04474  |  0.003182 ± 0.00225  |       0 ± 0        | 4.092 ± 0.04479  |  3 ± 1.732  | 0.7331 ± 0.4233  |
| Bin20  |  3.27 ± 0.04004  |  0.003182 ± 0.00225  |       0 ± 0        |  3.274 ± 0.0401  |    4 ± 2    |  1.222 ± 0.6111  |
| Bin21  | 18.88 ± 0.09663  |  0.01909 ± 0.007463  |       0 ± 0        |  18.9 ± 0.09691  | 24 ± 4.899  |  1.27 ± 0.2593   |
+--------+------------------+----------------------+--------------------+------------------+-------------+------------------+
