+--------+-------------------+-------------------+--------------+-------------------+
| Bin#   |        ZZ         |       Total       |     data     |       Ratio       |
|--------+-------------------+-------------------+--------------+-------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |   189 ± 0.3036    |   189 ± 0.3036    | 165 ± 12.85  | 0.8732 ± 0.06799  |
| Bin2   |  116.3 ± 0.2381   |  116.3 ± 0.2381   | 112 ± 10.58  | 0.9634 ± 0.09106  |
| Bin3   |  65.45 ± 0.1789   |  65.45 ± 0.1789   |  70 ± 8.367  |  1.069 ± 0.1279   |
| Bin4   |  40.88 ± 0.1416   |  40.88 ± 0.1416   |  38 ± 6.164  |  0.9295 ± 0.1508  |
| Bin5   |   28.35 ± 0.118   |   28.35 ± 0.118   |  33 ± 5.745  |  1.164 ± 0.2027   |
| Bin6   |   20.5 ± 0.1004   |   20.5 ± 0.1004   |  22 ± 4.69   |  1.073 ± 0.2289   |
| Bin7   |   15 ± 0.08589    |   15 ± 0.08589    |  20 ± 4.472  |  1.334 ± 0.2983   |
| Bin8   |  10.59 ± 0.07221  |  10.59 ± 0.07221  |  11 ± 3.317  |  1.039 ± 0.3133   |
| Bin9   |  7.458 ± 0.06056  |  7.458 ± 0.06056  |  18 ± 4.243  |  2.413 ± 0.5692   |
| Bin10  |  5.273 ± 0.05098  |  5.273 ± 0.05098  |    4 ± 2     |  0.7586 ± 0.3794  |
| Bin11  |  3.819 ± 0.04343  |  3.819 ± 0.04343  |  6 ± 2.449   |  1.571 ± 0.6416   |
| Bin12  |   2.773 ± 0.037   |   2.773 ± 0.037   |    4 ± 2     |  1.443 ± 0.7216   |
| Bin13  |  2.054 ± 0.03182  |  2.054 ± 0.03182  |    4 ± 2     |   1.947 ± 0.974   |
| Bin14  |  1.601 ± 0.0281   |  1.601 ± 0.0281   |  5 ± 2.236   |   3.124 ± 1.398   |
| Bin15  |   1.16 ± 0.0239   |   1.16 ± 0.0239   |  3 ± 1.732   |   2.585 ± 1.494   |
| Bin16  | 0.9367 ± 0.02149  | 0.9367 ± 0.02149  |    1 ± 1     |   1.068 ± 1.068   |
| Bin17  |  0.758 ± 0.01934  |  0.758 ± 0.01934  |  2 ± 1.414   |   2.638 ± 1.867   |
| Bin18  | 0.6007 ± 0.01723  | 0.6007 ± 0.01723  |    1 ± 1     |   1.665 ± 1.665   |
| Bin19  | 0.5244 ± 0.01608  | 0.5244 ± 0.01608  |    1 ± 1     |   1.907 ± 1.908   |
| Bin20  | 0.4099 ± 0.01424  | 0.4099 ± 0.01424  |    0 ± 0     |       0 ± 0       |
| Bin21  |  3.63 ± 0.04242   |  3.63 ± 0.04242   |  8 ± 2.828   |  2.204 ± 0.7796   |
+--------+-------------------+-------------------+--------------+-------------------+
