+--------+----------------------+----------------------+-------------+------------------+
| Bin#   |          ZZ          |        Total         |    data     |      Ratio       |
|--------+----------------------+----------------------+-------------+------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |   14.45 ± 0.08408    |   14.45 ± 0.08408    |  6 ± 2.449  | 0.4154 ± 0.1696  |
| Bin2   |    39.26 ± 0.1387    |    39.26 ± 0.1387    | 29 ± 5.385  | 0.7387 ± 0.1372  |
| Bin3   |    56.61 ± 0.1664    |    56.61 ± 0.1664    | 52 ± 7.211  | 0.9185 ± 0.1274  |
| Bin4   |    65.42 ± 0.1789    |    65.42 ± 0.1789    | 65 ± 8.062  | 0.9936 ± 0.1233  |
| Bin5   |    65.72 ± 0.1793    |    65.72 ± 0.1793    | 72 ± 8.485  |  1.095 ± 0.1291  |
| Bin6   |    60.85 ± 0.1725    |    60.85 ± 0.1725    | 60 ± 7.746  |  0.986 ± 0.1273  |
| Bin7   |    51.92 ± 0.1593    |    51.92 ± 0.1593    | 55 ± 7.416  |  1.059 ± 0.1429  |
| Bin8   |    42.52 ± 0.1441    |    42.52 ± 0.1441    | 50 ± 7.071  |  1.176 ± 0.1664  |
| Bin9   |    33.88 ± 0.1288    |    33.88 ± 0.1288    | 41 ± 6.403  |  1.21 ± 0.1891   |
| Bin10  |    25.4 ± 0.1114     |    25.4 ± 0.1114     | 27 ± 5.196  |  1.063 ± 0.2046  |
| Bin11  |   18.62 ± 0.09531    |   18.62 ± 0.09531    | 19 ± 4.359  |  1.02 ± 0.2341   |
| Bin12  |   13.32 ± 0.08063    |   13.32 ± 0.08063    | 21 ± 4.583  |  1.577 ± 0.3442  |
| Bin13  |   9.335 ± 0.06747    |   9.335 ± 0.06747    |  7 ± 2.646  | 0.7498 ± 0.2835  |
| Bin14  |    6.589 ± 0.0567    |    6.589 ± 0.0567    |  8 ± 2.828  |  1.214 ± 0.4294  |
| Bin15  |   4.401 ± 0.04632    |   4.401 ± 0.04632    |  5 ± 2.236  |  1.136 ± 0.5082  |
| Bin16  |   3.021 ± 0.03847    |   3.021 ± 0.03847    |    0 ± 0    |      0 ± 0       |
| Bin17  |   1.969 ± 0.03103    |   1.969 ± 0.03103    |    1 ± 1    |  0.5079 ± 0.508  |
| Bin18  |   1.296 ± 0.02519    |   1.296 ± 0.02519    |    4 ± 2    |  3.088 ± 1.545   |
| Bin19  |   0.8344 ± 0.02016   |   0.8344 ± 0.02016   |    1 ± 1    |  1.199 ± 1.199   |
| Bin20  |   0.571 ± 0.01672    |   0.571 ± 0.01672    |  2 ± 1.414  |  3.503 ± 2.479   |
| Bin21  |   0.3544 ± 0.01319   |   0.3544 ± 0.01319   |    0 ± 0    |      0 ± 0       |
| Bin22  |   0.2399 ± 0.01081   |   0.2399 ± 0.01081   |    0 ± 0    |      0 ± 0       |
| Bin23  |   0.163 ± 0.009017   |   0.163 ± 0.009017   |    1 ± 1    |  6.136 ± 6.146   |
| Bin24  |  0.08714 ± 0.006529  |  0.08714 ± 0.006529  |    0 ± 0    |      0 ± 0       |
| Bin25  |  0.05182 ± 0.005036  |  0.05182 ± 0.005036  |    0 ± 0    |      0 ± 0       |
| Bin26  |  0.04206 ± 0.004577  |  0.04206 ± 0.004577  |  2 ± 1.414  |  47.55 ± 34.02   |
| Bin27  |  0.02076 ± 0.00319   |  0.02076 ± 0.00319   |    0 ± 0    |      0 ± 0       |
| Bin28  |  0.01769 ± 0.003001  |  0.01769 ± 0.003001  |    0 ± 0    |      0 ± 0       |
| Bin29  | 0.006396 ± 0.001776  | 0.006396 ± 0.001776  |    0 ± 0    |      0 ± 0       |
| Bin30  | 0.005915 ± 0.001725  | 0.005915 ± 0.001725  |    0 ± 0    |      0 ± 0       |
| Bin31  |  0.01889 ± 0.003141  |  0.01889 ± 0.003141  |    0 ± 0    |      0 ± 0       |
+--------+----------------------+----------------------+-------------+------------------+
