+--------+-------------------+-------------------+--------------+-------------------+
| Bin#   |        ZZ         |       Total       |     data     |       Ratio       |
|--------+-------------------+-------------------+--------------+-------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  161.4 ± 0.2805   |  161.4 ± 0.2805   | 149 ± 12.21  | 0.9232 ± 0.07565  |
| Bin2   |  113.4 ± 0.2352   |  113.4 ± 0.2352   | 107 ± 10.34  | 0.9433 ± 0.09121  |
| Bin3   |  70.75 ± 0.1859   |  70.75 ± 0.1859   |  62 ± 7.874  |  0.8763 ± 0.1113  |
| Bin4   |  45.74 ± 0.1496   |  45.74 ± 0.1496   |  56 ± 7.483  |  1.224 ± 0.1636   |
| Bin5   |  31.67 ± 0.1247   |  31.67 ± 0.1247   |    36 ± 6    |  1.137 ± 0.1895   |
| Bin6   |  22.79 ± 0.1058   |  22.79 ± 0.1058   |  23 ± 4.796  |  1.009 ± 0.2105   |
| Bin7   |  16.97 ± 0.0913   |  16.97 ± 0.0913   |  24 ± 4.899  |  1.414 ± 0.2888   |
| Bin8   |  12.64 ± 0.07885  |  12.64 ± 0.07885  |  10 ± 3.162  |  0.7912 ± 0.2503  |
| Bin9   |  9.211 ± 0.06733  |  9.211 ± 0.06733  |  11 ± 3.317  |  1.194 ± 0.3602   |
| Bin10  |  6.828 ± 0.05799  |  6.828 ± 0.05799  |    9 ± 3     |  1.318 ± 0.4395   |
| Bin11  |  4.949 ± 0.04943  |  4.949 ± 0.04943  |  7 ± 2.646   |  1.414 ± 0.5348   |
| Bin12  |  3.75 ± 0.04299   |  3.75 ± 0.04299   |  5 ± 2.236   |  1.333 ± 0.5964   |
| Bin13  |  2.841 ± 0.03742  |  2.841 ± 0.03742  |  2 ± 1.414   |  0.704 ± 0.4979   |
| Bin14  |  2.22 ± 0.03317   |  2.22 ± 0.03317   |  2 ± 1.414   |  0.901 ± 0.6372   |
| Bin15  |  1.709 ± 0.02908  |  1.709 ± 0.02908  |    4 ± 2     |   2.34 ± 1.171    |
| Bin16  |  1.375 ± 0.02602  |  1.375 ± 0.02602  |    1 ± 1     |  0.7275 ± 0.7276  |
| Bin17  |  1.099 ± 0.02326  |  1.099 ± 0.02326  |  5 ± 2.236   |   4.551 ± 2.037   |
| Bin18  | 0.8816 ± 0.02087  | 0.8816 ± 0.02087  |    4 ± 2     |   4.537 ± 2.271   |
| Bin19  | 0.7635 ± 0.01945  | 0.7635 ± 0.01945  |    1 ± 1     |    1.31 ± 1.31    |
| Bin20  | 0.5979 ± 0.01717  | 0.5979 ± 0.01717  |    0 ± 0     |       0 ± 0       |
| Bin21  |  5.382 ± 0.05161  |  5.382 ± 0.05161  |  10 ± 3.162  |  1.858 ± 0.5879   |
+--------+-------------------+-------------------+--------------+-------------------+
