+--------+----------------------+----------------------+--------------+------------------+
| Bin#   |          ZZ          |        Total         |     data     |      Ratio       |
|--------+----------------------+----------------------+--------------+------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |    0 ± 0     |      0 ± 0       |
| Bin1   |    66.92 ± 0.1821    |    66.92 ± 0.1821    |  76 ± 8.718  |  1.136 ± 0.1303  |
| Bin2   |     129 ± 0.2518     |     129 ± 0.2518     | 136 ± 11.66  | 1.054 ± 0.09044  |
| Bin3   |    116.1 ± 0.238     |    116.1 ± 0.238     | 117 ± 10.82  | 1.008 ± 0.09322  |
| Bin4   |    83.21 ± 0.2011    |    83.21 ± 0.2011    |  71 ± 8.426  | 0.8532 ± 0.1013  |
| Bin5   |    52.83 ± 0.1601    |    52.83 ± 0.1601    |  52 ± 7.211  | 0.9843 ± 0.1365  |
| Bin6   |    31.05 ± 0.1227    |    31.05 ± 0.1227    |    36 ± 6    |  1.159 ± 0.1933  |
| Bin7   |   17.48 ± 0.09212    |   17.48 ± 0.09212    |  15 ± 3.873  | 0.8581 ± 0.2216  |
| Bin8   |    9.56 ± 0.06811    |    9.56 ± 0.06811    |  8 ± 2.828   | 0.8369 ± 0.2959  |
| Bin9   |   5.116 ± 0.04986    |   5.116 ± 0.04986    |  6 ± 2.449   |  1.173 ± 0.4789  |
| Bin10  |   2.803 ± 0.03691    |   2.803 ± 0.03691    |    4 ± 2     |  1.427 ± 0.7138  |
| Bin11  |   1.386 ± 0.02596    |   1.386 ± 0.02596    |  2 ± 1.414   |  1.443 ± 1.021   |
| Bin12  |   0.7311 ± 0.01888   |   0.7311 ± 0.01888   |    0 ± 0     |      0 ± 0       |
| Bin13  |   0.3791 ± 0.01357   |   0.3791 ± 0.01357   |    1 ± 1     |  2.638 ± 2.639   |
| Bin14  |   0.2172 ± 0.01033   |   0.2172 ± 0.01033   |  2 ± 1.414   |  9.207 ± 6.525   |
| Bin15  |  0.1093 ± 0.007331   |  0.1093 ± 0.007331   |  2 ± 1.414   |    18.3 ± 13     |
| Bin16  |  0.06785 ± 0.005841  |  0.06785 ± 0.005841  |    0 ± 0     |      0 ± 0       |
| Bin17  |  0.03008 ± 0.003855  |  0.03008 ± 0.003855  |    0 ± 0     |      0 ± 0       |
| Bin18  |  0.01943 ± 0.003105  |  0.01943 ± 0.003105  |    0 ± 0     |      0 ± 0       |
| Bin19  |  0.01522 ± 0.002801  |  0.01522 ± 0.002801  |    0 ± 0     |      0 ± 0       |
| Bin20  | 0.008515 ± 0.002068  | 0.008515 ± 0.002068  |    0 ± 0     |      0 ± 0       |
| Bin21  |  0.01837 ± 0.00304   |  0.01837 ± 0.00304   |    0 ± 0     |      0 ± 0       |
+--------+----------------------+----------------------+--------------+------------------+
