+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    155 ± 0.2754     |    155 ± 0.2754     | 166 ± 12.88  |  1.071 ± 0.08317  |
| Bin2   |   126.6 ± 0.2488    |   126.6 ± 0.2488    |  104 ± 10.2  | 0.8214 ± 0.08056  |
| Bin3   |   91.57 ± 0.2115    |   91.57 ± 0.2115    |  97 ± 9.849  |  1.059 ± 0.1076   |
| Bin4   |   59.25 ± 0.1701    |   59.25 ± 0.1701    |  59 ± 7.681  |  0.9959 ± 0.1297  |
| Bin5   |   36.29 ± 0.1332    |   36.29 ± 0.1332    |  48 ± 6.928  |   1.323 ± 0.191   |
| Bin6   |   21.19 ± 0.1017    |   21.19 ± 0.1017    |  24 ± 4.899  |  1.133 ± 0.2313   |
| Bin7   |   11.95 ± 0.07646   |   11.95 ± 0.07646   |    16 ± 4    |  1.339 ± 0.3349   |
| Bin8   |   6.579 ± 0.05671   |   6.579 ± 0.05671   |  7 ± 2.646   |  1.064 ± 0.4022   |
| Bin9   |   3.722 ± 0.04271   |   3.722 ± 0.04271   |  2 ± 1.414   |   0.5373 ± 0.38   |
| Bin10  |   2.036 ± 0.03156   |   2.036 ± 0.03156   |  2 ± 1.414   |  0.9824 ± 0.6949  |
| Bin11  |   1.087 ± 0.02304   |   1.087 ± 0.02304   |    1 ± 1     |  0.9204 ± 0.9206  |
| Bin12  |  0.6458 ± 0.01773   |  0.6458 ± 0.01773   |    1 ± 1     |   1.548 ± 1.549   |
| Bin13  |  0.3894 ± 0.01382   |  0.3894 ± 0.01382   |    1 ± 1     |   2.568 ± 2.57    |
| Bin14  |   0.262 ± 0.01132   |   0.262 ± 0.01132   |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.1515 ± 0.008635  |  0.1515 ± 0.008635  |    0 ± 0     |       0 ± 0       |
| Bin16  |  0.08346 ± 0.00645  |  0.08346 ± 0.00645  |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.06594 ± 0.005704  | 0.06594 ± 0.005704  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.04032 ± 0.004416  | 0.04032 ± 0.004416  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.0324 ± 0.004005  |  0.0324 ± 0.004005  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.02069 ± 0.003204  | 0.02069 ± 0.003204  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.07167 ± 0.006009  | 0.07167 ± 0.006009  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
