+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |     168 ± 0.27      |     168 ± 0.27      |   0.09404 ± 0.06175    |
| Bin2   |   44.83 ± 0.1399    |   44.83 ± 0.1399    |   0.04544 ± 0.04366    |
| Bin3   |   13.29 ± 0.07626   |   13.29 ± 0.07626   |  0.0004933 ± 0.000129  |
| Bin4   |   5.194 ± 0.04789   |   5.194 ± 0.04789   | 0.0001065 ± 3.766e-05  |
| Bin5   |   2.388 ± 0.03252   |   2.388 ± 0.03252   | 9.319e-05 ± 3.994e-05  |
| Bin6   |   1.295 ± 0.02396   |   1.295 ± 0.02396   | 3.994e-05 ± 2.306e-05  |
| Bin7   |   0.772 ± 0.01851   |   0.772 ± 0.01851   | 3.994e-05 ± 2.306e-05  |
| Bin8   |   0.4951 ± 0.0148   |   0.4951 ± 0.0148   | 1.331e-05 ± 1.331e-05  |
| Bin9   |  0.3392 ± 0.01226   |  0.3392 ± 0.01226   |         0 ± 0          |
| Bin10  |  0.2286 ± 0.01005   |  0.2286 ± 0.01005   | 1.331e-05 ± 1.331e-05  |
| Bin11  |  0.1837 ± 0.009047  |  0.1837 ± 0.009047  | 2.663e-05 ± 1.883e-05  |
| Bin12  |  0.1262 ± 0.007488  |  0.1262 ± 0.007488  |         0 ± 0          |
| Bin13  | 0.09682 ± 0.006534  | 0.09682 ± 0.006534  |         0 ± 0          |
| Bin14  | 0.07277 ± 0.005721  | 0.07277 ± 0.005721  |         0 ± 0          |
| Bin15  | 0.06395 ± 0.005333  | 0.06395 ± 0.005333  | 1.331e-05 ± 1.331e-05  |
| Bin16  | 0.03954 ± 0.004166  | 0.03954 ± 0.004166  |         0 ± 0          |
| Bin17  | 0.03779 ± 0.004096  | 0.03779 ± 0.004096  |         0 ± 0          |
| Bin18  | 0.03187 ± 0.003749  | 0.03187 ± 0.003749  |         0 ± 0          |
| Bin19  | 0.02103 ± 0.003054  | 0.02103 ± 0.003054  |         0 ± 0          |
| Bin20  |  0.01572 ± 0.00262  |  0.01572 ± 0.00262  |         0 ± 0          |
| Bin21  |  0.2039 ± 0.009519  |  0.2039 ± 0.009519  | 2.663e-05 ± 1.883e-05  |
+--------+---------------------+---------------------+------------------------+
