+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   173.6 ± 0.2744    |   173.6 ± 0.2744    |   0.09428 ± 0.06175    |
| Bin2   |   41.75 ± 0.1349    |   41.75 ± 0.1349    |   0.04518 ± 0.04366    |
| Bin3   |   12.04 ± 0.07277   |   12.04 ± 0.07277   | 0.0004135 ± 0.0001248  |
| Bin4   |   4.651 ± 0.0454    |   4.651 ± 0.0454    | 0.0001864 ± 4.981e-05  |
| Bin5   |   2.133 ± 0.0309    |   2.133 ± 0.0309    | 6.657e-05 ± 2.977e-05  |
| Bin6   |   1.137 ± 0.02264   |   1.137 ± 0.02264   | 3.994e-05 ± 2.306e-05  |
| Bin7   |  0.6727 ± 0.01741   |  0.6727 ± 0.01741   | 2.663e-05 ± 1.883e-05  |
| Bin8   |   0.4394 ± 0.014    |   0.4394 ± 0.014    |         0 ± 0          |
| Bin9   |   0.303 ± 0.01169   |   0.303 ± 0.01169   |         0 ± 0          |
| Bin10  |  0.2067 ± 0.009693  |  0.2067 ± 0.009693  | 1.331e-05 ± 1.331e-05  |
| Bin11  |  0.1508 ± 0.008245  |  0.1508 ± 0.008245  |         0 ± 0          |
| Bin12  |  0.1008 ± 0.006739  |  0.1008 ± 0.006739  |         0 ± 0          |
| Bin13  | 0.07522 ± 0.005827  | 0.07522 ± 0.005827  |         0 ± 0          |
| Bin14  |  0.0645 ± 0.005425  |  0.0645 ± 0.005425  |         0 ± 0          |
| Bin15  | 0.04678 ± 0.004619  | 0.04678 ± 0.004619  |         0 ± 0          |
| Bin16  | 0.03785 ± 0.004064  | 0.03785 ± 0.004064  |         0 ± 0          |
| Bin17  |  0.03049 ± 0.00368  |  0.03049 ± 0.00368  |         0 ± 0          |
| Bin18  | 0.02101 ± 0.003028  | 0.02101 ± 0.003028  | 1.331e-05 ± 1.331e-05  |
| Bin19  | 0.02095 ± 0.003078  | 0.02095 ± 0.003078  |         0 ± 0          |
| Bin20  | 0.01192 ± 0.002253  | 0.01192 ± 0.002253  |         0 ± 0          |
| Bin21  |  0.2178 ± 0.009856  |  0.2178 ± 0.009856  | 0.0001206 ± 0.0001081  |
+--------+---------------------+---------------------+------------------------+
