+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   154.7 ± 0.2363    |   154.7 ± 0.2363    |   0.05153 ± 0.04543    |
| Bin2   |   37.38 ± 0.1165    |   37.38 ± 0.1165    |  0.001433 ± 0.0001996  |
| Bin3   |   10.75 ± 0.06278   |   10.75 ± 0.06278   | 0.0002908 ± 5.702e-05  |
| Bin4   |   4.073 ± 0.03877   |   4.073 ± 0.03877   | 0.0001454 ± 4.032e-05  |
| Bin5   |   1.976 ± 0.02708   |   1.976 ± 0.02708   | 4.473e-05 ± 2.237e-05  |
| Bin6   |   1.113 ± 0.02032   |   1.113 ± 0.02032   | 2.237e-05 ± 1.582e-05  |
| Bin7   |  0.6759 ± 0.01585   |  0.6759 ± 0.01585   | 2.237e-05 ± 1.582e-05  |
| Bin8   |  0.4566 ± 0.01305   |  0.4566 ± 0.01305   |         0 ± 0          |
| Bin9   |  0.3138 ± 0.01079   |  0.3138 ± 0.01079   | 1.118e-05 ± 1.118e-05  |
| Bin10  |  0.2349 ± 0.009397  |  0.2349 ± 0.009397  | 1.118e-05 ± 1.118e-05  |
| Bin11  |  0.1388 ± 0.007184  |  0.1388 ± 0.007184  | 1.118e-05 ± 1.118e-05  |
| Bin12  |  0.1121 ± 0.006491  |  0.1121 ± 0.006491  |         0 ± 0          |
| Bin13  | 0.08545 ± 0.005674  | 0.08545 ± 0.005674  |         0 ± 0          |
| Bin14  | 0.05914 ± 0.004702  | 0.05914 ± 0.004702  |         0 ± 0          |
| Bin15  | 0.05028 ± 0.004294  | 0.05028 ± 0.004294  |         0 ± 0          |
| Bin16  | 0.03809 ± 0.003793  | 0.03809 ± 0.003793  |         0 ± 0          |
| Bin17  | 0.02636 ± 0.003141  | 0.02636 ± 0.003141  |         0 ± 0          |
| Bin18  | 0.02209 ± 0.002844  | 0.02209 ± 0.002844  |         0 ± 0          |
| Bin19  | 0.02023 ± 0.002731  | 0.02023 ± 0.002731  |         0 ± 0          |
| Bin20  | 0.01441 ± 0.002326  | 0.01441 ± 0.002326  |         0 ± 0          |
| Bin21  |  0.1532 ± 0.007553  |  0.1532 ± 0.007553  |         0 ± 0          |
+--------+---------------------+---------------------+------------------------+
