+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    3.183 ± 0.03277     |    3.183 ± 0.03277     | 4.473e-05 ± 2.237e-05  |
| Bin2   |     181.6 ± 0.2563     |     181.6 ± 0.2563     |  0.005806 ± 0.0003193  |
| Bin3   |    19.36 ± 0.08366     |    19.36 ± 0.08366     |  0.001535 ± 0.0002506  |
| Bin4   |    4.732 ± 0.04199     |    4.732 ± 0.04199     |   0.04575 ± 0.04543    |
| Bin5   |    1.945 ± 0.02717     |    1.945 ± 0.02717     | 0.0003258 ± 0.0001627  |
| Bin6   |    0.8287 ± 0.01773    |    0.8287 ± 0.01773    | 2.237e-05 ± 1.582e-05  |
| Bin7   |    0.3987 ± 0.01235    |    0.3987 ± 0.01235    | 2.237e-05 ± 1.582e-05  |
| Bin8   |   0.1892 ± 0.008534    |   0.1892 ± 0.008534    | 1.118e-05 ± 1.118e-05  |
| Bin9   |   0.1007 ± 0.006218    |   0.1007 ± 0.006218    |         0 ± 0          |
| Bin10  |   0.04926 ± 0.004349   |   0.04926 ± 0.004349   |         0 ± 0          |
| Bin11  |   0.02632 ± 0.003161   |   0.02632 ± 0.003161   |         0 ± 0          |
| Bin12  |   0.02109 ± 0.002858   |   0.02109 ± 0.002858   |         0 ± 0          |
| Bin13  |   0.01073 ± 0.002014   |   0.01073 ± 0.002014   |         0 ± 0          |
| Bin14  |  0.001864 ± 0.0008391  |  0.001864 ± 0.0008391  |         0 ± 0          |
| Bin15  |  0.001272 ± 0.0007096  |  0.001272 ± 0.0007096  |         0 ± 0          |
| Bin16  |  0.001272 ± 0.0007096  |  0.001272 ± 0.0007096  |         0 ± 0          |
| Bin17  | 0.0008177 ± 0.0005782  | 0.0008177 ± 0.0005782  |         0 ± 0          |
| Bin18  | 0.0002283 ± 0.0001882  | 0.0002283 ± 0.0001882  |         0 ± 0          |
| Bin19  |  0.001046 ± 0.0006081  |  0.001046 ± 0.0006081  |         0 ± 0          |
| Bin20  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin21  | 0.0004089 ± 0.0004089  | 0.0004089 ± 0.0004089  |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
