+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    3.183 ± 0.03277     |    3.183 ± 0.03277     | 4.473e-05 ± 2.237e-05  |
| Bin2   |     182.2 ± 0.2568     |     182.2 ± 0.2568     |  0.005862 ± 0.0003202  |
| Bin3   |    20.99 ± 0.08752     |    20.99 ± 0.08752     |  0.001771 ± 0.0002772  |
| Bin4   |    4.002 ± 0.03824     |    4.002 ± 0.03824     |   0.04576 ± 0.04543    |
| Bin5   |    1.219 ± 0.02108     |    1.219 ± 0.02108     | 4.473e-05 ± 2.237e-05  |
| Bin6   |    0.4641 ± 0.01301    |    0.4641 ± 0.01301    | 1.118e-05 ± 1.118e-05  |
| Bin7   |   0.2041 ± 0.008659    |   0.2041 ± 0.008659    | 2.237e-05 ± 1.582e-05  |
| Bin8   |   0.08501 ± 0.005578   |   0.08501 ± 0.005578   |         0 ± 0          |
| Bin9   |   0.04782 ± 0.004223   |   0.04782 ± 0.004223   |         0 ± 0          |
| Bin10  |   0.02605 ± 0.003104   |   0.02605 ± 0.003104   |         0 ± 0          |
| Bin11  |   0.01382 ± 0.00225    |   0.01382 ± 0.00225    |         0 ± 0          |
| Bin12  |  0.009318 ± 0.001876   |  0.009318 ± 0.001876   |         0 ± 0          |
| Bin13  |  0.005273 ± 0.001396   |  0.005273 ± 0.001396   |         0 ± 0          |
| Bin14  | 0.0001826 ± 0.0001826  | 0.0001826 ± 0.0001826  |         0 ± 0          |
| Bin15  | 0.0005914 ± 0.0004478  | 0.0005914 ± 0.0004478  |         0 ± 0          |
| Bin16  | 0.0004089 ± 0.0004089  | 0.0004089 ± 0.0004089  |         0 ± 0          |
| Bin17  | 0.0006372 ± 0.0004501  | 0.0006372 ± 0.0004501  |         0 ± 0          |
| Bin18  | 4.575e-05 ± 4.575e-05  | 4.575e-05 ± 4.575e-05  |         0 ± 0          |
| Bin19  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin20  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin21  | 0.0004089 ± 0.0004089  | 0.0004089 ± 0.0004089  |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
