+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   160.2 ± 0.2403    |   160.2 ± 0.2403    |   0.05147 ± 0.04543    |
| Bin2   |   34.61 ± 0.1123    |   34.61 ± 0.1123    |  0.001478 ± 0.0001984  |
| Bin3   |   9.389 ± 0.0588    |   9.389 ± 0.0588    | 0.0002915 ± 0.0001211  |
| Bin4   |   3.553 ± 0.03629   |   3.553 ± 0.03629   | 7.828e-05 ± 2.959e-05  |
| Bin5   |   1.736 ± 0.02545   |   1.736 ± 0.02545   | 0.0001006 ± 3.355e-05  |
| Bin6   |  0.9497 ± 0.01887   |  0.9497 ± 0.01887   | 4.473e-05 ± 2.237e-05  |
| Bin7   |   0.5819 ± 0.0148   |   0.5819 ± 0.0148   | 1.118e-05 ± 1.118e-05  |
| Bin8   |  0.4017 ± 0.01228   |  0.4017 ± 0.01228   | 3.355e-05 ± 1.937e-05  |
| Bin9   |  0.2529 ± 0.009737  |  0.2529 ± 0.009737  |         0 ± 0          |
| Bin10  |  0.1869 ± 0.008442  |  0.1869 ± 0.008442  | 1.118e-05 ± 1.118e-05  |
| Bin11  |  0.122 ± 0.006766   |  0.122 ± 0.006766   |         0 ± 0          |
| Bin12  | 0.08442 ± 0.005595  | 0.08442 ± 0.005595  |         0 ± 0          |
| Bin13  |  0.06677 ± 0.00502  |  0.06677 ± 0.00502  |         0 ± 0          |
| Bin14  | 0.05705 ± 0.004631  | 0.05705 ± 0.004631  |         0 ± 0          |
| Bin15  |  0.0371 ± 0.003695  |  0.0371 ± 0.003695  |         0 ± 0          |
| Bin16  | 0.02451 ± 0.002974  | 0.02451 ± 0.002974  |         0 ± 0          |
| Bin17  | 0.01968 ± 0.002726  | 0.01968 ± 0.002726  |         0 ± 0          |
| Bin18  | 0.01436 ± 0.002326  | 0.01436 ± 0.002326  |         0 ± 0          |
| Bin19  | 0.01318 ± 0.002221  | 0.01318 ± 0.002221  |         0 ± 0          |
| Bin20  | 0.01027 ± 0.001952  | 0.01027 ± 0.001952  |         0 ± 0          |
| Bin21  |  0.1446 ± 0.007401  |  0.1446 ± 0.007401  |         0 ± 0          |
+--------+---------------------+---------------------+------------------------+
