+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin2   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin3   |   30.79 ± 0.1053    |   30.79 ± 0.1053    |  0.00141 ± 0.0001656   |
| Bin4   |   49.07 ± 0.1331    |   49.07 ± 0.1331    |  0.002398 ± 0.0003282  |
| Bin5   |   55.71 ± 0.1421    |   55.71 ± 0.1421    |  0.001868 ± 0.0001445  |
| Bin6   |   43.29 ± 0.1254    |   43.29 ± 0.1254    |  0.001398 ± 0.000128   |
| Bin7   |   16.69 ± 0.07801   |   16.69 ± 0.07801   |    0.046 ± 0.04543     |
| Bin8   |   6.506 ± 0.04856   |   6.506 ± 0.04856   | 0.0001677 ± 4.611e-05  |
| Bin9   |   3.46 ± 0.03538    |   3.46 ± 0.03538    | 0.0001454 ± 4.032e-05  |
| Bin10  |   2.123 ± 0.02774   |   2.123 ± 0.02774   | 3.355e-05 ± 1.937e-05  |
| Bin11  |   1.346 ± 0.02215   |   1.346 ± 0.02215   | 1.118e-05 ± 1.118e-05  |
| Bin12  |   0.8944 ± 0.018    |   0.8944 ± 0.018    | 2.237e-05 ± 1.582e-05  |
| Bin13  |   0.654 ± 0.01538   |   0.654 ± 0.01538   | 1.118e-05 ± 1.118e-05  |
| Bin14  |   0.432 ± 0.01247   |   0.432 ± 0.01247   |         0 ± 0          |
| Bin15  |   0.3106 ± 0.0105   |   0.3106 ± 0.0105   | 2.237e-05 ± 1.582e-05  |
| Bin16  |  0.2529 ± 0.009503  |  0.2529 ± 0.009503  | 1.118e-05 ± 1.118e-05  |
| Bin17  |  0.1769 ± 0.007993  |  0.1769 ± 0.007993  |         0 ± 0          |
| Bin18  |  0.1412 ± 0.007062  |  0.1412 ± 0.007062  | 1.118e-05 ± 1.118e-05  |
| Bin19  |  0.1116 ± 0.006294  |  0.1116 ± 0.006294  |         0 ± 0          |
| Bin20  | 0.08692 ± 0.005613  | 0.08692 ± 0.005613  |         0 ± 0          |
| Bin21  |  0.3949 ± 0.01192   |  0.3949 ± 0.01192   | 1.118e-05 ± 1.118e-05  |
+--------+---------------------+---------------------+------------------------+
