+--------+------------------------+----------------------+----------------------+---------------------+--------------------+----------------------+-------------+------------------+
| Bin#   |           ZZ           |         ttZ          |        Higgs         |         WZ          |       Other        |        Total         |    data     |      Ratio       |
|--------+------------------------+----------------------+----------------------+---------------------+--------------------+----------------------+-------------+------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |        0 ± 0         |        0 ± 0        |       0 ± 0        |        0 ± 0         |    0 ± 0    |      0 ± 0       |
| Bin1   |    20.11 ± 0.09385     |     0 ± 0.002441     |   0.1713 ± 0.1211    |  0.01359 ± 0.01359  |       0 ± 0        |    20.3 ± 0.1538     | 20 ± 4.472  | 0.9853 ± 0.2205  |
| Bin2   |     48.18 ± 0.1451     | 0.001726 ± 0.001726  |   0.1713 ± 0.1211    |        0 ± 0        |       0 ± 0        |    48.35 ± 0.189     | 50 ± 7.071  |  1.034 ± 0.1463  |
| Bin3   |      54 ± 0.1535       |     0 ± 0.002441     |      0 ± 0.1211      |        0 ± 0        |       0 ± 0        |     54 ± 0.1955      |   49 ± 7    | 0.9074 ± 0.1297  |
| Bin4   |     44.72 ± 0.1395     |  0.001726 ± 0.00386  |  0.08563 ± 0.08563   |  0.01359 ± 0.01359  |       0 ± 0        |    44.82 ± 0.1643    |   49 ± 7    |  1.093 ± 0.1562  |
| Bin5   |     30.71 ± 0.1155     | 0.003453 ± 0.002441  |  -0.08563 ± 0.08563  |        0 ± 0        |       0 ± 0        |    30.63 ± 0.1438    | 37 ± 6.083  |  1.208 ± 0.1987  |
| Bin6   |    18.63 ± 0.08988     |  0.001726 ± 0.00299  |     0 ± 0.008764     |  0.01359 ± 0.01359  |       0 ± 0        |   18.65 ± 0.09137    |    9 ± 3    | 0.4826 ± 0.1609  |
| Bin7   |    10.48 ± 0.06747     |  0.001726 ± 0.00299  |  0.08563 ± 0.08563   |        0 ± 0        |       0 ± 0        |    10.57 ± 0.1091    | 10 ± 3.162  | 0.9464 ± 0.2994  |
| Bin8   |    5.337 ± 0.04804     |  0.01381 ± 0.005459  | 0.006197 ± 0.006197  |  0.01359 ± 0.01359  |       0 ± 0        |   5.371 ± 0.05061    |  3 ± 1.732  | 0.5585 ± 0.3225  |
| Bin9   |    2.773 ± 0.03478     | 0.001726 ± 0.004568  |  0.08563 ± 0.08563   |     0 ± 0.01922     |       0 ± 0        |    2.86 ± 0.09451    |    1 ± 1    | 0.3496 ± 0.3498  |
| Bin10  |     1.276 ± 0.0235     |  0.01036 ± 0.004229  |  -0.08563 ± 0.08563  |        0 ± 0        |       0 ± 0        |    1.201 ± 0.0889    |  2 ± 1.414  |  1.665 ± 1.184   |
| Bin11  |    0.5872 ± 0.01602    |  0.008632 ± 0.00386  |        0 ± 0         |        0 ± 0        | 0.04628 ± 0.04628  |   0.6421 ± 0.04913   |    0 ± 0    |      0 ± 0       |
| Bin12  |    0.2572 ± 0.01059    | 0.008632 ± 0.004568  |        0 ± 0         | -0.01359 ± 0.01359  |       0 ± 0        |   0.2523 ± 0.01782   |    1 ± 1    |  3.964 ± 3.974   |
| Bin13  |   0.1178 ± 0.007146    |     0 ± 0.004229     |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.1178 ± 0.008303   |    0 ± 0    |      0 ± 0       |
| Bin14  |   0.04922 ± 0.004615   | 0.006905 ± 0.003453  |        0 ± 0         |  0.02718 ± 0.01922  |       0 ± 0        |  0.08331 ± 0.02007   |    0 ± 0    |      0 ± 0       |
| Bin15  |   0.02693 ± 0.003489   | 0.003453 ± 0.004229  |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.03038 ± 0.005483  |    0 ± 0    |      0 ± 0       |
| Bin16  |   0.01227 ± 0.002339   |  0.005179 ± 0.00299  |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.01745 ± 0.003796  |    0 ± 0    |      0 ± 0       |
| Bin17  |   0.008721 ± 0.00201   |     0 ± 0.002441     |        0 ± 0         |        0 ± 0        |       0 ± 0        | 0.008721 ± 0.003163  |    0 ± 0    |      0 ± 0       |
| Bin18  |   0.00418 ± 0.001356   |  0.001726 ± 0.00299  |        0 ± 0         |        0 ± 0        |       0 ± 0        | 0.005906 ± 0.003283  |    0 ± 0    |      0 ± 0       |
| Bin19  |   0.00281 ± 0.001136   |        0 ± 0         |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.00281 ± 0.001136  |    0 ± 0    |      0 ± 0       |
| Bin20  | 0.0009958 ± 0.0007042  |     0 ± 0.003453     | 0.006197 ± 0.006197  |        0 ± 0        |       0 ± 0        | 0.007193 ± 0.007129  |    0 ± 0    |      0 ± 0       |
| Bin21  |   0.007577 ± 0.00193   |  0.02072 ± 0.006459  |        0 ± 0         |        0 ± 0        |       0 ± 0        |  0.02829 ± 0.006742  |    0 ± 0    |      0 ± 0       |
+--------+------------------------+----------------------+----------------------+---------------------+--------------------+----------------------+-------------+------------------+
