+--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
| Bin#   |        ZZ         |         ttZ          |       Other        |       Total       |     data     |       Ratio       |
|--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
| Bin0   |       0 ± 0       |        0 ± 0         |       0 ± 0        |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |   274 ± 0.4456    |  0.06738 ± 0.01462   | 0.03706 ± 0.03706  |  274.1 ± 0.4473   | 223 ± 14.93  | 0.8137 ± 0.05451  |
| Bin2   |  170.8 ± 0.3518   |   0.05014 ± 0.0113   |       0 ± 0        |   170.9 ± 0.352   | 170 ± 13.04  | 0.9948 ± 0.07633  |
| Bin3   |  98.44 ± 0.2673   |  0.02977 ± 0.008724  |       0 ± 0        |  98.47 ± 0.2674   |   100 ± 10   |  1.016 ± 0.1016   |
| Bin4   |   61.82 ± 0.212   |  0.02194 ± 0.006648  |       0 ± 0        |  61.84 ± 0.2121   |  53 ± 7.28   |  0.857 ± 0.1178   |
| Bin5   |  42.42 ± 0.1758   | 0.006268 ± 0.004955  |       0 ± 0        |  42.42 ± 0.1759   |  37 ± 6.083  |  0.8722 ± 0.1434  |
| Bin6   |  30.81 ± 0.1498   | 0.006268 ± 0.004955  |       0 ± 0        |  30.82 ± 0.1499   |  23 ± 4.796  |  0.7463 ± 0.1557  |
| Bin7   |  22.54 ± 0.1282   |  0.01097 ± 0.005197  |       0 ± 0        |  22.55 ± 0.1283   |  35 ± 5.916  |  1.552 ± 0.2625   |
| Bin8   |  16.52 ± 0.1098   | 0.004701 ± 0.004146  |       0 ± 0        |  16.52 ± 0.1099   |    25 ± 5    |  1.513 ± 0.3028   |
| Bin9   |  11.86 ± 0.09303  |     0 ± 0.002216     |       0 ± 0        |  11.86 ± 0.09305  |  20 ± 4.472  |  1.686 ± 0.3773   |
| Bin10  |  8.541 ± 0.07908  | 0.001567 ± 0.001567  |       0 ± 0        |  8.543 ± 0.07909  |  14 ± 3.742  |  1.639 ± 0.4382   |
| Bin11  |  6.244 ± 0.06757  | 0.001567 ± 0.002714  |       0 ± 0        |  6.246 ± 0.06762  |  5 ± 2.236   |  0.8006 ± 0.3581  |
| Bin12  |  4.653 ± 0.05846  | 0.001567 ± 0.002714  |       0 ± 0        |  4.654 ± 0.05852  |  3 ± 1.732   |  0.6446 ± 0.3722  |
| Bin13  |  3.447 ± 0.05012  | 0.003134 ± 0.002216  |       0 ± 0        |  3.45 ± 0.05017   |  2 ± 1.414   |   0.5797 ± 0.41   |
| Bin14  |  2.651 ± 0.04402  |        0 ± 0         |       0 ± 0        |  2.651 ± 0.04402  |  7 ± 2.646   |   2.64 ± 0.9989   |
| Bin15  |  2.079 ± 0.03904  |        0 ± 0         |       0 ± 0        |  2.079 ± 0.03904  |    1 ± 1     |  0.4811 ± 0.4812  |
| Bin16  |  1.667 ± 0.03495  | 0.001567 ± 0.001567  |       0 ± 0        |  1.668 ± 0.03499  |  2 ± 1.414   |  1.199 ± 0.8481   |
| Bin17  |  1.302 ± 0.03086  | 0.001567 ± 0.001567  |       0 ± 0        |  1.303 ± 0.0309   |  3 ± 1.732   |   2.302 ± 1.33    |
| Bin18  |  1.043 ± 0.02767  |        0 ± 0         |       0 ± 0        |  1.043 ± 0.02767  |    1 ± 1     |  0.9583 ± 0.9587  |
| Bin19  | 0.8766 ± 0.02535  |        0 ± 0         |       0 ± 0        | 0.8766 ± 0.02535  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.6928 ± 0.02248  |        0 ± 0         |       0 ± 0        | 0.6928 ± 0.02248  |    0 ± 0     |       0 ± 0       |
| Bin21  |  5.931 ± 0.06603  | 0.001567 ± 0.001567  |       0 ± 0        |  5.933 ± 0.06604  |    4 ± 2     |  0.6742 ± 0.3372  |
+--------+-------------------+----------------------+--------------------+-------------------+--------------+-------------------+
