+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |         ttZ          |       Other        |        Total        |     data     |       Ratio       |
|--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   102.5 ± 0.2746    | 0.001567 ± 0.001567  |       0 ± 0        |   102.5 ± 0.2746    | 101 ± 10.05  |  0.9856 ± 0.0981  |
| Bin2   |   195.4 ± 0.3778    | 0.006268 ± 0.003134  |       0 ± 0        |   195.4 ± 0.3778    | 200 ± 14.14  |  1.023 ± 0.07239  |
| Bin3   |    173.7 ± 0.355    | 0.006268 ± 0.003134  |       0 ± 0        |    173.7 ± 0.355    | 166 ± 12.88  | 0.9554 ± 0.07418  |
| Bin4   |    122 ± 0.2967     |  0.01097 ± 0.00565   |       0 ± 0        |    122 ± 0.2967     | 112 ± 10.58  | 0.9177 ± 0.08674  |
| Bin5   |    76.64 ± 0.235    | 0.007834 ± 0.004146  |       0 ± 0        |    76.65 ± 0.235    |  73 ± 8.544  |  0.9524 ± 0.1115  |
| Bin6   |   45.07 ± 0.1801    |  0.01254 ± 0.005428  |       0 ± 0        |   45.08 ± 0.1802    |    36 ± 6    |  0.7985 ± 0.1331  |
| Bin7   |   24.89 ± 0.1338    | 0.007834 ± 0.005197  | 0.03706 ± 0.03706  |   24.93 ± 0.1389    |  21 ± 4.583  |  0.8422 ± 0.1838  |
| Bin8   |   13.29 ± 0.09773   |  0.01254 ± 0.005428  |       0 ± 0        |   13.3 ± 0.09788    |    4 ± 2     |  0.3007 ± 0.1504  |
| Bin9   |   7.043 ± 0.0711    |  0.01254 ± 0.005428  |       0 ± 0        |   7.056 ± 0.07131   |  6 ± 2.449   |  0.8504 ± 0.3473  |
| Bin10  |   3.699 ± 0.05157   |  0.02037 ± 0.007834  |       0 ± 0        |   3.719 ± 0.05216   |  3 ± 1.732   |  0.8066 ± 0.4658  |
| Bin11  |   1.849 ± 0.03648   |  0.01724 ± 0.00683   |       0 ± 0        |   1.866 ± 0.03711   |  3 ± 1.732   |  1.607 ± 0.9286   |
| Bin12  |   1.008 ± 0.02704   |  0.01097 ± 0.005197  |       0 ± 0        |   1.018 ± 0.02754   |  3 ± 1.732   |   2.946 ± 1.702   |
| Bin13  |   0.491 ± 0.01882   | 0.006268 ± 0.004955  |       0 ± 0        |  0.4973 ± 0.01946   |    0 ± 0     |       0 ± 0       |
| Bin14  |   0.2806 ± 0.0144   |  0.01254 ± 0.004955  |       0 ± 0        |  0.2932 ± 0.01523   |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.1523 ± 0.01052   |     0 ± 0.003134     |       0 ± 0        |  0.1523 ± 0.01098   |    0 ± 0     |       0 ± 0       |
| Bin16  | 0.09503 ± 0.008378  |  0.004701 ± 0.00565  |       0 ± 0        |  0.09973 ± 0.01011  |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.03838 ± 0.005328  | 0.004701 ± 0.004701  |       0 ± 0        | 0.04308 ± 0.007105  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.03968 ± 0.005487  |  0.01097 ± 0.004701  |       0 ± 0        | 0.05065 ± 0.007225  |    0 ± 0     |       0 ± 0       |
| Bin19  | 0.02051 ± 0.003898  |     0 ± 0.003838     |       0 ± 0        |  0.02051 ± 0.00547  |    0 ± 0     |       0 ± 0       |
| Bin20  |  0.006548 ± 0.0022  | 0.009401 ± 0.004955  |       0 ± 0        | 0.01595 ± 0.005422  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.02824 ± 0.004638  |  0.03447 ± 0.009659  |       0 ± 0        |  0.06271 ± 0.01071  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+----------------------+--------------------+---------------------+--------------+-------------------+
