+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  |  Ratio  |          WWZ           |
| Bin24  |   0.0059 ± 0.001678    | -0.003453 ± 0.004883  |  0.006197 ± 0.006197  |  0.02718 ± 0.01922  |         0 ± 0         |   0.03583 ± 0.02084    | 0 ± 0  |  0 ± 0  |  0.004686 ± 0.0004863  |
| Bin25  |  0.003124 ± 0.001172   |  0.008632 ± 0.004568  |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01176 ± 0.004715   | 0 ± 0  |  0 ± 0  |  0.003695 ± 0.0003881  |
| Bin26  |  0.005402 ± 0.001603   |  0.006905 ± 0.004229  |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01231 ± 0.004522   | 0 ± 0  |  0 ± 0  |  0.00315 ± 0.0003931   |
| Bin27  |  0.002701 ± 0.001133   |  -0.001726 ± 0.00386  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.0009747 ± 0.004023  | 0 ± 0  |  0 ± 0  |  0.002533 ± 0.0002772  |
| Bin28  |  0.002203 ± 0.001018   |  0.003453 ± 0.003453  |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.005656 ± 0.0036    | 0 ± 0  |  0 ± 0  |  0.00287 ± 0.0003737   |
| Bin29  |  0.002128 ± 0.000937   |  0.01208 ± 0.004568   |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.01421 ± 0.004663   | 0 ± 0  |  0 ± 0  |  0.002391 ± 0.0003656  |
| Bin30  |  0.001917 ± 0.0009128  |     0 ± 0.003453      |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.001917 ± 0.003571   | 0 ± 0  |  0 ± 0  |  0.002081 ± 0.0002981  |
| Bin31  |  0.002701 ± 0.001133   |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.002701 ± 0.002692   | 0 ± 0  |  0 ± 0  |  0.001359 ± 0.0001974  |
| Bin32  |  0.002913 ± 0.001153   |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.002913 ± 0.0027    | 0 ± 0  |  0 ± 0  |  0.001413 ± 0.0002223  |
| Bin33  | 0.0004979 ± 0.0004979  |  0.001726 ± 0.00299   |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |   0.01581 ± 0.01392    | 0 ± 0  |  0 ± 0  |  0.000946 ± 0.0001541  |
| Bin34  |  0.000423 ± 0.0002991  |  -0.001726 ± 0.00386  |         0 ± 0         | -0.01359 ± 0.01359  |         0 ± 0         |   -0.01489 ± 0.01413   | 0 ± 0  | -0 ± 0  |  0.001629 ± 0.0003054  |
| Bin35  | 0.0007636 ± 0.0005437  |  0.001726 ± 0.00299   |         0 ± 0         |        0 ± 0        |         0 ± 0         |   0.00249 ± 0.003039   | 0 ± 0  |  0 ± 0  |   0.0012 ± 0.0002158   |
| Bin36  |  0.001207 ± 0.0007352  |  0.006905 ± 0.004229  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.008113 ± 0.004292   | 0 ± 0  |  0 ± 0  |  0.001336 ± 0.0002797  |
