+--------+---------------------+-----------------------+-----------------------+----------------------+-----------------------+---------------------+--------+--------+------------------------+
| Bin#   |         ZZ          |          ttZ          |         Higgs         |          WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ           |
| Bin25  |  0.3525 ± 0.01223   |  0.02244 ± 0.007118   |         0 ± 0         |        0 ± 0         |  0.001469 ± 0.001469  |  0.3764 ± 0.01422   | 0 ± 0  | 0 ± 0  |   0.05602 ± 0.04367    |
| Bin26  |  0.3215 ± 0.01175   |  0.01899 ± 0.007525   |   0.09183 ± 0.08586   |        0 ± 0         | -0.001469 ± 0.001469  |   0.4308 ± 0.087    | 0 ± 0  | 0 ± 0  |   0.05559 ± 0.04367    |
| Bin27  |  0.3002 ± 0.01152   |  0.02417 ± 0.006905   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.3244 ± 0.01343   | 0 ± 0  | 0 ± 0  |  0.01006 ± 0.0006704   |
| Bin28  |  0.2646 ± 0.01081   |  0.02417 ± 0.007324   |   0.08563 ± 0.08563   |  0.05609 ± 0.05609   |         0 ± 0         |   0.4304 ± 0.1032   | 0 ± 0  | 0 ± 0  |   0.09592 ± 0.06175    |
| Bin29  |   0.2433 ± 0.0104   |  0.01726 ± 0.006459   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.2605 ± 0.01224   | 0 ± 0  | 0 ± 0  |    0.1389 ± 0.07563    |
| Bin30  |  0.2044 ± 0.009527  |  0.006905 ± 0.005459  |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.2113 ± 0.01098   | 0 ± 0  | 0 ± 0  |   0.00726 ± 0.000583   |
| Bin31  |  0.1911 ± 0.009239  |  0.02244 ± 0.007525   |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.2135 ± 0.01192   | 0 ± 0  | 0 ± 0  |  0.006711 ± 0.0005403  |
| Bin32  |  0.1864 ± 0.009132  |  0.02244 ± 0.007911   |  0.01239 ± 0.008764   |        0 ± 0         |         0 ± 0         |  0.2212 ± 0.01493   | 0 ± 0  | 0 ± 0  |  0.006152 ± 0.0005337  |
| Bin33  |  0.1493 ± 0.008252  |  0.008632 ± 0.005179  |         0 ± 0         |  0.01359 ± 0.01359   |         0 ± 0         |  0.1715 ± 0.01672   | 0 ± 0  | 0 ± 0  |  0.005123 ± 0.0004582  |
| Bin34  |  0.1369 ± 0.007894  |  0.005179 ± 0.004568  |  0.006197 ± 0.006197  |  0.01359 ± 0.01359   |  0.001469 ± 0.001469  |  0.1633 ± 0.01756   | 0 ± 0  | 0 ± 0  |  0.005058 ± 0.0004803  |
| Bin35  |   0.127 ± 0.00763   |  0.005179 ± 0.005726  |         0 ± 0         |        0 ± 0         |         0 ± 0         |  0.1322 ± 0.009539  | 0 ± 0  | 0 ± 0  |   0.04797 ± 0.04367    |
