+--------+------------------------+-----------------------+-----------------------+---------------------+----------------------+------------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |        Other         |         Total          |  data  |  Ratio  |          WWZ           |
| Bin24  |  0.007788 ± 0.002014   |   0.02068 ± 0.00656   |         0 ± 0         |        0 ± 0        |  0.00244 ± 0.001726  |   0.03091 ± 0.007076   | 0 ± 0  |  0 ± 0  |   0.05047 ± 0.04246    |
| Bin25  |  0.004308 ± 0.001455   |  0.02387 ± 0.007292   |  0.006836 ± 0.006836  |        0 ± 0        |        0 ± 0         |    0.03501 ± 0.0101    | 0 ± 0  |  0 ± 0  |    0.1354 ± 0.07353    |
| Bin26  |  0.004393 ± 0.001484   |  0.02387 ± 0.007292   |         0 ± 0         |        0 ± 0        |  0.03403 ± 0.03527   |   0.06229 ± 0.03604    | 0 ± 0  |  0 ± 0  |    0.134 ± 0.07353     |
| Bin27  |  0.002569 ± 0.001151   |  0.006365 ± 0.005954  |         0 ± 0         |        0 ± 0        |  -0.00219 ± 0.00219  |  0.006744 ± 0.006447   | 0 ± 0  |  0 ± 0  |  0.00571 ± 0.0005311   |
| Bin28  |  0.004691 ± 0.001565   |  0.009547 ± 0.005954  |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.01424 ± 0.006156   | 0 ± 0  |  0 ± 0  |  0.005196 ± 0.0005132  |
| Bin29  |   0.002762 ± 0.00119   |  0.007956 ± 0.005737  |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.01072 ± 0.005859   | 0 ± 0  |  0 ± 0  |  0.003805 ± 0.0003658  |
| Bin30  |  0.004083 ± 0.001447   |  0.01591 ± 0.007116   |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.01999 ± 0.007261   | 0 ± 0  |  0 ± 0  |   0.04627 ± 0.04245    |
| Bin31  |  0.00159 ± 0.0009177   |  0.01432 ± 0.005277   |         0 ± 0         | -0.02693 ± 0.02693  |  0.00122 ± 0.00122   |  -0.009798 ± 0.02748   | 0 ± 0  | -0 ± 0  |  0.004095 ± 0.0004737  |
| Bin32  |  0.001962 ± 0.000984   |  0.001591 ± 0.002756  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.003553 ± 0.002926   | 0 ± 0  |  0 ± 0  |   0.04576 ± 0.04245    |
| Bin33  |  0.003021 ± 0.001237   |   0.003182 ± 0.0045   |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006204 ± 0.004667   | 0 ± 0  |  0 ± 0  |   0.00318 ± 0.000405   |
| Bin34  |  0.003099 ± 0.001267   |  0.007956 ± 0.003558  | -0.006836 ± 0.006836  |        0 ± 0        |        0 ± 0         |   0.004219 ± 0.00781   | 0 ± 0  |  0 ± 0  |  0.002029 ± 0.0003173  |
| Bin35  |  0.002571 ± 0.001152   |  0.003182 ± 0.003898  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.005754 ± 0.004064   | 0 ± 0  |  0 ± 0  |  0.001726 ± 0.0001861  |
| Bin36  |  0.001172 ± 0.0007577  |  0.001591 ± 0.001591  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.002763 ± 0.001762   | 0 ± 0  |  0 ± 0  |  0.001757 ± 0.0002673  |
| Bin37  |  0.00159 ± 0.0009177   |     0 ± 0.003182      |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.00159 ± 0.003312   | 0 ± 0  |  0 ± 0  |   0.08599 ± 0.06004    |
| Bin38  |  0.00151 ± 0.0008741   |  0.007956 ± 0.00421   |         0 ± 0         |        0 ± 0        |        0 ± 0         |   0.009466 ± 0.0043    | 0 ± 0  |  0 ± 0  |  0.001887 ± 0.0002948  |
| Bin39  | 0.0005298 ± 0.0005298  |  0.001591 ± 0.003558  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.002121 ± 0.003597   | 0 ± 0  |  0 ± 0  |   0.04353 ± 0.04245    |
| Bin40  |   0.002119 ± 0.00106   |     0 ± 0.003182      |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.002119 ± 0.003354   | 0 ± 0  |  0 ± 0  |  0.001293 ± 0.0001684  |
| Bin41  |  0.00106 ± 0.0007493   | -0.001591 ± 0.001591  |         0 ± 0         |        0 ± 0        |        0 ± 0         | -0.0005315 ± 0.001759  | 0 ± 0  | -0 ± 0  |  0.001485 ± 0.0002615  |
| Bin42  |  0.00151 ± 0.0008741   |  0.004773 ± 0.002756  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006283 ± 0.002891   | 0 ± 0  |  0 ± 0  | 0.0009651 ± 0.0001922  |
| Bin43  | 0.0005298 ± 0.0005298  |  0.006365 ± 0.003182  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006894 ± 0.003226   | 0 ± 0  |  0 ± 0  |   0.04347 ± 0.04245    |
| Bin44  |  0.00106 ± 0.0007493   |  0.001591 ± 0.001591  |         0 ± 0         |        0 ± 0        |  0.00122 ± 0.00122   |  0.003871 ± 0.002141   | 0 ± 0  |  0 ± 0  | 0.0008042 ± 0.0001869  |
| Bin45  |         0 ± 0          | -0.001591 ± 0.001591  |         0 ± 0         |        0 ± 0        |        0 ± 0         |  -0.001591 ± 0.001591  | 0 ± 0  | -0 ± 0  | 0.0006125 ± 0.0001422  |
| Bin46  |  0.009378 ± 0.002213   |  0.01273 ± 0.005032   |  0.006836 ± 0.006836  |  0.02693 ± 0.02693  |        0 ± 0         |   0.05587 ± 0.02832    | 0 ± 0  |  0 ± 0  |   0.09345 ± 0.06004    |
+--------+------------------------+-----------------------+-----------------------+---------------------+----------------------+------------------------+--------+---------+------------------------+
