+--------+----------------------+-----------------------+----------------------+---------------------+----------------------+-----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |        Other         |         Total         |  data  | Ratio  |          WWZ           |
| Bin24  |  0.01521 ± 0.002826  |  0.009547 ± 0.007463  |        0 ± 0         |        0 ± 0        |  0.00122 ± 0.00122   |  0.02598 ± 0.008073   | 0 ± 0  | 0 ± 0  |    0.1425 ± 0.07354    |
| Bin25  |  0.01338 ± 0.002629  |  0.009547 ± 0.005954  | 0.006836 ± 0.006836  |        0 ± 0        |     0 ± 0.001726     |  0.02976 ± 0.009595   | 0 ± 0  | 0 ± 0  |  0.01084 ± 0.0007029   |
| Bin26  |  0.01687 ± 0.00295   |  0.01591 ± 0.007463   |  0.01367 ± 0.009668  | -0.02693 ± 0.02693  |        0 ± 0         |   0.01953 ± 0.02971   | 0 ± 0  | 0 ± 0  |    0.179 ± 0.08491     |
| Bin27  |  0.0124 ± 0.002535   |  0.006365 ± 0.006365  |        0 ± 0         |  0.02693 ± 0.02693  |        0 ± 0         |   0.04569 ± 0.02779   | 0 ± 0  | 0 ± 0  |   0.05025 ± 0.04246    |
| Bin28  |  0.00718 ± 0.001923  |  0.001591 ± 0.00421   |        0 ± 0         |        0 ± 0        |     0 ± 0.001726     |  0.008771 ± 0.004939  | 0 ± 0  | 0 ± 0  |  0.006484 ± 0.0005058  |
| Bin29  |  0.00681 ± 0.00189   |  0.01114 ± 0.005277   |        0 ± 0         |        0 ± 0        |  0.00122 ± 0.00122   |  0.01917 ± 0.005737   | 0 ± 0  | 0 ± 0  |  0.005933 ± 0.0005121  |
| Bin30  | 0.003023 ± 0.001237  |  0.01909 ± 0.006365   |        0 ± 0         |        0 ± 0        |  0.00244 ± 0.001726  |  0.02456 ± 0.006709   | 0 ± 0  | 0 ± 0  |  0.005141 ± 0.0004769  |
| Bin31  | 0.007024 ± 0.001883  |  0.006365 ± 0.003898  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01339 ± 0.004328   | 0 ± 0  | 0 ± 0  |  0.004411 ± 0.0004391  |
| Bin32  |  0.005355 ± 0.00162  |  0.006365 ± 0.003898  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01172 ± 0.004221   | 0 ± 0  | 0 ± 0  |   0.04606 ± 0.04245    |
| Bin33  | 0.007267 ± 0.001945  |  0.007956 ± 0.003558  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.01522 ± 0.004055   | 0 ± 0  | 0 ± 0  |  0.003279 ± 0.0003757  |
| Bin34  | 0.00151 ± 0.0008741  |  0.004773 ± 0.003558  |        0 ± 0         |        0 ± 0        |        0 ± 0         |  0.006283 ± 0.003664  | 0 ± 0  | 0 ± 0  |  0.003279 ± 0.0003426  |
