+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   428.2 ± 0.4573    |   428.2 ± 0.4573    |    0.2711 ± 0.1342     |
| Bin2   |   62.68 ± 0.1753    |   62.68 ± 0.1753    |   0.04491 ± 0.04245    |
| Bin3   |   14.58 ± 0.08479   |   14.58 ± 0.08479   | 0.0002847 ± 6.431e-05  |
| Bin4   |   5.183 ± 0.05058   |   5.183 ± 0.05058   | 0.0003279 ± 0.0001281  |
| Bin5   |   2.424 ± 0.03466   |   2.424 ± 0.03466   | 0.0001238 ± 3.914e-05  |
| Bin6   |   1.32 ± 0.02555    |   1.32 ± 0.02555    | 1.238e-05 ± 1.238e-05  |
| Bin7   |  0.7658 ± 0.01954   |  0.7658 ± 0.01954   |      0 ± 1.75e-05      |
| Bin8   |  0.4839 ± 0.01552   |  0.4839 ± 0.01552   | 1.238e-05 ± 1.238e-05  |
| Bin9   |   0.308 ± 0.01234   |   0.308 ± 0.01234   |         0 ± 0          |
| Bin10  |   0.208 ± 0.01011   |   0.208 ± 0.01011   |         0 ± 0          |
| Bin11  |  0.1515 ± 0.008674  |  0.1515 ± 0.008674  |         0 ± 0          |
| Bin12  |  0.1092 ± 0.00735   |  0.1092 ± 0.00735   |         0 ± 0          |
| Bin13  | 0.09943 ± 0.007071  | 0.09943 ± 0.007071  |         0 ± 0          |
| Bin14  | 0.06691 ± 0.005815  | 0.06691 ± 0.005815  |         0 ± 0          |
| Bin15  | 0.05841 ± 0.005404  | 0.05841 ± 0.005404  |         0 ± 0          |
| Bin16  |  0.0459 ± 0.004798  |  0.0459 ± 0.004798  |         0 ± 0          |
| Bin17  |  0.03843 ± 0.00438  |  0.03843 ± 0.00438  |         0 ± 0          |
| Bin18  | 0.02773 ± 0.003724  | 0.02773 ± 0.003724  |         0 ± 0          |
| Bin19  |  0.02346 ± 0.00339  |  0.02346 ± 0.00339  |         0 ± 0          |
| Bin20  | 0.02323 ± 0.003386  | 0.02323 ± 0.003386  |         0 ± 0          |
| Bin21  |  0.1744 ± 0.009363  |  0.1744 ± 0.009363  |  2.475e-05 ± 1.75e-05  |
+--------+---------------------+---------------------+------------------------+
