+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    6.124 ± 0.05344     |    6.124 ± 0.05344     | 7.426e-05 ± 3.032e-05  |
| Bin2   |     438.6 ± 0.463      |     438.6 ± 0.463      |    0.1419 ± 0.07353    |
| Bin3   |     51.48 ± 0.1586     |     51.48 ± 0.1586     |    0.1308 ± 0.09493    |
| Bin4   |    11.92 ± 0.07705     |    11.92 ± 0.07705     |   -0.04154 ± 0.04245   |
| Bin5   |    4.885 ± 0.04972     |    4.885 ± 0.04972     |  0.0003897 ± 0.000131  |
| Bin6   |    2.065 ± 0.03238     |    2.065 ± 0.03238     |   0.04263 ± 0.04245    |
| Bin7   |    0.8961 ± 0.02135    |    0.8961 ± 0.02135    |    0.0425 ± 0.04245    |
| Bin8   |    0.4569 ± 0.01528    |    0.4569 ± 0.01528    | 3.713e-05 ± 2.144e-05  |
| Bin9   |    0.234 ± 0.01094     |    0.234 ± 0.01094     | 1.238e-05 ± 1.238e-05  |
| Bin10  |    0.133 ± 0.008237    |    0.133 ± 0.008237    |         0 ± 0          |
| Bin11  |   0.07594 ± 0.006241   |   0.07594 ± 0.006241   | 1.238e-05 ± 1.238e-05  |
| Bin12  |   0.03741 ± 0.004366   |   0.03741 ± 0.004366   |         0 ± 0          |
| Bin13  |   0.01815 ± 0.003062   |   0.01815 ± 0.003062   |         0 ± 0          |
| Bin14  |   0.01522 ± 0.002801   |   0.01522 ± 0.002801   |         0 ± 0          |
| Bin15  |  0.004351 ± 0.001503   |  0.004351 ± 0.001503   |         0 ± 0          |
| Bin16  |  0.005411 ± 0.001679   |  0.005411 ± 0.001679   |         0 ± 0          |
| Bin17  |  0.002232 ± 0.001066   |  0.002232 ± 0.001066   |         0 ± 0          |
| Bin18  | 0.0004593 ± 0.0004593  | 0.0004593 ± 0.0004593  |         0 ± 0          |
| Bin19  |  0.00159 ± 0.0009177   |  0.00159 ± 0.0009177   |         0 ± 0          |
| Bin20  | 0.0005298 ± 0.0005298  | 0.0005298 ± 0.0005298  |         0 ± 0          |
| Bin21  |  0.00159 ± 0.0009177   |  0.00159 ± 0.0009177   |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
