+--------+----------------------+----------------------+-------------+-------------------+
| Bin#   |          ZZ          |        Total         |    data     |       Ratio       |
|--------+----------------------+----------------------+-------------+-------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |    0 ± 0    |       0 ± 0       |
| Bin1   |    21.46 ± 0.125     |    21.46 ± 0.125     | 13 ± 3.606  |  0.6058 ± 0.168   |
| Bin2   |    59.15 ± 0.2074    |    59.15 ± 0.2074    | 46 ± 6.782  |  0.7777 ± 0.1147  |
| Bin3   |    85.35 ± 0.249     |    85.35 ± 0.249     | 69 ± 8.307  | 0.8084 ± 0.09735  |
| Bin4   |    98.02 ± 0.2668    |    98.02 ± 0.2668    | 96 ± 9.798  |   0.9794 ± 0.1    |
| Bin5   |    98.43 ± 0.2673    |    98.43 ± 0.2673    |  100 ± 10   |  1.016 ± 0.1016   |
| Bin6   |    90.23 ± 0.2559    |    90.23 ± 0.2559    | 77 ± 8.775  | 0.8534 ± 0.09728  |
| Bin7   |    77.75 ± 0.2375    |    77.75 ± 0.2375    | 56 ± 7.483  | 0.7202 ± 0.09627  |
| Bin8   |    63.47 ± 0.2146    |    63.47 ± 0.2146    | 65 ± 8.062  |  1.024 ± 0.1271   |
| Bin9   |    49.79 ± 0.1901    |    49.79 ± 0.1901    | 41 ± 6.403  |  0.8234 ± 0.1286  |
| Bin10  |    37.3 ± 0.1645     |    37.3 ± 0.1645     | 45 ± 6.708  |  1.207 ± 0.1799   |
| Bin11  |    27.15 ± 0.1403    |    27.15 ± 0.1403    |   36 ± 6    |  1.326 ± 0.2211   |
| Bin12  |    19.44 ± 0.1188    |    19.44 ± 0.1188    | 24 ± 4.899  |  1.235 ± 0.2521   |
| Bin13  |   13.62 ± 0.09943    |   13.62 ± 0.09943    | 18 ± 4.243  |  1.322 ± 0.3117   |
| Bin14  |   9.402 ± 0.08257    |   9.402 ± 0.08257    | 17 ± 4.123  |  1.808 ± 0.4388   |
| Bin15  |   6.376 ± 0.06804    |   6.376 ± 0.06804    | 12 ± 3.464  |  1.882 ± 0.5437   |
| Bin16  |   4.163 ± 0.05502    |   4.163 ± 0.05502    |  7 ± 2.646  |   1.682 ± 0.636   |
| Bin17  |   2.655 ± 0.04399    |   2.655 ± 0.04399    |  2 ± 1.414  |  0.7533 ± 0.5328  |
| Bin18  |   1.663 ± 0.03469    |   1.663 ± 0.03469    |    1 ± 1    |  0.6012 ± 0.6014  |
| Bin19  |   1.065 ± 0.02783    |   1.065 ± 0.02783    |    0 ± 0    |       0 ± 0       |
| Bin20  |   0.6844 ± 0.02235   |   0.6844 ± 0.02235   |    0 ± 0    |       0 ± 0       |
| Bin21  |   0.4052 ± 0.01713   |   0.4052 ± 0.01713   |    0 ± 0    |       0 ± 0       |
| Bin22  |   0.2601 ± 0.01381   |   0.2601 ± 0.01381   |  2 ± 1.414  |   7.688 ± 5.452   |
| Bin23  |   0.1828 ± 0.01146   |   0.1828 ± 0.01146   |    1 ± 1    |   5.471 ± 5.481   |
| Bin24  |   0.105 ± 0.008746   |   0.105 ± 0.008746   |    0 ± 0    |       0 ± 0       |
| Bin25  |  0.06917 ± 0.007133  |  0.06917 ± 0.007133  |    0 ± 0    |       0 ± 0       |
| Bin26  |  0.03911 ± 0.005341  |  0.03911 ± 0.005341  |    0 ± 0    |       0 ± 0       |
| Bin27  |  0.02482 ± 0.004355  |  0.02482 ± 0.004355  |    0 ± 0    |       0 ± 0       |
| Bin28  |  0.01846 ± 0.003725  |  0.01846 ± 0.003725  |    0 ± 0    |       0 ± 0       |
| Bin29  |  0.01354 ± 0.00318   |  0.01354 ± 0.00318   |    0 ± 0    |       0 ± 0       |
| Bin30  | 0.008861 ± 0.002621  | 0.008861 ± 0.002621  |    0 ± 0    |       0 ± 0       |
| Bin31  |  0.02509 ± 0.004363  |  0.02509 ± 0.004363  |    0 ± 0    |       0 ± 0       |
+--------+----------------------+----------------------+-------------+-------------------+
