+--------+------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |      Total       |     data     |       Ratio       |
|--------+------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |   233 ± 0.4109   |   233 ± 0.4109   | 211 ± 14.53  | 0.9055 ± 0.06236  |
| Bin2   |  164.2 ± 0.3449  |  164.2 ± 0.3449  |  137 ± 11.7  | 0.8344 ± 0.07131  |
| Bin3   |  105.4 ± 0.2765  |  105.4 ± 0.2765  | 108 ± 10.39  |  1.024 ± 0.09861  |
| Bin4   |  69.05 ± 0.2239  |  69.05 ± 0.2239  |  66 ± 8.124  |  0.9558 ± 0.1177  |
| Bin5   |  47.82 ± 0.1865  |  47.82 ± 0.1865  |  52 ± 7.211  |  1.087 ± 0.1509   |
| Bin6   |  34.81 ± 0.1592  |  34.81 ± 0.1592  |  30 ± 5.477  |  0.8619 ± 0.1574  |
| Bin7   |  25.57 ± 0.1364  |  25.57 ± 0.1364  |  26 ± 5.099  |  1.017 ± 0.1995   |
| Bin8   |  19.42 ± 0.119   |  19.42 ± 0.119   |  20 ± 4.472  |   1.03 ± 0.2303   |
| Bin9   |  14.39 ± 0.1025  |  14.39 ± 0.1025  |  13 ± 3.606  |  0.9034 ± 0.2506  |
| Bin10  | 11.19 ± 0.09047  | 11.19 ± 0.09047  |  14 ± 3.742  |  1.251 ± 0.3346   |
| Bin11  |   8.33 ± 0.078   |   8.33 ± 0.078   |  12 ± 3.464  |  1.441 ± 0.4161   |
| Bin12  | 6.324 ± 0.06798  | 6.324 ± 0.06798  |    9 ± 3     |  1.423 ± 0.4747   |
| Bin13  |  4.803 ± 0.0593  |  4.803 ± 0.0593  |  7 ± 2.646   |  1.457 ± 0.5512   |
| Bin14  | 3.793 ± 0.05269  | 3.793 ± 0.05269  |  5 ± 2.236   |  1.318 ± 0.5899   |
| Bin15  | 2.932 ± 0.04625  | 2.932 ± 0.04625  |    4 ± 2     |  1.364 ± 0.6824   |
| Bin16  | 2.359 ± 0.04154  | 2.359 ± 0.04154  |  2 ± 1.414   |  0.8477 ± 0.5996  |
| Bin17  | 1.889 ± 0.03721  | 1.889 ± 0.03721  |    4 ± 2     |   2.117 ± 1.06    |
| Bin18  | 1.557 ± 0.03378  | 1.557 ± 0.03378  |    0 ± 0     |       0 ± 0       |
| Bin19  | 1.294 ± 0.03077  | 1.294 ± 0.03077  |    1 ± 1     |  0.773 ± 0.7733   |
| Bin20  | 1.103 ± 0.02851  | 1.103 ± 0.02851  |  2 ± 1.414   |   1.814 ± 1.283   |
| Bin21  | 9.041 ± 0.08158  | 9.041 ± 0.08158  |  5 ± 2.236   |  0.5531 ± 0.2474  |
+--------+------------------+------------------+--------------+-------------------+
