+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   102.5 ± 0.2746    |   102.5 ± 0.2746    | 101 ± 10.05  |  0.9856 ± 0.0981  |
| Bin2   |   195.4 ± 0.3778    |   195.4 ± 0.3778    | 200 ± 14.14  |  1.023 ± 0.07239  |
| Bin3   |    173.7 ± 0.355    |    173.7 ± 0.355    | 166 ± 12.88  | 0.9555 ± 0.07418  |
| Bin4   |    122 ± 0.2967     |    122 ± 0.2967     | 112 ± 10.58  | 0.9178 ± 0.08675  |
| Bin5   |    76.64 ± 0.235    |    76.64 ± 0.235    |  73 ± 8.544  |  0.9525 ± 0.1115  |
| Bin6   |   45.07 ± 0.1801    |   45.07 ± 0.1801    |    36 ± 6    |  0.7988 ± 0.1332  |
| Bin7   |   24.89 ± 0.1338    |   24.89 ± 0.1338    |  21 ± 4.583  |  0.8437 ± 0.1842  |
| Bin8   |   13.29 ± 0.09773   |   13.29 ± 0.09773   |    4 ± 2     |  0.301 ± 0.1505   |
| Bin9   |   7.043 ± 0.0711    |   7.043 ± 0.0711    |  6 ± 2.449   |  0.8519 ± 0.3479  |
| Bin10  |   3.699 ± 0.05157   |   3.699 ± 0.05157   |  3 ± 1.732   |  0.8111 ± 0.4684  |
| Bin11  |   1.849 ± 0.03648   |   1.849 ± 0.03648   |  3 ± 1.732   |  1.622 ± 0.9372   |
| Bin12  |   1.008 ± 0.02704   |   1.008 ± 0.02704   |  3 ± 1.732   |   2.978 ± 1.721   |
| Bin13  |   0.491 ± 0.01882   |   0.491 ± 0.01882   |    0 ± 0     |       0 ± 0       |
| Bin14  |   0.2806 ± 0.0144   |   0.2806 ± 0.0144   |    0 ± 0     |       0 ± 0       |
| Bin15  |  0.1523 ± 0.01052   |  0.1523 ± 0.01052   |    0 ± 0     |       0 ± 0       |
| Bin16  | 0.09503 ± 0.008378  | 0.09503 ± 0.008378  |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.03838 ± 0.005328  | 0.03838 ± 0.005328  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.03968 ± 0.005487  | 0.03968 ± 0.005487  |    0 ± 0     |       0 ± 0       |
| Bin19  | 0.02051 ± 0.003898  | 0.02051 ± 0.003898  |    0 ± 0     |       0 ± 0       |
| Bin20  |  0.006548 ± 0.0022  |  0.006548 ± 0.0022  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.02824 ± 0.004638  | 0.02824 ± 0.004638  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
