+--------+-------------------+-------------------+--------------+-------------------+
| Bin#   |        ZZ         |       Total       |     data     |       Ratio       |
|--------+-------------------+-------------------+--------------+-------------------+
| Bin0   |       0 ± 0       |       0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |   274 ± 0.4456    |   274 ± 0.4456    | 223 ± 14.93  |  0.814 ± 0.05453  |
| Bin2   |  170.8 ± 0.3518   |  170.8 ± 0.3518   | 170 ± 13.04  | 0.9951 ± 0.07635  |
| Bin3   |  98.44 ± 0.2673   |  98.44 ± 0.2673   |   100 ± 10   |  1.016 ± 0.1016   |
| Bin4   |   61.82 ± 0.212   |   61.82 ± 0.212   |  53 ± 7.28   |  0.8573 ± 0.1178  |
| Bin5   |  42.42 ± 0.1758   |  42.42 ± 0.1758   |  37 ± 6.083  |  0.8723 ± 0.1435  |
| Bin6   |  30.81 ± 0.1498   |  30.81 ± 0.1498   |  23 ± 4.796  |  0.7465 ± 0.1557  |
| Bin7   |  22.54 ± 0.1282   |  22.54 ± 0.1282   |  35 ± 5.916  |  1.553 ± 0.2626   |
| Bin8   |  16.52 ± 0.1098   |  16.52 ± 0.1098   |    25 ± 5    |  1.514 ± 0.3029   |
| Bin9   |  11.86 ± 0.09303  |  11.86 ± 0.09303  |  20 ± 4.472  |  1.686 ± 0.3773   |
| Bin10  |  8.541 ± 0.07908  |  8.541 ± 0.07908  |  14 ± 3.742  |  1.639 ± 0.4383   |
| Bin11  |  6.244 ± 0.06757  |  6.244 ± 0.06757  |  5 ± 2.236   |  0.8008 ± 0.3582  |
| Bin12  |  4.653 ± 0.05846  |  4.653 ± 0.05846  |  3 ± 1.732   |  0.6448 ± 0.3724  |
| Bin13  |  3.447 ± 0.05012  |  3.447 ± 0.05012  |  2 ± 1.414   |  0.5802 ± 0.4104  |
| Bin14  |  2.651 ± 0.04402  |  2.651 ± 0.04402  |  7 ± 2.646   |   2.64 ± 0.9989   |
| Bin15  |  2.079 ± 0.03904  |  2.079 ± 0.03904  |    1 ± 1     |  0.4811 ± 0.4812  |
| Bin16  |  1.667 ± 0.03495  |  1.667 ± 0.03495  |  2 ± 1.414   |   1.2 ± 0.8489    |
| Bin17  |  1.302 ± 0.03086  |  1.302 ± 0.03086  |  3 ± 1.732   |   2.305 ± 1.332   |
| Bin18  |  1.043 ± 0.02767  |  1.043 ± 0.02767  |    1 ± 1     |  0.9583 ± 0.9587  |
| Bin19  | 0.8766 ± 0.02535  | 0.8766 ± 0.02535  |    0 ± 0     |       0 ± 0       |
| Bin20  | 0.6928 ± 0.02248  | 0.6928 ± 0.02248  |    0 ± 0     |       0 ± 0       |
| Bin21  |  5.931 ± 0.06603  |  5.931 ± 0.06603  |    4 ± 2     |  0.6744 ± 0.3373  |
+--------+-------------------+-------------------+--------------+-------------------+
