+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |   53.38 ± 0.1724    |   53.38 ± 0.1724    |  29 ± 5.385  |  0.5433 ± 0.1009  |
| Bin2   |   145.5 ± 0.2848    |   145.5 ± 0.2848    | 119 ± 10.91  | 0.8176 ± 0.07497  |
| Bin3   |    207 ± 0.3402     |    207 ± 0.3402     | 174 ± 13.19  | 0.8407 ± 0.06375  |
| Bin4   |    233 ± 0.3619     |    233 ± 0.3619     | 226 ± 15.03  |  0.97 ± 0.06454   |
| Bin5   |   228.7 ± 0.3597    |   228.7 ± 0.3597    | 226 ± 15.03  | 0.9881 ± 0.06575  |
| Bin6   |   204.9 ± 0.3416    |   204.9 ± 0.3416    | 189 ± 13.75  |  0.9222 ± 0.0671  |
| Bin7   |   171.6 ± 0.3138    |   171.6 ± 0.3138    | 165 ± 12.85  | 0.9615 ± 0.07487  |
| Bin8   |   136.6 ± 0.2811    |   136.6 ± 0.2811    | 145 ± 12.04  |  1.061 ± 0.08815  |
| Bin9   |   105.4 ± 0.2477    |   105.4 ± 0.2477    |  96 ± 9.798  |  0.911 ± 0.09301  |
| Bin10  |    77.4 ± 0.2129    |    77.4 ± 0.2129    |  86 ± 9.274  |  1.111 ± 0.1199   |
| Bin11  |   55.28 ± 0.1803    |   55.28 ± 0.1803    |    64 ± 8    |  1.158 ± 0.1448   |
| Bin12  |   38.75 ± 0.1516    |   38.75 ± 0.1516    |  52 ± 7.211  |  1.342 ± 0.1862   |
| Bin13  |   26.81 ± 0.1264    |   26.81 ± 0.1264    |  28 ± 5.292  |  1.044 ± 0.1974   |
| Bin14  |   18.33 ± 0.1047    |   18.33 ± 0.1047    |  26 ± 5.099  |  1.418 ± 0.2782   |
| Bin15  |   12.17 ± 0.0856    |   12.17 ± 0.0856    |  23 ± 4.796  |   1.89 ± 0.3944   |
| Bin16  |   7.987 ± 0.06949   |   7.987 ± 0.06949   |  7 ± 2.646   |  0.8764 ± 0.3313  |
| Bin17  |   5.088 ± 0.05554   |   5.088 ± 0.05554   |  3 ± 1.732   |  0.5897 ± 0.3405  |
| Bin18  |   3.237 ± 0.04416   |   3.237 ± 0.04416   |  7 ± 2.646   |  2.162 ± 0.8178   |
| Bin19  |   2.068 ± 0.03533   |   2.068 ± 0.03533   |    1 ± 1     |  0.4835 ± 0.4835  |
| Bin20  |   1.348 ± 0.02857   |   1.348 ± 0.02857   |  2 ± 1.414   |   1.484 ± 1.05    |
| Bin21  |  0.8178 ± 0.02216   |  0.8178 ± 0.02216   |    0 ± 0     |       0 ± 0       |
| Bin22  |  0.5386 ± 0.01798   |  0.5386 ± 0.01798   |  2 ± 1.414   |   3.713 ± 2.629   |
| Bin23  |  0.3729 ± 0.01498   |  0.3729 ± 0.01498   |  2 ± 1.414   |   5.363 ± 3.799   |
| Bin24  |  0.2069 ± 0.01118   |  0.2069 ± 0.01118   |    0 ± 0     |       0 ± 0       |
| Bin25  |  0.1331 ± 0.009018  |  0.1331 ± 0.009018  |    0 ± 0     |       0 ± 0       |
| Bin26  | 0.09028 ± 0.007306  | 0.09028 ± 0.007306  |  2 ± 1.414   |   22.15 ± 15.77   |
| Bin27  | 0.05051 ± 0.005574  | 0.05051 ± 0.005574  |    0 ± 0     |       0 ± 0       |
| Bin28  | 0.04063 ± 0.004984  | 0.04063 ± 0.004984  |    0 ± 0     |       0 ± 0       |
| Bin29  |  0.0214 ± 0.003732  |  0.0214 ± 0.003732  |    0 ± 0     |       0 ± 0       |
| Bin30  | 0.01723 ± 0.003293  | 0.01723 ± 0.003293  |    0 ± 0     |       0 ± 0       |
| Bin31  | 0.05424 ± 0.005802  | 0.05424 ± 0.005802  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
