+--------+---------------------+---------------------+--------------+-------------------+
| Bin#   |         ZZ          |        Total        |     data     |       Ratio       |
|--------+---------------------+---------------------+--------------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |    0 ± 0     |       0 ± 0       |
| Bin1   |    236 ± 0.3686     |    236 ± 0.3686     | 224 ± 14.97  |  0.949 ± 0.06343  |
| Bin2   |   445.3 ± 0.5049    |   445.3 ± 0.5049    |  445 ± 21.1  | 0.9993 ± 0.04739  |
| Bin3   |   392.5 ± 0.4728    |   392.5 ± 0.4728    | 374 ± 19.34  | 0.9529 ± 0.04929  |
| Bin4   |   274.7 ± 0.3948    |   274.7 ± 0.3948    | 260 ± 16.12  | 0.9464 ± 0.05871  |
| Bin5   |   171.2 ± 0.3118    |   171.2 ± 0.3118    | 171 ± 13.08  | 0.9989 ± 0.07641  |
| Bin6   |    99.52 ± 0.238    |    99.52 ± 0.238    |  92 ± 9.592  | 0.9245 ± 0.09641  |
| Bin7   |   55.18 ± 0.1772    |   55.18 ± 0.1772    |    49 ± 7    |  0.888 ± 0.1269   |
| Bin8   |   29.58 ± 0.1297    |   29.58 ± 0.1297    |  20 ± 4.472  |  0.6762 ± 0.1512  |
| Bin9   |   15.64 ± 0.09436   |   15.64 ± 0.09436   |    16 ± 4    |  1.023 ± 0.2558   |
| Bin10  |   8.302 ± 0.06876   |   8.302 ± 0.06876   |  8 ± 2.828   |  0.9636 ± 0.3408  |
| Bin11  |    4.2 ± 0.04886    |    4.2 ± 0.04886    |  6 ± 2.449   |  1.428 ± 0.5834   |
| Bin12  |   2.229 ± 0.0358    |   2.229 ± 0.0358    |    4 ± 2     |  1.795 ± 0.8979   |
| Bin13  |   1.122 ± 0.02526   |   1.122 ± 0.02526   |    1 ± 1     |  0.8913 ± 0.8915  |
| Bin14  |  0.6299 ± 0.01913   |  0.6299 ± 0.01913   |  2 ± 1.414   |   3.175 ± 2.247   |
| Bin15  |   0.3466 ± 0.0141   |   0.3466 ± 0.0141   |  2 ± 1.414   |   5.77 ± 4.086    |
| Bin16  |  0.2066 ± 0.01103   |  0.2066 ± 0.01103   |    0 ± 0     |       0 ± 0       |
| Bin17  | 0.09713 ± 0.007431  | 0.09713 ± 0.007431  |    0 ± 0     |       0 ± 0       |
| Bin18  | 0.07377 ± 0.006748  | 0.07377 ± 0.006748  |    0 ± 0     |       0 ± 0       |
| Bin19  |  0.0431 ± 0.005115  |  0.0431 ± 0.005115  |    0 ± 0     |       0 ± 0       |
| Bin20  |  0.02156 ± 0.00344  |  0.02156 ± 0.00344  |    0 ± 0     |       0 ± 0       |
| Bin21  | 0.06019 ± 0.006055  | 0.06019 ± 0.006055  |    0 ± 0     |       0 ± 0       |
+--------+---------------------+---------------------+--------------+-------------------+
