+--------+------------------+------------------+--------------+-------------------+
| Bin#   |        ZZ        |      Total       |     data     |       Ratio       |
|--------+------------------+------------------+--------------+-------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |    0 ± 0     |       0 ± 0       |
| Bin1   |  504.6 ± 0.5398  |  504.6 ± 0.5398  | 478 ± 21.86  | 0.9474 ± 0.04334  |
| Bin2   |  364.7 ± 0.4572  |  364.7 ± 0.4572  | 334 ± 18.28  | 0.9157 ± 0.05012  |
| Bin3   |  236.5 ± 0.3675  |  236.5 ± 0.3675  | 236 ± 15.36  | 0.9978 ± 0.06497  |
| Bin4   |   156 ± 0.2983   |   156 ± 0.2983   | 160 ± 12.65  |  1.026 ± 0.08112  |
| Bin5   |  108.3 ± 0.2488  |  108.3 ± 0.2488  | 111 ± 10.54  |  1.024 ± 0.09727  |
| Bin6   |  78.89 ± 0.2122  |  78.89 ± 0.2122  |  71 ± 8.426  |  0.8999 ± 0.1068  |
| Bin7   |  59.37 ± 0.1835  |  59.37 ± 0.1835  |  62 ± 7.874  |  1.044 ± 0.1327   |
| Bin8   |  45.48 ± 0.1605  |  45.48 ± 0.1605  |  32 ± 5.657  |  0.7036 ± 0.1244  |
| Bin9   |  34.78 ± 0.1397  |  34.78 ± 0.1397  |  35 ± 5.916  |  1.006 ± 0.1702   |
| Bin10  |  27.08 ± 0.1233  |  27.08 ± 0.1233  |  26 ± 5.099  |   0.96 ± 0.1883   |
| Bin11  |  20.89 ± 0.1076  |  20.89 ± 0.1076  |  29 ± 5.385  |  1.388 ± 0.2579   |
| Bin12  |  16.28 ± 0.0947  |  16.28 ± 0.0947  |  18 ± 4.243  |  1.105 ± 0.2606   |
| Bin13  | 12.73 ± 0.08344  | 12.73 ± 0.08344  |  11 ± 3.317  |  0.8641 ± 0.2606  |
| Bin14  | 10.25 ± 0.07472  | 10.25 ± 0.07472  |  12 ± 3.464  |   1.17 ± 0.338    |
| Bin15  | 8.057 ± 0.06605  | 8.057 ± 0.06605  |  8 ± 2.828   |  0.993 ± 0.3512   |
| Bin16  |  6.59 ± 0.0596   |  6.59 ± 0.0596   |  5 ± 2.236   |  0.7587 ± 0.3394  |
| Bin17  |  5.4 ± 0.05388   |  5.4 ± 0.05388   |  10 ± 3.162  |   1.852 ± 0.586   |
| Bin18  | 4.432 ± 0.04875  | 4.432 ± 0.04875  |  5 ± 2.236   |  1.128 ± 0.5047   |
| Bin19  | 3.811 ± 0.04509  | 3.811 ± 0.04509  |  3 ± 1.732   |  0.7871 ± 0.4545  |
| Bin20  | 3.216 ± 0.04147  | 3.216 ± 0.04147  |  2 ± 1.414   |  0.6218 ± 0.4398  |
| Bin21  |  29.56 ± 0.1243  |  29.56 ± 0.1243  |  26 ± 5.099  |  0.8797 ± 0.1726  |
+--------+------------------+------------------+--------------+-------------------+
