+--------+----------------------+----------------------+---------------+-------------------+
| Bin#   |          ZZ          |        Total         |     data      |       Ratio       |
|--------+----------------------+----------------------+---------------+-------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |     0 ± 0     |       0 ± 0       |
| Bin1   |    22.14 ± 0.1084    |    22.14 ± 0.1084    |  19 ± 4.359   |  0.8581 ± 0.1969  |
| Bin2   |    1479 ± 0.9181     |    1479 ± 0.9181     | 1408 ± 37.52  | 0.9523 ± 0.02539  |
| Bin3   |    168.2 ± 0.3107    |    168.2 ± 0.3107    |  184 ± 13.56  |  1.094 ± 0.08065  |
| Bin4   |    39.08 ± 0.1507    |    39.08 ± 0.1507    |  38 ± 6.164   |  0.9724 ± 0.1578  |
| Bin5   |   15.96 ± 0.09705    |   15.96 ± 0.09705    |  18 ± 4.243   |  1.128 ± 0.2659   |
| Bin6   |   6.812 ± 0.06359    |   6.812 ± 0.06359    |   3 ± 1.732   |  0.4404 ± 0.2543  |
| Bin7   |   3.015 ± 0.04222    |   3.015 ± 0.04222    |   3 ± 1.732   |  0.995 ± 0.5746   |
| Bin8   |   1.447 ± 0.02933    |   1.447 ± 0.02933    |     1 ± 1     |  0.691 ± 0.6912   |
| Bin9   |   0.7734 ± 0.02146   |   0.7734 ± 0.02146   |     0 ± 0     |       0 ± 0       |
| Bin10  |   0.4047 ± 0.01554   |   0.4047 ± 0.01554   |     0 ± 0     |       0 ± 0       |
| Bin11  |   0.2323 ± 0.01188   |   0.2323 ± 0.01188   |     0 ± 0     |       0 ± 0       |
| Bin12  |  0.1382 ± 0.009155   |  0.1382 ± 0.009155   |     0 ± 0     |       0 ± 0       |
| Bin13  |  0.07215 ± 0.006587  |  0.07215 ± 0.006587  |     0 ± 0     |       0 ± 0       |
| Bin14  |  0.04322 ± 0.005145  |  0.04322 ± 0.005145  |     0 ± 0     |       0 ± 0       |
| Bin15  |  0.02076 ± 0.003673  |  0.02076 ± 0.003673  |     0 ± 0     |       0 ± 0       |
| Bin16  |  0.01465 ± 0.003039  |  0.01465 ± 0.003039  |     0 ± 0     |       0 ± 0       |
| Bin17  |  0.01083 ± 0.002651  |  0.01083 ± 0.002651  |     0 ± 0     |       0 ± 0       |
| Bin18  | 0.004546 ± 0.001689  | 0.004546 ± 0.001689  |     0 ± 0     |       0 ± 0       |
| Bin19  | 0.005358 ± 0.001767  | 0.005358 ± 0.001767  |     0 ± 0     |       0 ± 0       |
| Bin20  | 0.002389 ± 0.001251  | 0.002389 ± 0.001251  |     0 ± 0     |       0 ± 0       |
| Bin21  | 0.002786 ± 0.001277  | 0.002786 ± 0.001277  |     0 ± 0     |       0 ± 0       |
+--------+----------------------+----------------------+---------------+-------------------+
