+--------+---------------------+-----------------------+----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin#   |         ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ          |
| Bin24  |   1.302 ± 0.03031   |   0.05014 ± 0.0113    |  -0.01874 ± 0.01325  |  0.04086 ± 0.04086  |     0 ± 0.001985      |   1.374 ± 0.05381   | 0 ± 0  | 0 ± 0  |    0.1737 ± 0.0761    |
| Bin25  |   1.138 ± 0.02844   |   0.03917 ± 0.00927   |  0.09576 ± 0.09576   | -0.04086 ± 0.04086  |  0.002807 ± 0.001985  |   1.234 ± 0.1083    | 0 ± 0  | 0 ± 0  |   0.03833 ± 0.06214   |
| Bin26  |   1.01 ± 0.02689    |  0.02664 ± 0.009785   |        0 ± 0         |  0.04086 ± 0.04086  |  0.004963 ± 0.002931  |   1.083 ± 0.04997   | 0 ± 0  | 0 ± 0  |   0.1238 ± 0.06214    |
| Bin27  |  0.9028 ± 0.02545   |   0.03917 ± 0.01003   |     0 ± 0.01325      |        0 ± 0        |         0 ± 0         |   0.942 ± 0.0304    | 0 ± 0  | 0 ± 0  |   0.2082 ± 0.08787    |
| Bin28  |  0.8475 ± 0.02477   |  0.04231 ± 0.009531   |     0 ± 0.01325      |        0 ± 0        | -0.001404 ± 0.002431  |  0.8884 ± 0.02977   | 0 ± 0  | 0 ± 0  |   0.1172 ± 0.06214    |
| Bin29  |  0.7494 ± 0.02336   |   0.04074 ± 0.00991   |        0 ± 0         |  0.08172 ± 0.05779  |     0 ± 0.001985      |  0.8719 ± 0.06314   | 0 ± 0  | 0 ± 0  |  0.02459 ± 0.0009378  |
| Bin30  |  0.6701 ± 0.02206   |  0.02507 ± 0.009401   |  0.01874 ± 0.01325   |        0 ± 0        |         0 ± 0         |   0.7139 ± 0.0274   | 0 ± 0  | 0 ± 0  |    0.1548 ± 0.0761    |
| Bin31  |   0.6449 ± 0.0218   |  0.02194 ± 0.008291   |        0 ± 0         | -0.04086 ± 0.04086  | -0.004963 ± 0.002931  |   0.621 ± 0.04714   | 0 ± 0  | 0 ± 0  |  0.02214 ± 0.000915   |
| Bin32  |  0.5879 ± 0.02081   |  0.03134 ± 0.007349   |   0.1915 ± 0.1354    |        0 ± 0        |     0 ± 0.001985      |   0.8108 ± 0.1372   | 0 ± 0  | 0 ± 0  |   0.06383 ± 0.04394   |
| Bin33  |  0.4816 ± 0.01888   |  0.03447 ± 0.008582   |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.5175 ± 0.02078   | 0 ± 0  | 0 ± 0  |   0.06175 ± 0.04394   |
